OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,ESHM_med,NGAE_med,S09yc_med,S09nc_med,A12_std,AB06_std,D15_std,ESHM_std,NGAE_std,S09yc_std,S09nc_std,A12_wt,AB06_wt,D15_wt,ESHM_wt,NGAE_wt,S09yc_wt,S09nc_wt
1,3,38,12675.7,7.1,HW,B,1,-1.1296210668237106,-1.536842193588518,-1.80702924404995,-1.3943368185284961,-1.0109336514112244,-0.457063935125797,-1.1098693393986452,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
2,3,19,25485.8,6.7,HW,B,1,-2.2427902151675507,-2.6618320942410794,-2.5150097165294074,-2.273978155631295,-2.0062803826923568,-1.7376715531222033,-2.246401677765783,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
3,3,14.25,57441.6,6.6,HW,CD,1,-3.319806554194272,-3.7067624221896978,-3.2152042786460555,-3.069852606802318,-3.022113496564927,-2.844805008486693,-3.1974189633525656,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
4,3,31,61767.7,7.0,HW,B,1,-2.8919328509609663,-3.323946473120878,-2.896180967950567,-2.7413318227219134,-2.573705873100025,-2.299291261716043,-2.6458396956622465,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
11,6,10,97970.1,6.4,HW,D,1,-4.003735223707175,-4.24750306235643,-3.923431125394779,-3.7600889090338976,-3.636474307507591,-3.8226530435344546,-3.9905370732231686,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7028766430494362,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
12,7,10,95434.1,6.4,HW,B,1,-4.010119771984792,-4.244649953114586,-3.8977900421218337,-3.7353964726249433,-3.622211204212904,-3.7887548654861005,-3.9652415266631618,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7028766430494362,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
13,8,127,380.1,7.7,HW,B,1,-0.11345286644786395,0.020342704756493964,-1.1393435783042576,-0.17001211382230635,-0.17778857381652813,1.1638131187755347,0.21534514113118758,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
14,8,38,11781.8,7.1,HW,D,1,-1.0647124446444438,-1.46048838465023,-1.7717692516667158,-1.3433823465592607,-0.9655458959031263,-0.39267933055605253,-1.0565711592240354,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
15,8,58,25639.0,7.3,HW,B,1,-1.6677523594417158,-2.121735914375655,-2.083060189764974,-1.749513761742092,-1.4381322813695203,-0.8887154695967848,-1.4631352519097338,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
16,8,36,70932.4,7.0,HW,B,1,-3.047377954434002,-3.46492691459843,-3.0073761396519028,-2.859111353100326,-2.6660125363115217,-2.453915450470386,-2.749028348773828,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
