OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),"1:5,000 AEP SA_3s_NSHA23",,,,
428,75,104,54863.5,7.6,HW,D,2,0.0041557,,,,
429,75,53,82445.7,7.2,HW,,2,0.0041557,,,,
430,75,29,86670.4,6.9,HW,,2,0.0041557,,,,
431,75,32,89444.5,7.0,HW,,2,0.0041557,,,,
432,75,44,90931.1,7.2,HW,,2,0.0041557,,,,
433,76,104,50545.1,7.6,HW,,2,0.0041649,,,,
434,76,53,78595.9,7.2,FW,,2,0.0041649,,,,
435,76,29,81902.9,6.9,HW,,2,0.0041649,,,,
436,76,32,84640.2,7.0,HW,,2,0.0041649,,,,
437,76,44,86592.9,7.2,HW,,2,0.0041649,,,,
438,77,31,6168.0,7.0,HW,,2,0.017041,,,,
439,77,56,12648.4,7.3,HW,,2,0.017041,,,,
440,77,13,17172.7,6.5,HW,,2,0.017041,,,,
441,77,42,40584.4,7.1,HW,,2,0.017041,,,,
442,77,11,47381.4,6.4,HW,,2,0.017041,,,,
443,77,54,49206.8,7.3,HW,,2,0.017041,,,,
444,77,55,54448.3,7.3,HW,,2,0.017041,,,,
445,77,26,60860.2,6.9,HW,,2,0.017041,,,,
446,77,123,71408.6,7.7,HW,,2,0.017041,,,,
447,77,15,85756.5,6.6,HW,,2,0.017041,,,,
448,77,85,89300.3,7.5,HW,,2,0.017041,,,,
449,77,162,104121.5,7.8,HW,,2,0.017041,,,,
450,78,62,629.4,7.3,HW,,2,0.040631,,,,
451,78,50,6084.0,7.2,HW,,2,0.040631,,,,
452,78,56,9992.4,7.3,HW,,2,0.040631,,,,
453,78,34,26718.9,7.0,HW,,2,0.040631,,,,
454,78,19,36833.2,6.7,HW,,2,0.040631,,,,
455,78,38,39953.8,7.1,HW,,2,0.040631,,,,
456,78,25,40915.2,6.9,HW,,2,0.040631,,,,
457,78,28,47400.4,6.9,HW,,2,0.040631,,,,
458,78,12,48900.9,6.5,HW,,2,0.040631,,,,
459,78,55,55440.1,7.3,HW,,2,0.040631,,,,
460,78,44,55959.0,7.2,HW,,2,0.040631,,,,
461,78,38,57520.6,7.1,HW,,2,0.040631,,,,
462,78,26,59618.6,6.9,HW,,2,0.040631,,,,
463,78,25,59987.8,6.9,HW,,2,0.040631,,,,
464,78,11,60599.7,6.4,HW,,2,0.040631,,,,
465,78,24,60823.0,6.8,HW,,2,0.040631,,,,
466,78,53,63613.0,7.2,HW,,2,0.040631,,,,
467,78,14,72547.3,6.6,HW,,2,0.040631,,,,
468,78,2,76342.7,5.6,HW,,2,0.040631,,,,
469,78,66,76617.2,7.4,HW,,2,0.040631,,,,
470,78,78,77462.1,7.4,HW,,2,0.040631,,,,
471,78,14,79440.9,6.6,HW,,2,0.040631,,,,
472,78,14,80339.6,6.6,HW,,2,0.040631,,,,
473,78,60,87016.4,7.3,HW,,2,0.040631,,,,
474,78,23,88734.2,6.8,HW,,2,0.040631,,,,
475,78,23,90327.8,6.8,HW,,2,0.040631,,,,
476,78,23,93147.1,6.8,HW,,2,0.040631,,,,
477,78,37,103042.9,7.1,HW,,2,0.040631,,,,
478,78,34,103133.2,7.0,HW,,2,0.040631,,,,
479,79,104,43438.8,7.6,HW,,2,0.0045394,,,,
480,79,53,79172.0,7.2,FW,,2,0.0045394,,,,
481,79,44,95294.7,7.2,HW,,2,0.0045394,,,,
482,79,12,101623.4,6.5,HW,,2,0.0045394,,,,
483,81,19,26949.0,6.7,HW,,1,0.017983,,,,
484,81,15.58,51175.5,6.6,HW,,1,0.017983,,,,
485,81,38,70345.0,7.1,HW,,1,0.017983,,,,
486,81,37,87773.8,7.1,FW,,1,0.017983,,,,
487,82,19,1075.0,6.7,HW,,2,0.031469,,,,
488,82,72,16238.0,7.4,HW,,2,0.031469,,,,
489,82,7,17237.0,6.2,HW,,2,0.031469,,,,
490,82,68,19734.4,7.4,HW,,2,0.031469,,,,
491,82,29,21773.1,6.9,HW,,2,0.031469,,,,
492,82,42.07241,27975.5,7.1,HW,,2,0.031469,,,,
493,82,70,31532.7,7.4,HW,,2,0.031469,,,,
494,82,49,34721.3,7.2,HW,,2,0.031469,,,,
495,82,4,42738.1,5.9,HW,,2,0.031469,,,,
496,82,56.215053,59860.9,7.3,HW,,2,0.031469,,,,
497,82,41,68802.6,7.1,HW,,2,0.031469,,,,
498,82,25,71119.5,6.9,HW,,2,0.031469,,,,
499,82,101,72285.9,7.6,HW,,2,0.031469,,,,
500,82,24.633328,84935.6,6.9,HW,,2,0.031469,,,,
501,82,55,86651.0,7.3,HW,,2,0.031469,,,,
502,82,34,89105.6,7.0,HW,,2,0.031469,,,,
503,82,126,95151.5,7.7,HW,,2,0.031469,,,,
504,82,60,100981.9,7.3,HW,,2,0.031469,,,,
505,82,24.723261,104417.1,6.9,HW,,2,0.031469,,,,
506,82,32.708688,104576.4,7.0,HW,,2,0.031469,,,,
507,82,44,106368.1,7.2,HW,,2,0.031469,,,,
508,83,64,67886.9,7.3,HW,,2,0.014544,,,,
509,83,55,98069.5,7.3,HW,,2,0.014544,,,,
510,83,24.723261,105792.7,6.9,HW,,2,0.014544,,,,
511,84,55,19554.3,7.3,HW,,2,0.026401,,,,
512,84,14,24156.6,6.6,HW,,2,0.026401,,,,
513,84,23,30109.9,6.8,HW,,2,0.026401,,,,
514,84,12,31687.3,6.5,HW,,2,0.026401,,,,
515,84,50,39670.6,7.2,HW,,2,0.026401,,,,
516,84,62,50619.0,7.3,HW,,2,0.026401,,,,
517,84,38,59194.3,7.1,HW,,2,0.026401,,,,
518,84,25,59711.8,6.9,HW,,2,0.026401,,,,
519,84,60,65335.9,7.3,HW,,2,0.026401,,,,
520,84,56,68507.7,7.3,HW,,2,0.026401,,,,
521,84,19,73952.0,6.7,HW,,2,0.026401,,,,
522,84,19,77892.2,6.7,HW,,2,0.026401,,,,
523,84,30,80054.2,7.0,HW,,2,0.026401,,,,
524,84,34,84108.6,7.0,HW,,2,0.026401,,,,
525,84,26,87541.5,6.9,HW,,2,0.026401,,,,
526,84,66,89860.0,7.4,HW,,2,0.026401,,,,
527,84,44,92679.1,7.2,HW,,2,0.026401,,,,
528,84,11,94308.7,6.4,HW,,2,0.026401,,,,
529,84,28,95114.1,6.9,HW,,2,0.026401,,,,
530,84,31,96427.3,7.0,HW,,2,0.026401,,,,
531,84,66,96739.1,7.4,HW,,2,0.026401,,,,
532,84,25,97589.5,6.9,HW,,2,0.026401,,,,
533,84,2,98336.6,5.6,HW,,2,0.026401,,,,
534,84,78,102561.4,7.4,HW,,2,0.026401,,,,
535,84,82,103678.9,7.5,HW,,2,0.026401,,,,
536,85,55,20816.7,7.3,HW,,2,0.025875,,,,
537,85,14,22319.2,6.6,HW,,2,0.025875,,,,
538,85,23,26126.4,6.8,HW,,2,0.025875,,,,
539,85,12,34118.9,6.5,HW,,2,0.025875,,,,
540,85,50,41860.1,7.2,HW,,2,0.025875,,,,
541,85,62,54437.8,7.3,HW,,2,0.025875,,,,
542,85,38,62345.7,7.1,HW,,2,0.025875,,,,
543,85,25,62798.0,6.9,HW,,2,0.025875,,,,
544,85,60,65433.1,7.3,HW,,2,0.025875,,,,
545,85,19,70389.5,6.7,HW,,2,0.025875,,,,
546,85,56,72541.3,7.3,HW,,2,0.025875,,,,
547,85,30,78709.9,7.0,HW,,2,0.025875,,,,
548,85,19,81287.3,6.7,HW,,2,0.025875,,,,
549,85,34,88114.7,7.0,HW,,2,0.025875,,,,
550,85,26,90515.9,6.9,HW,,2,0.025875,,,,
551,85,66,92067.1,7.4,HW,,2,0.025875,,,,
552,85,66,94562.1,7.4,HW,,2,0.025875,,,,
553,85,44,95548.2,7.2,HW,,2,0.025875,,,,
554,85,31,95752.5,7.0,HW,,2,0.025875,,,,
555,85,11,97486.3,6.4,HW,,2,0.025875,,,,
556,85,28,98583.9,6.9,HW,,2,0.025875,,,,
557,85,25,100915.6,5.6,HW,,2,0.025875,,,,
558,85,2,100903.7,6.9,HW,,2,0.025875,,,,
559,85,82,104167.9,7.5,HW,,2,0.025875,,,,
560,86,55,22402.7,7.3,HW,,2,0.025993,,,,
561,86,14,24290.5,6.6,HW,,2,0.025993,,,,
562,86,23,27033.0,6.8,HW,,2,0.025993,,,,
563,86,12,35300.3,6.5,HW,,2,0.025993,,,,
564,86,50,40000.4,7.2,HW,,2,0.025993,,,,
565,86,62,53371.4,7.3,HW,,2,0.025993,,,,
566,86,38,60779.4,7.1,HW,,2,0.025993,,,,
567,86,25,60953.4,6.9,HW,,2,0.025993,,,,
568,86,60,67323.2,7.3,HW,,2,0.025993,,,,
569,86,19,71782.1,6.7,HW,,2,0.025993,,,,
570,86,56,72129.3,7.3,HW,,2,0.025993,,,,
571,86,19,79844.0,6.7,HW,,2,0.025993,,,,
572,86,30,80694.1,7.0,HW,,2,0.025993,,,,
573,86,34,87129.5,7.0,HW,,2,0.025993,,,,
574,86,26,88839.5,6.9,HW,,2,0.025993,,,,
575,86,66,90192.3,7.4,HW,,2,0.025993,,,,
576,86,44,93852.0,7.2,HW,,2,0.025993,,,,
577,86,11,95919.1,6.4,HW,,2,0.025993,,,,
578,86,66,96448.1,7.4,HW,,2,0.025993,,,,
579,86,28,97183.5,6.9,HW,,2,0.025993,,,,
580,86,31,97726.2,7.0,HW,,2,0.025993,,,,
581,86,2,99126.3,5.6,HW,,2,0.025993,,,,
582,86,25,99407.0,6.9,HW,,2,0.025993,,,,
583,86,78,103501.4,7.4,HW,,2,0.025993,,,,
584,87,55,23267.2,7.3,HW,,2,0.026087,,,,
585,87,14,25467.7,6.6,HW,,2,0.026087,,,,
586,87,23,27762.9,6.8,HW,,2,0.026087,,,,
587,87,12,35894.7,6.5,HW,,2,0.026087,,,,
588,87,50,38853.0,7.2,HW,,2,0.026087,,,,
589,87,62,52624.5,7.3,HW,,2,0.026087,,,,
590,87,38,59783.7,6.9,HW,,2,0.026087,,,,
591,87,25,59765.1,7.1,HW,,2,0.026087,,,,
592,87,60,68383.7,7.3,HW,,2,0.026087,,,,
593,87,56,71734.6,7.3,HW,,2,0.026087,,,,
594,87,19,72730.4,6.7,HW,,2,0.026087,,,,
595,87,19,78889.5,6.7,HW,,2,0.026087,,,,
596,87,30,81866.5,7.0,HW,,2,0.026087,,,,
597,87,34,86350.2,7.0,HW,,2,0.026087,,,,
598,87,26,87765.1,6.9,HW,,2,0.026087,,,,
599,87,66,89037.7,7.4,HW,,2,0.026087,,,,
600,87,44,92772.4,7.2,HW,,2,0.026087,,,,
601,87,11,94901.1,6.4,HW,,2,0.026087,,,,
602,87,28,96249.4,6.9,HW,,2,0.026087,,,,
603,87,66,97608.5,7.4,HW,,2,0.026087,,,,
604,87,2,98005.2,5.6,HW,,2,0.026087,,,,
605,87,25,98423.7,6.9,HW,,2,0.026087,,,,
606,87,31,98865.2,7.0,HW,,2,0.026087,,,,
607,87,78,102394.7,7.4,HW,,2,0.026087,,,,
608,88,55,23833.9,7.3,HW,,2,0.026415,,,,
609,88,14,27406.3,6.6,HW,,2,0.026415,,,,
610,88,23,30147.5,6.8,HW,,2,0.026415,,,,
611,88,12,35696.8,6.5,HW,,2,0.026415,,,,
612,88,50,36645.5,7.2,HW,,2,0.026415,,,,
613,88,62,50251.9,7.3,HW,,2,0.026415,,,,
614,88,38,57341.4,7.1,HW,,2,0.026415,,,,
615,88,25,57705.8,6.9,HW,,2,0.026415,,,,
616,88,60,69516.1,7.3,HW,,2,0.026415,,,,
617,88,56,69702.1,7.3,HW,,2,0.026415,,,,
618,88,19,75171.6,6.7,HW,,2,0.026415,,,,
619,88,19,76448.3,6.7,HW,,2,0.026415,,,,
620,88,30,83668.5,7.0,HW,,2,0.026415,,,,
621,88,34,83955.3,7.0,HW,,2,0.026415,,,,
622,88,26,85391.0,6.9,HW,,2,0.026415,,,,
623,88,66,86855.8,7.4,HW,,2,0.026415,,,,
624,88,44,90405.2,7.2,HW,,2,0.026415,,,,
625,88,11,92479.7,6.4,HW,,2,0.026415,,,,
626,88,28,93807.2,6.9,HW,,2,0.026415,,,,
627,88,2,95711.1,5.6,HW,,2,0.026415,,,,
628,88,25,95988.1,6.9,HW,,2,0.026415,,,,
629,88,66,100070.2,7.4,HW,,2,0.026415,,,,
630,88,78,99771.4,7.4,HW,,2,0.026415,,,,
631,88,31,100375.6,7.0,HW,,2,0.026415,,,,
632,89,55,24599.1,7.3,HW,,2,0.026437,,,,
633,89,14,28079.6,6.6,HW,,2,0.026437,,,,
634,89,23,30322.8,6.8,HW,,2,0.026437,,,,
635,89,50,36052.8,7.2,HW,,2,0.026437,,,,
636,89,12,36386.6,6.5,HW,,2,0.026437,,,,
637,89,62,50119.3,7.3,HW,,2,0.026437,,,,
638,89,38,56940.8,7.1,HW,,2,0.026437,,,,
639,89,25,57061.7,6.9,HW,,2,0.026437,,,,
640,89,56,69838.7,7.3,HW,,2,0.026437,,,,
641,89,60,70286.8,7.3,HW,,2,0.026437,,,,
642,89,19,75512.9,6.7,HW,,2,0.026437,,,,
643,89,19,76112.4,6.7,HW,,2,0.026437,,,,
644,89,34,83786.1,7.0,HW,,2,0.026437,,,,
645,89,30,84376.3,7.0,HW,,2,0.026437,,,,
646,89,26,84916.1,6.9,HW,,2,0.026437,,,,
647,89,66,86253.2,7.4,HW,,2,0.026437,,,,
648,89,44,89923.3,7.2,HW,,2,0.026437,,,,
649,89,11,92073.3,6.4,HW,,2,0.026437,,,,
650,89,28,93491.1,6.9,HW,,2,0.026437,,,,
651,89,2,95169.6,5.6,HW,,2,0.026437,,,,
652,89,25,95620.5,6.9,HW,,2,0.026437,,,,
653,89,78,99550.5,7.4,HW,,2,0.026437,,,,
654,89,66,100378.9,7.4,HW,,2,0.026437,,,,
655,89,31,101124.2,7.0,HW,,2,0.026437,,,,
656,90,55,19528.0,7.3,HW,,2,0.02615,,,,
657,90,14,22814.0,6.6,HW,,2,0.02615,,,,
658,90,23,28262.3,6.8,HW,,2,0.02615,,,,
659,90,12,32310.4,6.5,HW,,2,0.02615,,,,
660,90,50,41045.6,7.2,HW,,2,0.02615,,,,
661,90,62,52479.8,7.3,HW,,2,0.02615,,,,
662,90,38,60905.9,7.1,HW,,2,0.02615,,,,
663,90,25,61403.9,6.9,HW,,2,0.02615,,,,
664,90,60,64827.8,7.3,HW,,2,0.02615,,,,
665,90,56,70271.8,7.3,HW,,2,0.02615,,,,
666,90,19,72123.9,6.7,HW,,2,0.02615,,,,
667,90,30,78945.7,7.0,HW,,2,0.02615,,,,
668,90,19,79673.2,6.7,HW,,2,0.02615,,,,
669,90,34,85951.3,7.0,HW,,2,0.02615,,,,
670,90,26,89209.1,6.9,HW,,2,0.02615,,,,
671,90,66,91259.6,7.4,HW,,2,0.02615,,,,
672,90,44,94307.8,7.2,HW,,2,0.02615,,,,
673,90,66,95329.5,7.4,HW,,2,0.02615,,,,
674,90,31,95594.9,7.0,HW,,2,0.02615,,,,
675,90,11,96031.8,6.4,HW,,2,0.02615,,,,
676,90,28,96914.4,6.9,HW,,2,0.02615,,,,
677,90,25,99350.7,6.9,HW,,2,0.02615,,,,
678,90,2,99869.4,5.6,HW,,2,0.02615,,,,
679,90,82,103359.7,7.5,HW,,2,0.02615,,,,
680,90,78,104134.2,7.4,HW,,2,0.02615,,,,
681,91,55,19839.3,7.3,HW,,2,0.026049,,,,
682,91,14,22500.3,6.6,HW,,2,0.026049,,,,
683,91,23,27490.3,6.8,HW,,2,0.026049,,,,
684,91,12,32837.4,6.5,HW,,2,0.026049,,,,
685,91,50,41425.5,7.2,HW,,2,0.026049,,,,
686,91,62,53205.5,7.3,HW,,2,0.026049,,,,
687,91,38,61484.8,7.1,HW,,2,0.026049,,,,
688,91,25,61969.1,6.9,HW,,2,0.026049,,,,
689,91,60,64903.7,7.3,HW,,2,0.026049,,,,
690,91,56,71062.2,7.3,HW,,2,0.026049,,,,
691,91,19,71451.7,6.7,HW,,2,0.026049,,,,
692,91,30,78734.7,7.0,HW,,2,0.026049,,,,
693,91,19,80304.8,6.7,HW,,2,0.026049,,,,
694,91,34,86726.0,7.0,HW,,2,0.026049,,,,
695,91,26,89753.8,6.9,HW,,2,0.026049,,,,
696,91,66,91643.9,7.4,HW,,2,0.026049,,,,
697,91,44,94828.3,7.2,HW,,2,0.026049,,,,
698,91,66,94953.8,7.4,HW,,2,0.026049,,,,
699,91,31,95517.8,7.0,HW,,2,0.026049,,,,
700,91,11,96617.2,6.4,HW,,2,0.026049,,,,
701,91,28,97562.6,6.9,HW,,2,0.026049,,,,
702,91,25,99965.3,6.9,HW,,2,0.026049,,,,
703,91,2,100329.8,5.6,HW,,2,0.026049,,,,
704,91,82,103511.3,7.5,HW,,2,0.026049,,,,
705,91,78,104618.9,7.4,HW,,2,0.026049,,,,
706,92,20,97970.3,6.8,HW,,2,0.0066246,,,,
707,93,28,31829.7,6.9,HW,,2,0.013851,,,,
708,93,70,32436.5,7.4,HW,,2,0.013851,,,,
709,94,37,13807.5,7.1,HW,,2,0.0041399,,,,
710,94,9,31062.6,6.3,HW,,2,0.0041399,,,,
711,94,27,54640.3,6.9,FW,,2,0.0041399,,,,
712,94,2,77100.2,5.6,HW,,2,0.0041399,,,,
713,94,20,84658.1,6.8,HW,,2,0.0041399,,,,
714,94,44,86490.0,7.2,HW,,2,0.0041399,,,,
715,95,70,18324.3,7.4,HW,,2,0.014251,,,,
716,95,28,74427.8,6.9,HW,,2,0.014251,,,,
717,96,40,90131.4,7.1,HW,,2,0.0042445,,,,
718,97,20,77951.7,6.8,HW,,2,0.0073185,,,,
719,97,37,80196.1,7.1,HW,,2,0.0073185,,,,
720,99,20,49775.7,6.8,HW,,2,0.0044575,,,,
721,99,37,79686.9,7.1,HW,,2,0.0044575,,,,
722,99,2,81891.4,5.6,HW,,2,0.0044575,,,,
723,100,26,59494.4,6.9,HW,,2,0.0071966,,,,
724,100,33,106009.2,7.0,FW,,2,0.0071966,,,,
725,101,64,81266.8,7.3,HW,,2,0.01355,,,,
726,101,28,96441.2,6.9,HW,,2,0.01355,,,,
727,101,70,97981.2,7.4,HW,,2,0.01355,,,,
728,101,55,101779.3,7.3,HW,,2,0.01355,,,,
729,104,19,25304.3,6.7,HW,,1,0.017614,,,,
730,104,15.58,46578.0,6.6,HW,,1,0.017614,,,,
731,104,38,69456.3,7.1,HW,,1,0.017614,,,,
732,104,37,91774.2,7.1,HW,,1,0.017614,,,,
733,106,40,72814.9,7.1,HW,,2,0.003778,,,,
734,107,55,4013.5,7.3,HW,,1,0.029517,,,,
735,107,33,4767.5,7.0,HW,,1,0.029517,,,,
736,107,53,12196.2,7.2,HW,,1,0.029517,,,,
737,107,54,13820.3,7.3,HW,,1,0.029517,,,,
738,107,10,14056.3,6.4,HW,,1,0.029517,,,,
739,107,43,17714.8,7.1,HW,,1,0.029517,,,,
740,107,15,18201.3,6.6,HW,,1,0.029517,,,,
741,107,79,27412.8,7.4,HW,,1,0.029517,,,,
742,107,24,31481.4,6.8,HW,,1,0.029517,,,,
743,107,17,32029.5,6.7,HW,,1,0.029517,,,,
744,107,54,39790.7,7.3,HW,,1,0.029517,,,,
745,107,14,51590.1,6.6,HW,,1,0.029517,,,,
746,107,42,52749.8,7.1,HW,,1,0.029517,,,,
747,107,93,60354.8,7.5,HW,,1,0.029517,,,,
748,107,54,61739.6,7.3,HW,,1,0.029517,,,,
749,107,47,62577.8,7.2,HW,,1,0.029517,,,,
750,107,38,70433.5,7.1,HW,,1,0.029517,,,,
751,107,172,83862.4,7.8,HW,,1,0.029517,,,,
752,107,111,84407.8,7.6,HW,,1,0.029517,,,,
753,107,13,84886.9,6.5,HW,,1,0.029517,,,,
754,107,23,88535.4,6.8,HW,,1,0.029517,,,,
755,107,24,92317.6,6.8,HW,,1,0.029517,,,,
756,108,9,19317.9,6.3,FW,,2,0.0044968,,,,
757,108,37,30511.5,7.1,HW,,2,0.0044968,,,,
758,108,44,59064.5,7.2,HW,,2,0.0044968,,,,
759,108,27,71025.4,6.9, HW,,2,0.0044968,,,,
760,108,20,86017.0,6.8,HW,,2,0.0044968,,,,
761,111,53,5920.0,7.2,HW,,2,0.033129,,,,
762,111,109,8278.9,7.6,HW,,2,0.033129,,,,
763,111,52,37998.8,7.2,HW,,2,0.033129,,,,
764,111,68.82108,39160.9,7.4,HW,,2,0.033129,,,,
765,111,27,45815.6,6.9,HW,,2,0.033129,,,,
766,111,82,53816.9,7.5,HW,,2,0.033129,,,,
767,111,12,60817.2,6.5,HW,,2,0.033129,,,,
768,111,48,69778.8,7.2,HW,,2,0.033129,,,,
769,111,115,73518.7,7.6,HW,,2,0.033129,,,,
770,111,52,79512.9,7.2,HW,,2,0.033129,,,,
771,111,60,92483.5,7.3, FW,,2,0.033129,,,,
772,111,59.978704,104375.7,7.3,HW,,2,0.033129,,,,
773,112,37,21224.3,7.1,HW,,2,0.0039808,,,,
774,112,9,39590.7,6.3,HW,,2,0.0039808,,,,
775,112,27,52611.7,6.9,HW,,2,0.0039808,,,,
776,112,2,67266.6,5.6,HW,,2,0.0039808,,,,
777,112,20,86488.8,6.8,HW,,2,0.0039808,,,,
778,112,44,94082.8,7.2,HW,,2,0.0039808,,,,
779,113,43,115.8,7.1,HW,,1,0.025106,,,,
780,113,53,6334.4,7.2,HW,,1,0.025106,,,,
781,113,15,7782.9,6.6,HW,,1,0.025106,,,,
782,113,14,15118.7,6.6,HW,,1,0.025106,,,,
783,113,10,17519.3,6.4,HW,,1,0.025106,,,,
784,113,54,20149.1,7.3,HW,,1,0.025106,,,,
785,113,93,21715.6,7.5,HW,,1,0.025106,,,,
786,113,33,23459.6,7.0,HW,,1,0.025106,,,,
787,113,47,26763.6,7.2,HW,,1,0.025106,,,,
788,113,17,27469.0,6.7,HW,,1,0.025106,,,,
789,113,38,33543.7,7.1,HW,,1,0.025106,,,,
790,113,54,34573.4,7.3,HW,,1,0.025106,,,,
791,113,55,34651.2,7.3,HW,,1,0.025106,,,,
792,113,79,42368.8,7.4,HW,,1,0.025106,,,,
793,113,42,44832.4,7.1,HW,,1,0.025106,,,,
794,113,54,48259.0,7.3,HW,,1,0.025106,,,,
795,113,24,55437.3,6.8,HW,,1,0.025106,,,,
796,113,24,56921.4,6.8,HW,,1,0.025106,,,,
797,113,111,76847.9,7.6,HW,,1,0.025106,,,,
798,113,172,79622.7,7.8,HW,,1,0.025106,,,,
799,113,13,94332.2,6.5,HW,,1,0.025106,,,,
800,114,60,44727.4,7.3,HW,,2,0.021147,,,,
801,114,44,66181.3,7.2,HW,,2,0.021147,,,,
802,114,4,71915.3,5.9,HW,,2,0.021147,,,,
803,114,126,77007.6,7.7,HW,,2,0.021147,,,,
804,114,32.708688,77515.6,6.7,HW,,2,0.021147,,,,
805,114,19,77384.8,7.0,HW,,2,0.021147,,,,
806,114,70,83724.5,7.4,HW,,2,0.021147,,,,
807,114,25,86757.8,6.9,HW,,2,0.021147,,,,
808,114,42.07241,90380.4,7.1,HW,,2,0.021147,,,,
809,114,72,93213.2,7.4,HW,,2,0.021147,,,,
810,114,34,105212.5,7.0,HW,,2,0.021147,,,,
811,114,41,105557.4,7.3,HW,,2,0.021147,,,,
812,114,56.215053,105536.8,7.1,HW,,2,0.021147,,,,
813,118,19,6110.9,6.7,HW,,1,0.016345,,,,
814,118,38,19985.6,7.1,HW,,1,0.016345,,,,
815,118,15.58,47406.2,6.6,HW,,1,0.016345,,,,
816,118,31,77991.9,7.0,HW,,1,0.016345,,,,
817,120,40,108690.3,7.1,HW,,2,0.0038647,,,,
818,122,40,48228.2,7.1,HW,,2,0.0040622,,,,
819,127,70,11878.2,7.4,HW,,2,0.014556,,,,
820,127,28,81855.2,6.9,HW,,2,0.014556,,,,
821,129,56.215053,208.5,7.3,FW,,2,0.04491,,,,
822,129,101,14834.3,7.6,HW,,2,0.04491,,,,
823,129,41,16680.9,7.1,HW,,2,0.04491,,,,
824,129,70,21565.2,7.4,HW,,2,0.04491,,,,
825,129,42.07241,28228.2,7.1,HW,,2,0.04491,,,,
826,129,34,36054.2,7.0,HW,,2,0.04491,,,,
827,129,25,38097.9,6.9,HW,,2,0.04491,,,,
828,129,29,43891.6,6.9,HW,,2,0.04491,,,,
829,129,7,49121.7,6.2,HW,,2,0.04491,,,,
830,129,68,53558.7,7.4,HW,,2,0.04491,,,,
831,129,19,58491.3,6.7,HW,,2,0.04491,,,,
832,129,59.978704,59654.8,7.3,HW,,2,0.04491,,,,
833,129,126,60646.2,7.7,HW,,2,0.04491,,,,
834,129,60,62419.7,7.3,FW,,2,0.04491,,,,
835,129,115,63661.8,7.6,HW,,2,0.04491,,,,
836,129,60,73530.9,7.3,HW,,2,0.04491,,,,
837,129,72,74437.8,7.4,HW,,2,0.04491,,,,
838,129,49,76925.2,7.2,HW,,2,0.04491,,,,
839,129,82,81310.8,7.5,HW,,2,0.04491,,,,
840,129,32.708688,81853.8,7.0,HW,,2,0.04491,,,,
841,129,4,88891.9,5.9,HW,,2,0.04491,,,,
842,129,44,92193.1,7.2,HW,,2,0.04491,,,,
843,129,24.633328,93952.9,6.9,HW,,2,0.04491,,,,
844,129,55,103272.4,7.3,HW,,2,0.04491,,,,
845,131,2,22697.4,5.6,HW,,2,0.0035545,,,,
846,131,37,71989.8,7.1,HW,,2,0.0035545,,,,
847,131,20,84941.4,6.8,HW,,2,0.0035545,,,,
848,131,27,98935.1,6.9, HW,,2,0.0035545,,,,
849,131,9,100931.7,6.3,FW,,2,0.0035545,,,,
850,132,40,74509.4,7.1,HW,,2,0.0039457,,,,
851,133,44,17161.1,7.2,HW,,2,0.0055354,,,,
852,133,9,61297.9,6.3,HW,,2,0.0055354,,,,
853,133,37,87265.4,7.1,HW,,2,0.0055354,,,,
854,133,27,103044.9,6.9,FW,,2,0.0055354,,,,
855,134,54,683.3,7.3,HW,,2,0.017339,,,,
856,134,42,9429.8,7.1,HW,,2,0.017339,,,,
857,134,26,11292.1,6.9,HW,,2,0.017339,,,,
858,134,123,11599.6,7.7,HW,,2,0.017339,,,,
859,134,15,29648.8,6.6,HW,,2,0.017339,,,,
860,134,31,35629.0,7.0,FW,,2,0.017339,,,,
861,134,56,49741.4,7.3,HW,,2,0.017339,,,,
862,134,162,58694.6,7.8,HW,,2,0.017339,,,,
863,134,85,69414.8,7.5,HW,,2,0.017339,,,,
864,134,13,76960.3,6.5,HW,,2,0.017339,,,,
865,134,16,80447.0,6.6,HW,,2,0.017339,,,,
866,134,66,85346.2,7.4,HW,,2,0.017339,,,,
867,134,19,92353.5,6.7,HW,,2,0.017339,,,,
868,134,11,97076.4,6.4,HW,,2,0.017339,,,,
869,135,20,74870.1,6.8,HW,,2,0.007651,,,,
870,137,49,72424.6,7.2,HW,,2,0.016241,,,,
871,137,72,74544.1,7.4,HW,,2,0.016241,,,,
872,137,70,75638.0,7.4,HW,,2,0.016241,,,,
873,137,55,85423.6,7.3,HW,,2,0.016241,,,,
874,137,68,89508.4,7.4,HW,,2,0.016241,,,,
875,137,24.633328,96368.5,6.9,HW,,2,0.016241,,,,
876,137,24.723261,100304.9,6.9,HW,,2,0.016241,,,,
877,138,53,26226.2,7.2,HW,,2,0.029481,,,,
878,138,68.82108,27609.8,7.4,HW,,2,0.029481,,,,
879,138,52,31480.5,7.2,HW,,2,0.029481,,,,
880,138,27,32905.2,6.9,HW,,2,0.029481,,,,
881,138,82,36626.4,7.5,HW,,2,0.029481,,,,
882,138,109,45776.6,7.6,HW,,2,0.029481,,,,
883,138,115,49970.1,7.6,HW,,2,0.029481,,,,
884,138,60,54649.7,7.3,HW,,2,0.029481,,,,
885,138,59.978704,67621.4,7.3,HW,,2,0.029481,,,,
886,138,52,70760.3,7.2,HW,,2,0.029481,,,,
