OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),"1:5,000 AEP SA_3s_NSHA23",,,,
99,19,57,83152.5,7.3,HW,B,1,0.022389,,,,
100,19,30,89900.2,7.0,HW,OTHER,1,0.022389,,,,
101,19,111,91099.7,7.6,HW,OTHER,1,0.022389,,,,
102,20,44,66100.9,7.2,HW,DE,2,0.0067415,,,,
103,20,9,100842.3,6.3, FW,B,2,0.0067415,,,,
104,21,44,66628.4,7.2,HW,B,2,0.0067554,,,,
105,21,9,101263.1,6.3, HW,B,2,0.0067554,,,,
106,22,38,189.4,7.1,HW,D,2,0.046048,,,,
107,22,28,10481.0,6.9,HW,B,2,0.046048,,,,
108,22,24,11150.7,6.8,HW,B,2,0.046048,,,,
109,22,53,13923.0,7.2,HW,B,2,0.046048,,,,
110,22,34,20868.2,7.0,HW,CD,2,0.046048,,,,
111,22,19,23544.3,6.7,HW,B,2,0.046048,,,,
112,22,44,26740.5,7.2,HW,B,2,0.046048,,,,
113,22,25,27396.9,6.9,HW,B,2,0.046048,,,,
114,22,14,29558.1,6.6,HW,B,2,0.046048,,,,
115,22,14,31554.9,6.6,HW,D,2,0.046048,,,,
116,22,11,33717.4,6.4,HW,D,2,0.046048,,,,
117,22,56,35734.4,7.3,HW,OTHER,2,0.046048,,,,
118,22,26,42163.8,6.9,HW,D,2,0.046048,,,,
119,22,23,47315.0,6.8,HW,B,2,0.046048,,,,
120,22,78,50289.8,7.4,HW,B,2,0.046048,,,,
121,22,2,52171.3,5.6,HW,B,2,0.046048,,,,
122,22,38,55844.1,7.1,HW,B,2,0.046048,,,,
123,22,62,55982.4,7.3,HW,B,2,0.046048,,,,
124,22,25,56116.1,6.9,HW,OTHER,2,0.046048,,,,
125,22,23,56415.8,6.8,HW,B,2,0.046048,,,,
126,22,34,60384.5,7.0,HW,B,2,0.046048,,,,
127,22,50,63710.8,7.2,HW,D,2,0.046048,,,,
128,22,66,64557.7,7.4,HW,D,2,0.046048,,,,
129,22,30,65203.9,7.0,HW,B,2,0.046048,,,,
130,22,37,77860.9,7.1,HW,D,2,0.046048,,,,
131,23,26,69868.6,6.9,HW,D,2,0.010025,,,,
132,23,70,106695.8,7.4,HW,DE,2,0.010025,,,,
133,24,26,80950.4,6.9,HW,D,2,0.010288,,,,
134,25,26,71804.4,6.9,HW,B,2,0.010135,,,,
135,25,70,106479.7,7.4,HW,B,2,0.010135,,,,
