OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT m,EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,S09nc_med,NGAE_med,A12_std,AB06_std,D15_std,S09nc_std,NGAE_std,A12_wt,AB06_wt,D15_wt,S09nc_wt,NGAE_wt
44,15,49,84929.2,7.2,HW,B,2,-2.67522591,-3.02520802,-2.99391969,-2.58274231,-1.977791034,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
45,15,72,86835.3,7.4,HW,B,2,-2.51256702,-2.87402819,-2.88231315,-2.43938811,-1.807425669,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
46,15,55,97860.3,7.3,HW,B,2,-2.62093251,-2.96557816,-3.07133161,-2.66171095,-2.014207812,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
47,15,68,101610.8,7.4,HW,D,2,-2.54792904,-2.89547556,-3.04328691,-2.62160893,-1.954471593,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
48,16,54,1228.5,7.3,HW,OTHER,2,1.13512635,1.26090352,-0.98581544,-0.2683833,0.642575044,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
49,16,42,8409.5,7.1,HW,B,2,0.13079719,-0.14799735,-1.34866142,-0.7709386,0.211924033,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
50,16,123,14368.4,7.7,HW,B,2,-0.25264223,-0.48347718,-1.39707175,-0.74723968,0.107005215,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
51,16,26,20127.5,6.9,HW,B,2,-1.0706853,-1.40340743,-1.95231796,-1.47437189,-0.572282932,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
52,16,15,34891.9,6.6,HW,B,2,-2.09038252,-2.45796133,-2.59235717,-2.18866645,-1.481043354,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
53,16,31,40177.8,7,FW,B,2,-1.94906605,-2.3408614,-2.43542054,-1.99451008,-1.34916137,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
54,16,56,52700.4,7.3,HW,B,2,-2.09519401,-2.51124915,-2.48198343,-2.01686678,-1.426163901,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
55,16,162,63209.5,7.8,HW,OTHER,2,-2.02112788,-2.43380599,-2.37103255,-1.81451248,-1.197455411,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
56,16,66,67369.4,7.4,HW,D,2,-2.35162513,-2.79387393,-2.64043812,-2.17255481,-1.578921832,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
57,16,16,69582.7,6.6,HW,B,2,-3.10021954,-3.52445035,-3.25437855,-2.90053052,-2.391044297,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
58,16,19,76049.8,6.7,HW,D,2,-3.12636167,-3.44711957,-3.2633321,-2.90693364,-2.374318378,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
59,16,85,85317.8,7.5,HW,D,2,-2.431324,-2.79913219,-2.80260985,-2.33868928,-1.6965756,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
60,16,13,88597.3,6.5,HW,D,2,-3.40833943,-3.65922661,-3.60723236,-3.28450406,-2.736497876,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
61,16,11,100014.5,6.4,HW,B,2,-3.5548896,-3.77702615,-3.844117,-3.54376552,-2.976399337,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
62,16,45,102840.4,7.2,HW,B,2,-2.7178074,-3.05120702,-3.19554772,-2.80964315,-2.160649392,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
63,17,40,30668.8,7.1,HW,B,2,-1.50468123,-1.87329961,-2.15395381,-1.67576481,-0.924887021,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
102,20,44,66100.9,7.2,HW,DE,2,-2.47602832,-2.91854532,-2.74897706,-2.3145297,-1.74280418,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
103,20,9,100842.3,6.3, FW,B,2,-3.68162594,-3.88230801,-3.95300039,-3.65939978,-3.098999573,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
104,21,44,66628.4,7.2,HW,B,2,-2.48684773,-2.9303134,-2.75645233,-2.32259738,-1.75107515,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
105,21,9,101263.1,6.3, HW,B,2,-3.68250533,-3.88291882,-3.95809649,-3.66507036,-3.103291749,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
106,22,38,189.4,7.1,HW,D,2,1.18129323,1.40370267,-1.03777909,-0.3438651,0.69616687,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
107,22,28,10481,6.9,HW,B,2,-0.22043321,-0.45750442,-1.54310543,-1.01520278,0.004783086,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
108,22,24,11150.7,6.8,HW,B,2,-0.35563265,-0.60983504,-1.62801398,-1.1187318,-0.082521754,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
109,22,53,13923,7.2,HW,B,2,-0.41233096,-0.68672093,-1.56005008,-1.00894522,-0.063062319,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
110,22,34,20868.2,7,HW,CD,2,-1.05175441,-1.38686547,-1.92180894,-1.43193433,-0.537241653,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
111,22,19,23544.3,6.7,HW,B,2,-1.4387592,-1.78285097,-2.19403724,-1.75186818,-0.89311805,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
112,22,44,26740.5,7.2,HW,B,2,-1.25471673,-1.60870647,-1.99474364,-1.48996521,-0.693706277,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
113,22,25,27396.9,6.9,HW,B,2,-1.49464062,-1.85431914,-2.18499898,-1.72811323,-0.931761988,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
114,22,14,29558.1,6.6,HW,B,2,-1.84959989,-2.20600224,-2.44892261,-2.0330266,-1.279417575,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
115,22,14,31554.9,6.6,HW,D,2,-1.94433916,-2.30513344,-2.50476141,-2.0935412,-1.356704354,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
116,22,11,33717.4,6.4,HW,D,2,-2.23262543,-2.58404812,-2.71735683,-2.3287596,-1.616559899,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
117,22,56,35734.4,7.3,HW,OTHER,2,-1.57684321,-1.95453934,-2.16240445,-1.66248133,-0.947481833,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
118,22,26,42163.8,6.9,HW,D,2,-2.09733097,-2.49147543,-2.54364781,-2.12099619,-1.492811245,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
119,22,23,47315,6.8,HW,B,2,-2.34715799,-2.74764436,-2.71787205,-2.31894502,-1.739244722,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
120,22,78,50289.8,7.4,HW,B,2,-1.9646605,-2.37292468,-2.38453459,-1.89896485,-1.299199832,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
121,22,2,52171.3,5.6,HW,B,2,-3.88388771,-4.14430765,-3.92975302,-3.59482299,-3.134002956,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
122,22,38,55844.1,7.1,HW,B,2,-2.32477141,-2.74819883,-2.65941682,-2.23020679,-1.657884927,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
123,22,62,55982.4,7.3,HW,B,2,-2.17615772,-2.59875356,-2.53470826,-2.07268335,-1.485161365,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
124,22,25,56116.1,6.9,HW,OTHER,2,-2.50023304,-2.91997988,-2.80328869,-2.40264323,-1.849134322,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
125,22,23,56415.8,6.8,HW,B,2,-2.5984892,-3.01467473,-2.88276967,-2.49480875,-1.953496452,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
126,22,34,60384.5,7,HW,B,2,-2.51602438,-2.94607755,-2.80063003,-2.39050081,-1.836228731,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
127,22,50,63710.8,7.2,HW,D,2,-2.42590929,-2.86409828,-2.71457228,-2.2774914,-1.706162585,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
128,22,66,64557.7,7.4,HW,D,2,-2.29511485,-2.73203117,-2.60173307,-2.13061722,-1.537226219,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
129,22,30,65203.9,7,HW,B,2,-2.62321949,-3.06161134,-2.87402114,-2.46888366,-1.911119824,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
130,22,37,77860.9,7.1,HW,D,2,-2.7463689,-3.09620139,-2.97685394,-2.57201191,-1.994000156,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
131,23,26,69868.6,6.9,HW,D,2,-2.81011468,-3.25298362,-3.01611552,-2.62948721,-2.091112627,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
132,23,70,106695.8,7.4,HW,DE,2,-2.55891818,-2.90285669,-3.09532219,-2.6813068,-2.004370124,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
133,24,26,80950.4,6.9,HW,D,2,-2.94891464,-3.27175277,-3.16691855,-2.79351934,-2.230040601,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
134,25,26,71804.4,6.9,HW,B,2,-2.84879102,-3.2584769,-3.04360004,-2.65917348,-2.115140889,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
135,25,70,106479.7,7.4,HW,B,2,-2.55846193,-2.90254301,-3.09314154,-2.67879729,-2.002198122,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
136,26,55,18450,7.3,HW,B,2,-0.71493932,-1.02410991,-1.68923901,-1.14071649,-0.248479775,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
137,26,12,27646.7,6.5,HW,B,2,-1.84317457,-2.18957958,-2.46581315,-2.05486288,-1.260097617,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
138,26,14,27782.7,6.6,HW,B,2,-1.76002171,-2.11223696,-2.39683618,-1.97663475,-1.187554365,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
139,26,50,35626.8,7.2,HW,B,2,-1.63860552,-2.0187585,-2.21512731,-1.73243665,-1.017662668,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
140,26,23,36845.8,6.8,HW,B,2,-1.99109079,-2.3716241,-2.49540704,-2.07382032,-1.387028746,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
141,26,62,44499.6,7.3,HW,B,2,-1.86895703,-2.2676957,-2.33887822,-1.85911436,-1.221627972,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
142,26,38,54660.9,7.1,HW,B,2,-2.29529938,-2.71652466,-2.63998285,-2.20968199,-1.635394443,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
143,26,25,55306.4,6.9,HW,B,2,-2.47970945,-2.89804765,-2.78962407,-2.38825517,-1.833076667,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
144,26,56,61582.6,7.3,HW,D,2,-2.30406457,-2.73745817,-2.61977069,-2.163467,-1.584776421,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
145,26,60,64938.1,7.3,HW,B,2,-2.37530354,-2.81499052,-2.66814185,-2.21550843,-1.633790019,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
146,26,19,72736.4,6.7,HW,D,2,-3.0617201,-3.44231001,-3.21649071,-2.85627044,-2.331229199,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
147,26,34,77395.3,7,HW,B,2,-2.83988744,-3.17963228,-3.04395868,-2.65292485,-2.082103985,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
148,26,19,79797.4,6.7,HW,OTHER,2,-3.1571739,-3.4525594,-3.31462434,-2.96270859,-2.425402198,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
149,26,30,82021.3,7,HW,B,2,-2.85265908,-3.18634715,-3.10359807,-2.71838273,-2.136959674,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
150,26,26,83226.2,6.9,HW,B,2,-2.95497933,-3.27505621,-3.19610684,-2.82559648,-2.254288563,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
151,26,66,87115.4,7.4,HW,D,2,-2.51329175,-2.87443477,-2.88551925,-2.44298103,-1.810359095,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
152,26,44,88455.4,7.2,HW,OTHER,2,-2.68427814,-3.03032648,-3.03562953,-2.62922285,-2.015622334,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
153,26,11,89587.1,6.4,HW,B,2,-3.53149914,-3.76189026,-3.71394489,-3.39977512,-2.86189546,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
154,26,28,89753.9,6.9,HW,B,2,-2.97149623,-3.28453149,-3.27696278,-2.91501979,-2.327290273,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
155,26,25,92567.7,6.9,HW,B,2,-2.97824847,-3.28861586,-3.31061527,-2.95248402,-2.355966616,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
156,26,2,94833.2,5.6,HW,B,2,-4.66574072,-4.68204156,-4.65146287,-4.35719889,-3.853648997,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
157,26,31,97168.7,7,HW,B,2,-2.88994241,-3.20833435,-3.2844837,-2.91974492,-2.297404318,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
