MODEL,LH[SA(0.2)],LH[SA(1.0)]
Bea97,5.4e-06,6.7e-03
Zea06,0.15,0.44
CB08,5.0e-03,0.26
CY08,0.11,0.23
Bea11,0.23,0.46
BA11,0.06,0.41
AA13,0.06,0.22
Aea14,0.18,0.50
Bea14,0.20,0.51
CY14,0.21,0.47
