MODEL,LH[SA(0.2)],LH[SA(1.0)]
Bea97,1.8e-04,0.10
Zea06,0.18,0.54
CB08,0.02,0.44
CY08,0.10,0.39
Bea11,0.43,0.52
BA11,0.11,0.48
AA13,0.13,0.32
Aea14,0.50,0.49
Bea14,0.39,0.36
CY14,0.28,0.30
