MODEL,LH[SA(0.2)],LH[SA(1.0)]
Bea97,7.6e-04,0.10
Zea06,0.17,0.52
CB08,0.02,0.44
CY08,0.09,0.36
Bea11,0.33,0.54
BA11,0.12,0.48
AA13,0.10,0.34
Aea14,0.52,0.46
Bea14,0.40,0.38
CY14,0.24,0.29
