MODEL,LH[SA(0.2)],LH[SA(1.0)]
Bea97,4.6e-10,2.3e-05
Zea06,0.03,0.09
CB08,5.5e-05,0.01
CY08,9.8e-03,0.04
Bea11,0.18,0.23
BA11,5.9e-03,0.18
AA13,9.7e-04,0.02
Aea14,0.10,0.26
Bea14,0.06,0.28
CY14,0.04,0.29
