MODEL,LH[SA(0.2)],LH[SA(1.0)]
Bea97,4.70e-06,9.63e-03
Zea06,0.16,0.47
CB08,5.00e-03,0.31
CY08,0.12,0.29
Bea11,0.24,0.50
BA11,0.06,0.48
AA13,0.07,0.23
Aea14,0.18,0.52
Bea14,0.17,0.54
CY14,0.23,0.52
