freq,c0,c1,c2,m0,m1
3.1005,-1.3000,0.0000,-2.5009e-03,0.9620,-7.8478
3.2253,-1.3000,0.0000,-2.5421e-03,0.9885,-7.9712
3.3552,-1.3000,0.0000,-2.5839e-03,0.9801,-7.9570
3.4903,-1.3000,0.0000,-2.6262e-03,0.9944,-8.0216
3.6308,-1.3000,0.0000,-2.6690e-03,1.0193,-8.1357
3.7770,-1.3000,0.0000,-2.7123e-03,0.9989,-8.0588
3.9290,-1.3000,0.0000,-2.7561e-03,1.0259,-8.1702
4.0872,-1.3000,0.0000,-2.8005e-03,1.0042,-8.1113
4.2518,-1.3000,0.0000,-2.8454e-03,1.0207,-8.1957
4.4230,-1.3000,0.0000,-2.8908e-03,1.0110,-8.1726
4.6011,-1.3000,0.0000,-2.9368e-03,1.0097,-8.1780
4.7863,-1.3000,0.0000,-2.9833e-03,0.9951,-8.1145
4.9790,-1.3000,0.0000,-3.0303e-03,1.0246,-8.2268
5.1795,-1.3000,0.0000,-3.0778e-03,0.9873,-8.0979
5.3880,-1.3000,0.0000,-3.1259e-03,1.0136,-8.2340
5.6049,-1.3000,0.0000,-3.1745e-03,0.9680,-8.0707
5.8306,-1.3000,0.0000,-3.2236e-03,0.9610,-8.0418
6.0654,-1.3000,0.0000,-3.2732e-03,0.9998,-8.2196
6.3096,-1.3000,0.0000,-3.3234e-03,0.9619,-8.0753
6.5636,-1.3000,0.0000,-3.3741e-03,0.9973,-8.2379
6.8279,-1.3000,0.0000,-3.4253e-03,1.0338,-8.3732
7.1028,-1.3000,0.0000,-3.4771e-03,0.9318,-8.0167
7.3888,-1.3000,0.0000,-3.5293e-03,0.9735,-8.2050
7.6862,-1.3000,0.0000,-3.5821e-03,0.9746,-8.2431
7.9957,-1.3000,0.0000,-3.6355e-03,0.9320,-8.1207
8.3176,-1.3000,0.0000,-3.6893e-03,0.9912,-8.3312
8.6525,-1.3000,0.0000,-3.7437e-03,0.9849,-8.3279
9.0009,-1.3000,0.0000,-3.7986e-03,1.0012,-8.4207
9.3633,-1.3000,0.0000,-3.8540e-03,0.9836,-8.3741
9.7403,-1.3000,0.0000,-3.9100e-03,0.9901,-8.4418
10.1324,-1.3000,0.0000,-3.9665e-03,0.9925,-8.4839
10.5404,-1.3000,0.0000,-4.0235e-03,0.9822,-8.4898
10.9648,-1.3000,0.0000,-4.0810e-03,0.9666,-8.4628
11.4062,-1.3000,0.0000,-4.1391e-03,0.9357,-8.3686
11.8655,-1.3000,0.0000,-4.1977e-03,0.9529,-8.4627
12.3432,-1.3000,0.0000,-4.2568e-03,0.9511,-8.4869
12.8402,-1.3000,0.0000,-4.3164e-03,0.9142,-8.3946
13.3572,-1.3000,0.0000,-4.3766e-03,0.9082,-8.3833
13.8950,-1.3000,0.0000,-4.4373e-03,0.9237,-8.4884
14.4544,-1.3000,0.0000,-4.4985e-03,0.9019,-8.4255
15.0364,-1.3000,0.0000,-4.5603e-03,0.9499,-8.6785
15.6418,-1.3000,0.0000,-4.6225e-03,0.8798,-8.4439
16.2715,-1.3000,0.0000,-4.6853e-03,0.8545,-8.4270
16.9267,-1.3000,0.0000,-4.7487e-03,0.8636,-8.4779
17.6082,-1.3000,0.0000,-4.8125e-03,0.8316,-8.3950
18.3171,-1.3000,0.0000,-4.8769e-03,0.8906,-8.6281
19.0546,-1.3000,0.0000,-4.9418e-03,0.8830,-8.6476
19.8218,-1.3000,0.0000,-5.0072e-03,0.8616,-8.6301
20.6199,-1.3000,0.0000,-5.0732e-03,0.8591,-8.6736
21.4501,-1.3000,0.0000,-5.1397e-03,0.9169,-8.9246
22.3137,-1.3000,0.0000,-5.2067e-03,0.9196,-8.9847
23.2121,-1.3000,0.0000,-5.2742e-03,0.8715,-8.8288
24.1467,-1.3000,0.0000,-5.3423e-03,0.9065,-9.0196
25.1189,-1.3000,0.0000,-5.4109e-03,0.8941,-9.0160
26.1302,-1.3000,0.0000,-5.4800e-03,0.8449,-8.9128
27.1823,-1.3000,0.0000,-5.5496e-03,0.8355,-8.9483
28.2767,-1.3000,0.0000,-5.6198e-03,0.7901,-8.7938
29.4152,-1.3000,0.0000,-5.6905e-03,0.8239,-8.9507
30.5995,-1.3000,0.0000,-5.7617e-03,0.7643,-8.7701
31.8315,-1.3000,0.0000,-5.8335e-03,0.7499,-8.7796
33.1131,-1.3000,0.0000,-5.9057e-03,0.7087,-8.6322
34.4463,-1.3000,0.0000,-5.9785e-03,0.7452,-8.8415
35.8332,-1.3000,0.0000,-6.0519e-03,0.7114,-8.7617
