109.13568,-6.1349,5.74E-02
109.13606,-7.48388,1.33E-01
109.13652,-8.83286,3.73E-01
109.13706,-10.18185,4.70E-01
109.13768,-11.53083,9.72E-02
109.13838,-12.87981,4.21E-02
109.13917,-14.22879,2.41E-02
109.14004,-15.57778,1.55E-02
109.14101,-16.92676,1.05E-02
109.14206,-18.27574,7.77E-03
109.14322,-19.62472,2.94E-03
109.14447,-20.9737,3.10E-03
109.14583,-22.32269,3.92E-03
109.14729,-23.67167,5.62E-03
109.14887,-25.02065,6.94E-03
109.15056,-26.36963,6.43E-03
109.15239,-27.71862,4.74E-03
109.15434,-29.0676,2.86E-03
109.15643,-30.41658,1.73E-03
109.15866,-31.76556,2.07E-03
109.16106,-33.11455,3.65E-03
109.16361,-34.46353,3.72E-03
109.16635,-35.81251,1.89E-03
109.16927,-37.16149,7.83E-04
109.17239,-38.51048,7.44E-05
109.17574,-39.85946,0.00E+00
109.17931,-41.20844,0.00E+00
109.18314,-42.55742,0.00E+00
109.18724,-43.90641,0.00E+00
109.19163,-45.25539,0.00E+00
109.27164,-6.67449,7.68E-02
109.27246,-8.02347,1.85E-01
109.27345,-9.37246,4.95E-01
109.27459,-10.72144,1.93E-01
109.2759,-12.07042,6.72E-02
109.27737,-13.4194,3.36E-02
109.27901,-14.76839,2.04E-02
109.28083,-16.11737,1.35E-02
109.28284,-17.46635,9.44E-03
109.28503,-18.81533,7.06E-03
109.28741,-20.16432,3.48E-03
109.29,-21.5133,3.63E-03
109.2928,-22.86228,4.99E-03
109.29582,-24.21126,6.93E-03
109.29907,-25.56024,7.68E-03
109.30256,-26.90923,6.54E-03
109.3063,-28.25821,4.34E-03
109.31031,-29.60719,2.59E-03
109.31461,-30.95617,1.91E-03
109.3192,-32.30516,3.02E-03
109.32412,-33.65414,4.84E-03
109.32937,-35.00312,3.51E-03
109.33499,-36.3521,1.54E-03
109.34099,-37.70109,5.43E-04
109.34741,-39.05007,0.00E+00
109.35427,-40.39905,0.00E+00
109.36162,-41.74803,0.00E+00
109.36948,-43.09702,0.00E+00
109.37791,-44.446,0.00E+00
109.38696,-45.79498,0.00E+00
109.4078,-7.07919,9.84E-02
109.40911,-8.42817,2.50E-01
109.41066,-9.77715,5.75E-01
109.41245,-11.12613,1.34E-01
109.41448,-12.47512,5.40E-02
109.41677,-13.8241,2.91E-02
109.41931,-15.17308,1.81E-02
109.42212,-16.52206,1.22E-02
109.42521,-17.87105,8.92E-03
109.42858,-19.22003,6.54E-03
109.43225,-20.56901,3.91E-03
109.43623,-21.91799,4.29E-03
109.44052,-23.26697,6.02E-03
109.44515,-24.61596,8.11E-03
109.45013,-25.96494,8.25E-03
109.45548,-27.31392,6.59E-03
109.46121,-28.6629,4.12E-03
109.46736,-30.01189,2.53E-03
109.47393,-31.36087,2.31E-03
109.48097,-32.70985,4.08E-03
109.48849,-34.05883,5.59E-03
