EVENT,GAID,LON,LAT,DEP,OMAG,OMAG_TYPE,MB,BRUNE_MAG,BRUNE_MAG_STD,STRESS_DROP,LOG_STRESS_DROP_STD,CORN_FREQ,CORN_FREQ_STD,NRECS,FMIN,FMAX,QUALITY,ML2800,ML2080,DOMAIN
1997-08-31T15:23:50.000000Z,ga1997rdkjbx,117.684,-31.449,5,4.6,ML,nan,4.136939104,0.399563962,1.288800276,0.450353259,1.585884152,1.523098479,4,0.6,9,1,4.499,4.41,CBGZ
1997-09-01T09:48:37.000000Z,ga1997reuzci,123.138,-18.116,5,4.5,mb,4.3,4.01715768,0.163315141,1.573610073,0.71013945,1.94565577,1.416719078,10,0.5,10,1,4.117,4.021,CBGZ
1998-02-14T18:23:34.000000Z,ga1998deensa,148.604,-35.372,0,3.8,Mwt,nan,3.899406006,0.184039246,1.697979316,0.409168638,2.285354621,0.872349505,22,0.75,10,1,4.184,4.088,NCBM
1998-02-26T14:13:04.000000Z,ga1998dzwykf,136.621,-33.347,27.7,3.8,MLa,nan,4.25155509,0.094208217,1.943952825,0.560824206,1.593908914,1.101395572,7,0.8,12,0,4.567,4.472,CBGZ
1998-03-29T03:50:17.000000Z,ga1998gdzvag,139.12,-12.397,0,5.2,mb,5.2,4.939002321,0,0.146118395,0,0.304845373,0,1,0.03,3,2,nan,nan,CBGZ
1998-05-22T19:01:14.000000Z,ga1998kahfno,147.87,-35.59,6,3.8,MLa,nan,3.59163307,0.097833613,4.215264676,1.036462032,4.410327957,2.645701769,2,0.8,12,2,nan,nan,NCBM
1998-06-09T01:00:50.000000Z,ga1998lfymji,135.844,-27.939,3,4.4,ML,nan,4.163344932,0.06133899,0.590027299,0.135257554,1.185670569,0.043135461,4,0.6,8,1,nan,nan,CBGZ
1998-07-17T01:22:39.000000Z,ga1998nxsupr,147.942,-36.367,21,3.9,Mwt,nan,4.069193243,0.198945131,5.158644447,0.59877435,2.722248169,1.697472678,12,0.8,12,1,4.42,4.322,NCBM
1998-09-27T22:32:08.000000Z,ga1998tbndxs,144.779,-38.357,0,3.8,MLa,nan,3.514821142,0.114963409,2.713950019,0.666054029,4.160407286,3.480134407,13,0.8,12,1,3.819,3.709,EBGZ
1998-10-16T13:46:14.000000Z,ga1998ujsnlu,147.385,-34.669,16,3.9,MLa,nan,3.607703834,0.140218134,3.247184589,0.381480407,3.968833496,1.757909729,7,0.8,12,1,3.911,3.809,NCBM
1998-11-02T02:26:18.000000Z,ga1998vobinb,113.53,-19.538,10,4.6,mb,4.5,4.467543225,0,11.86357524,0,2.271499896,0,1,0.9,9,2,nan,nan,EBGZ
1998-11-02T17:09:38.000000Z,ga1998vpepry,151.146,-22.808,0,4.7,mb,4.4,4.492204701,0.238207357,0.96759848,0.304357552,0.957506754,0.329930692,4,0.5,6,1,nan,nan,NCBM
1998-11-12T19:19:33.000000Z,ga1998whseln,121.83,-13.05,6,4.5,ML,nan,4.705365319,0.087768013,30.62637422,0.341773824,2.369708935,0.382966348,2,0.6,10,2,nan,nan,EBGZ
1999-01-13T09:40:00.000000Z,ga1999awtyjj,146.374,-38.161,0,3.5,Mwt,nan,3.603166065,0.115792198,11.84735732,0.905714427,6.141907442,6.081907,11,0.8,12,1,3.891,3.778,EBGZ
1999-03-08T16:08:53.000000Z,ga1999eskazw,125.7258,-13.044,325.7,5.6,ML,nan,4.144428538,0,5.852198141,0,2.603581693,0,1,0.8,5,0,nan,nan,CBGZ
1999-03-09T23:43:05.000000Z,ga1999euuvha,128.7734,-10.8895,33,5.6,mb,5.6,4.213494936,0,0.700808624,0,1.185217755,0,1,0.6,7,2,nan,nan,EBGZ
1999-03-14T00:13:31.000000Z,ga1999fcetak,147.077,-34.001,2,3.9,mwt,nan,4.059806156,0.175586639,3.055414564,0.362349596,2.310997315,0.973567286,9,0.8,10,1,4.474,4.381,NCBM
1999-03-17T01:58:10.000000Z,ga1999fhvjvs,150.77,-34.234,8,4.3,mwt,nan,4.600791489,0.275856897,1.633730924,0.508950439,1.006182832,0.611748276,20,0.3,7,1,4.696,4.606,NCBM
1999-04-15T04:55:52.000000Z,ga1999hjhimq,134.044,-19.791,6,5.1,ML,nan,4.634297826,0.254585439,2.80602326,0.47304724,1.159384028,0.3687352,6,0.3,5,1,nan,nan,CBGZ
1999-05-10T10:02:25.000000Z,ga1999jdoqqx,134.017,-19.754,14,4.6,ML,nan,4.430884851,0.196837347,1.371811268,0.658234443,1.154342894,0.623387466,5,0.7,5,0,nan,nan,CBGZ
1999-08-18T11:01:55.000000Z,ga1999qfffyg,138.464,-33.274,19.5,4.3,MLa,nan,4.399771633,0.258377068,2.298499749,0.51992283,1.421046015,0.546873323,8,0.5,12,1,4.354,4.267,NCBM
2000-03-16T13:26:29.000000Z,ga2000fisezh,146.105,-37.478,14,3.8,MLa,nan,3.499362531,0.151473535,4.173677557,0.532576709,4.888446161,2.193781152,15,0.8,12,1,3.758,3.659,NCBM
2000-05-14T12:39:41.000000Z,ga2000jmymov,112.901,-22.977,5,4.7,ML,nan,4.719713591,0.180561722,1.436296653,0.071996431,0.840563237,0.233059539,5,0.5,10,1,nan,nan,EBGZ
2000-08-29T12:05:52.000000Z,ga2000rbibpq,146.29,-38.415,18,4.1,mwt,nan,4.396717034,0.329200564,2.377416929,0.639846558,1.442189749,1.145619763,22,0.7,10,1,4.658,4.565,EBGZ
2000-10-11T19:27:17.000000Z,ga2000ucuxvl,113.066,-19.804,36.2,5.4,mb,5.3,4.894841047,0.173009449,20.29056681,0.297061472,1.660950439,0.518665301,15,0.2,9,1,nan,nan,EBGZ
2000-12-23T07:13:23.000000Z,ga2000zfwpqz,135.801,-7.901,61,6,Mwp,5.8,5.477425995,0.063242203,52.16710622,0.046937372,1.163496431,0.042715471,2,0.03,3,2,nan,nan,
2001-06-14T12:05:14.000000Z,ga2001lpzdhm,138.13,-31.837,18,4,MLa,nan,3.994737361,0.159861157,5.243360297,0.405975944,2.982041551,0.716715023,8,0.8,12,1,4.353,4.261,NCBM
2001-08-21T23:13:03.000000Z,ga2001qlqqpu,145.45,-38.183,5,3.7,Mwt,nan,3.50640586,0.164856363,10.05033406,0.865541761,6.499346732,4.332115028,9,1,15,1,3.806,3.694,EBGZ
2001-09-14T15:18:30.000000Z,ga2001sdciuu,133.879,-19.702,11,4.9,ML,nan,4.501212652,0.229821742,3.603760869,0.852894507,1.468897415,0.536141105,3,0.7,5,0,nan,nan,CBGZ
2001-09-28T02:54:56.000000Z,ga2001tbvwjr,117.061,-30.536,2.3,5.2,ML,nan,4.452169204,0.474167238,1.43404823,0.369310236,1.14318308,0.736292413,3,0.6,5,0,4.759,4.666,CBGZ
2001-10-01T04:52:15.000000Z,ga2001thmycu,117.049,-30.525,0.4,3.8,MLa,nan,3.799473857,0.305895022,0.748974257,0.418277073,1.951781388,1.102584843,10,0.3,8,1,3.716,3.624,CBGZ
2001-10-05T14:55:54.000000Z,ga2001tppvuz,117.056,-30.506,0.8,3.7,MLa,nan,3.89623381,0.263440801,0.504154081,0.121708653,1.530206331,0.726598643,5,0.3,12,1,3.948,3.856,CBGZ
2001-10-19T17:43:23.000000Z,ga2001upnolt,120.593,-33.608,0,5.2,ML,nan,5.036938752,0.123856672,15.43296704,0.266996323,1.287338934,0.588397214,4,0.04,4,1,nan,nan,CBGZ
2001-10-27T07:58:48.000000Z,ga2001vdlztj,143.69,-35.356,16.5,4.2,mwt,nan,4.32721951,0.226070323,8.841459285,0.568841569,2.420531282,1.439014428,18,0.5,6,1,4.729,4.637,NCBM
2001-11-23T03:33:32.000000Z,ga2001xaruxy,148.31,-33.901,4.2,3.8,MLa,nan,3.89638484,0.229022408,0.576054801,0.462741907,1.599464668,0.780648379,17,0.8,10,1,3.958,3.866,NCBM
2001-12-25T00:56:49.000000Z,ga2001zhfwaz,117.069,-30.531,1.2,4,MLa,nan,4.215926172,0.263865053,1.209761792,0.39536847,1.417803376,0.273043365,6,0.5,12,1,4.331,4.243,CBGZ
2001-12-28T16:31:36.000000Z,ga2001znyafg,117.068,-30.533,2.4,4.22,mwt,nan,4.372573258,0.322327875,1.497717755,0.316837732,1.271166682,0.323524201,7,0.2,8,1,4.601,4.518,CBGZ
2002-02-07T12:48:57.000000Z,ga2002cqxjev,143.886,-40.356,10,4.5,ML,nan,4.507401932,0.210084031,1.057313718,0.385349304,0.969124249,0.374414245,6,0.5,9,1,4.525,4.437,NCBT
2002-02-14T13:27:20.000000Z,ga2002dduskz,150.744,-34.524,5,3.5,Mwt,nan,3.575723448,0.167964478,4.539983311,0.507464378,4.604355332,2.664926447,16,0.7,10,1,3.785,3.68,NCBM
2002-03-05T01:47:38.000000Z,ga2002eluifc,117.049,-30.499,0.5,4.46,mwt,nan,4.437631154,0.329391339,1.876563854,0.287639279,1.271504816,0.545102762,6,0.1,12,1,4.843,4.762,CBGZ
2002-03-05T03:29:57.000000Z,ga2002elxsjm,117.062,-30.508,0.4,4.2,mwt,nan,4.216827165,0.366240647,1.537620622,0.340159283,1.534199911,1.103390642,7,0.5,9,1,4.489,4.398,CBGZ
