Date time,Mag,Lat,Long,Depth
2018-09-16T04:56:24,5.3,-34.39,116.799,0
2018-10-12T16:31:29.048,4.65,-34.395,116.799,5.8
2018-11-08T21:07:00.006,5.2,-34.423,116.787,3
