< SEA_1880_28_c27560 6.300000 0.002114 0.001421 0.003145 0.998602 
# mag Eq_num Eq_upp Eq_dwn Eq_in ls2_avg ls2_upp ls2_dwn  ml_avg w_avg   ls_b1 
2.6 -9999.9 -9999.9 -9999.9 33.27058 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
2.7 -9999.9 -9999.9 -9999.9 33.13499 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
2.8 1.51267 0.00650 0.00648 32.55873 34.33332 49.37721 23.87289 32.55873 31.42172 20.68382 
2.9 1.43434 0.00712 0.00709 27.18595 26.02625 37.33597 18.14244 25.12130 24.28779 16.42974 
3.0 1.31049 0.00823 0.00819 20.44031 19.72911 28.23657 13.78488 19.38282 18.77354 13.05061 
3.1 1.19669 0.00939 0.00934 15.72853 14.95558 21.35904 10.47188 14.95518 14.51123 10.36647 
3.2 1.06229 0.01098 0.01091 11.54216 11.33702 16.15988 7.95353 11.53895 11.21663 8.23438 
3.3 0.92022 0.01296 0.01286 8.32188 8.59399 12.22877 6.03958 8.90309 8.67003 6.54080 
3.4 0.80892 0.01476 0.01463 6.44056 6.51464 9.25587 4.58526 6.86935 6.70160 5.19554 
3.5 0.68551 0.01706 0.01689 4.84737 4.93840 7.00716 3.48041 5.30018 5.18008 4.12697 
3.6 0.58325 0.01924 0.01902 3.83044 3.74354 5.30589 2.64123 4.08945 4.00401 3.27816 
3.7 0.42504 0.02319 0.02287 2.66097 2.83777 4.01854 2.00396 3.15529 3.09494 2.60394 
3.8 0.31193 0.02652 0.02609 2.05081 2.15116 3.04418 1.52012 2.43453 2.39227 2.06838 
3.9 0.19293 0.03055 0.02998 1.55929 1.63068 2.30657 1.15285 1.87840 1.84914 1.64297 
4.0 0.11563 0.03350 0.03281 1.30506 1.23613 1.74806 0.87412 1.44932 1.42931 1.30506 
4.1 -0.06329 0.04155 0.04047 0.86439 0.93705 1.32508 0.66264 1.11825 1.10480 1.03665 
4.2 -0.15808 0.04660 0.04524 0.69490 0.71032 1.00466 0.50222 0.86281 0.85397 0.82344 
4.3 -0.29374 0.05500 0.05307 0.50847 0.53846 0.76189 0.38055 0.66571 0.66009 0.65408 
4.4 -0.39065 0.06198 0.05950 0.40677 0.40818 0.57791 0.28829 0.51364 0.51022 0.51955 
4.5 -0.54041 0.07470 0.07104 0.28813 0.30942 0.43845 0.21836 0.39631 0.39438 0.41270 
4.6 -0.59477 0.07999 0.07578 0.25423 0.23455 0.33272 0.16535 0.30578 0.30484 0.32782 
4.7 -0.72947 0.09498 0.08894 0.18644 0.17780 0.25254 0.12518 0.23593 0.23563 0.26039 
4.8 -0.86777 0.11370 0.10489 0.13559 0.13478 0.19172 0.09476 0.18204 0.18213 0.20684 
4.9 -0.92576 0.12277 0.11242 0.11864 0.10217 0.14557 0.07171 0.14045 0.14078 0.16430 
5.0 -0.99271 0.13429 0.12179 0.10169 0.07745 0.11056 0.05426 0.10837 0.10882 0.13051 
5.1 999999.90000 999999.90000 999999.90000 999999.90000 0.05871 0.08399 0.04104 0.08362 0.08411 0.10366 
5.2 -1.29374 0.20492 0.17474 0.05085 0.04451 0.06381 0.03104 0.06451 0.06502 0.08234 
5.3 -1.46983 0.26816 0.21582 0.03390 0.03374 0.04849 0.02347 0.04978 0.05026 0.06541 
5.4 -1.77086 0.45782 0.30871 0.01695 0.02557 0.03686 0.01775 0.03841 0.03885 0.05196 
5.5 999999.90000 999999.90000 999999.90000 999999.90000 0.01939 0.02802 0.01341 0.02963 0.03003 0.04127 
5.6 999999.90000 999999.90000 999999.90000 999999.90000 0.01470 0.02130 0.01014 0.02286 0.02321 0.03278 
5.7 999999.90000 999999.90000 999999.90000 999999.90000 0.01114 0.01620 0.00766 0.01764 0.01794 0.02604 
5.8 999999.90000 999999.90000 999999.90000 999999.90000 0.00844 0.01232 0.00579 0.01361 0.01387 0.02068 
5.9 999999.90000 999999.90000 999999.90000 999999.90000 0.00640 0.00937 0.00437 0.01050 0.01072 0.01643 
6.0 999999.90000 999999.90000 999999.90000 999999.90000 0.00485 0.00713 0.00330 0.00810 0.00828 0.01305 
6.1 999999.90000 999999.90000 999999.90000 999999.90000 0.00368 0.00543 0.00249 0.00625 0.00640 0.01037 
6.2 999999.90000 999999.90000 999999.90000 999999.90000 0.00279 0.00413 0.00188 0.00482 0.00495 0.00823 
6.3 999999.90000 999999.90000 999999.90000 999999.90000 0.00211 0.00314 0.00142 0.00372 0.00383 0.00654 
6.4 999999.90000 999999.90000 999999.90000 999999.90000 0.00160 0.00239 0.00107 0.00287 0.00296 0.00520 
6.5 999999.90000 999999.90000 999999.90000 999999.90000 0.00121 0.00182 0.00081 0.00222 0.00229 0.00413 
6.6 999999.90000 999999.90000 999999.90000 999999.90000 0.00092 0.00139 0.00061 0.00171 0.00177 0.00328 
6.7 999999.90000 999999.90000 999999.90000 999999.90000 0.00070 0.00106 0.00046 0.00132 0.00137 0.00260 
6.8 999999.90000 999999.90000 999999.90000 999999.90000 0.00053 0.00081 0.00035 0.00102 0.00106 0.00207 
