< SEA_1880_29_c28560 6.400000 0.001598 0.001037 0.002462 0.998291 
# mag Eq_num Eq_upp Eq_dwn Eq_in ls2_avg ls2_upp ls2_dwn  ml_avg w_avg   ls_b1 
2.6 -9999.9 -9999.9 -9999.9 33.27058 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
2.7 -9999.9 -9999.9 -9999.9 33.13499 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
2.8 -9999.9 -9999.9 -9999.9 32.44009 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 
2.9 1.43434 0.00712 0.00709 27.18595 25.77034 37.99553 17.47865 27.18595 26.93378 12.08795 
3.0 1.31049 0.00823 0.00819 20.44031 19.53902 28.72517 13.29054 20.37440 20.20887 9.60180 
3.1 1.16465 0.00975 0.00969 14.60990 14.81444 21.72163 10.10365 15.26951 15.16305 7.62698 
3.2 1.06229 0.01098 0.01091 11.54216 11.23228 16.42947 7.67913 11.44367 11.37709 6.05833 
3.3 0.92022 0.01296 0.01286 8.32188 8.51629 12.42964 5.83502 8.57641 8.53642 4.81230 
3.4 0.80892 0.01476 0.01463 6.44056 6.45703 9.40586 4.43269 6.42756 6.40502 3.82254 
3.5 0.68551 0.01706 0.01689 4.84737 4.89571 7.11944 3.36655 4.81711 4.80580 3.03636 
3.6 0.56560 0.01965 0.01941 3.67790 3.71191 5.39016 2.55620 3.61016 3.60587 2.41186 
3.7 0.42504 0.02319 0.02287 2.66097 2.81437 4.08194 1.94041 2.70562 2.70554 1.91581 
3.8 0.31193 0.02652 0.02609 2.05081 2.13385 3.09203 1.47259 2.02772 2.03002 1.52178 
3.9 0.19293 0.03055 0.02998 1.55929 1.61788 2.34278 1.11728 1.51966 1.52315 1.20879 
4.0 0.11563 0.03350 0.03281 1.30506 1.22667 1.77554 0.84747 1.13891 1.14285 0.96018 
4.1 -0.11765 0.04437 0.04314 0.76270 0.93006 1.34600 0.64265 0.85355 0.85750 0.76270 
4.2 -0.15808 0.04660 0.04524 0.69490 0.70517 1.02063 0.48721 0.63969 0.64340 0.60583 
4.3 -0.29374 0.05500 0.05307 0.50847 0.53466 0.77412 0.36927 0.47941 0.48275 0.48123 
4.4 -0.39065 0.06198 0.05950 0.40677 0.40538 0.58730 0.27981 0.35929 0.36222 0.38225 
4.5 -0.54041 0.07470 0.07104 0.28813 0.30736 0.44568 0.21196 0.26927 0.27178 0.30364 
4.6 -0.59477 0.07999 0.07578 0.25423 0.23304 0.33829 0.16053 0.20180 0.20392 0.24119 
4.7 -0.72947 0.09498 0.08894 0.18644 0.17669 0.25685 0.12154 0.15124 0.15300 0.19158 
4.8 -0.86777 0.11370 0.10489 0.13559 0.13396 0.19506 0.09200 0.11335 0.11480 0.15218 
4.9 -0.92576 0.12277 0.11242 0.11864 0.10157 0.14817 0.06963 0.08495 0.08614 0.12088 
5.0 -0.99271 0.13429 0.12179 0.10169 0.07701 0.11258 0.05268 0.06366 0.06463 0.09602 
5.1 999999.90000 999999.90000 999999.90000 999999.90000 0.05839 0.08556 0.03985 0.04771 0.04849 0.07627 
5.2 -1.29374 0.20492 0.17474 0.05085 0.04427 0.06504 0.03013 0.03576 0.03639 0.06058 
5.3 -1.46983 0.26816 0.21582 0.03390 0.03357 0.04945 0.02278 0.02680 0.02730 0.04812 
5.4 -1.77086 0.45782 0.30871 0.01695 0.02545 0.03761 0.01722 0.02008 0.02048 0.03823 
5.5 999999.90000 999999.90000 999999.90000 999999.90000 0.01930 0.02861 0.01301 0.01505 0.01537 0.03036 
5.6 999999.90000 999999.90000 999999.90000 999999.90000 0.01463 0.02177 0.00983 0.01128 0.01153 0.02412 
5.7 999999.90000 999999.90000 999999.90000 999999.90000 0.01109 0.01657 0.00743 0.00845 0.00865 0.01916 
5.8 999999.90000 999999.90000 999999.90000 999999.90000 0.00841 0.01261 0.00561 0.00634 0.00649 0.01522 
5.9 999999.90000 999999.90000 999999.90000 999999.90000 0.00638 0.00960 0.00424 0.00475 0.00487 0.01209 
6.0 999999.90000 999999.90000 999999.90000 999999.90000 0.00483 0.00731 0.00320 0.00356 0.00365 0.00960 
6.1 999999.90000 999999.90000 999999.90000 999999.90000 0.00367 0.00557 0.00241 0.00267 0.00274 0.00763 
6.2 999999.90000 999999.90000 999999.90000 999999.90000 0.00278 0.00424 0.00182 0.00200 0.00206 0.00606 
6.3 999999.90000 999999.90000 999999.90000 999999.90000 0.00211 0.00323 0.00137 0.00150 0.00154 0.00481 
6.4 999999.90000 999999.90000 999999.90000 999999.90000 0.00160 0.00246 0.00104 0.00112 0.00116 0.00382 
6.5 999999.90000 999999.90000 999999.90000 999999.90000 0.00121 0.00188 0.00078 0.00084 0.00087 0.00304 
6.6 999999.90000 999999.90000 999999.90000 999999.90000 0.00092 0.00143 0.00059 0.00063 0.00065 0.00241 
6.7 999999.90000 999999.90000 999999.90000 999999.90000 0.00070 0.00109 0.00044 0.00047 0.00049 0.00192 
6.8 999999.90000 999999.90000 999999.90000 999999.90000 0.00053 0.00083 0.00034 0.00035 0.00037 0.00152 
6.9 999999.90000 999999.90000 999999.90000 999999.90000 0.00040 0.00063 0.00025 0.00027 0.00028 0.00121 
