#,,,,"generated_by='OpenQuake engine 3.13.0', start_date='2022-03-07T09:46:36', checksum=2636457089, kind='mean', investigation_time=50.0"
lon,lat,PGA-0.02,PGA-0.05,PGA-0.1
146.28101,-43.78492,4.205155E-02,2.152615E-02,1.193577E-02
146.34314,-43.78529,4.163082E-02,2.133892E-02,1.185113E-02
146.40528,-43.78563,4.119579E-02,2.113711E-02,1.175584E-02
146.46742,-43.78594,4.073577E-02,2.092189E-02,1.165157E-02
146.21946,-43.73950,4.245390E-02,2.177925E-02,1.210104E-02
146.28155,-43.73990,4.207689E-02,2.161696E-02,1.202939E-02
146.34364,-43.74028,4.167927E-02,2.143686E-02,1.194511E-02
146.40573,-43.74062,4.126977E-02,2.124079E-02,1.184985E-02
146.46782,-43.74092,3.945941E-02,2.026604E-02,1.127881E-02
146.15800,-43.69404,4.268890E-02,2.195163E-02,1.223208E-02
146.22004,-43.69448,4.238005E-02,2.182020E-02,1.217513E-02
146.28208,-43.69489,4.203966E-02,2.166695E-02,1.210409E-02
146.34413,-43.69526,4.166730E-02,2.149393E-02,1.202030E-02
146.40617,-43.69560,3.989645E-02,2.053242E-02,1.145116E-02
146.46822,-43.69590,3.949764E-02,2.033619E-02,1.135277E-02
146.65436,-43.69662,3.812324E-02,1.968289E-02,1.102225E-02
146.71640,-43.69679,3.761610E-02,1.945784E-02,1.090656E-02
146.77845,-43.69693,3.840829E-02,1.995688E-02,1.123180E-02
146.84050,-43.69703,3.794885E-02,1.973746E-02,1.111095E-02
146.90255,-43.69710,3.753743E-02,1.953088E-02,1.099191E-02
146.96460,-43.69714,3.717103E-02,1.933908E-02,1.087470E-02
145.97266,-43.64751,4.309514E-02,2.217291E-02,1.236138E-02
146.03465,-43.64805,4.293584E-02,2.212701E-02,1.235476E-02
146.09664,-43.64855,4.130876E-02,2.125136E-02,1.183517E-02
146.15863,-43.64903,4.250536E-02,2.195147E-02,1.228821E-02
146.22063,-43.64946,4.223046E-02,2.182700E-02,1.223154E-02
146.28262,-43.64987,4.191945E-02,2.168198E-02,1.216130E-02
146.34462,-43.65024,4.018876E-02,2.073847E-02,1.159725E-02
146.40662,-43.65058,3.984256E-02,2.056459E-02,1.150875E-02
146.46861,-43.65089,3.946224E-02,2.037483E-02,1.141132E-02
146.53061,-43.65116,4.041184E-02,2.092780E-02,1.177247E-02
146.59261,-43.65140,3.995404E-02,2.070424E-02,1.165657E-02
146.65462,-43.65160,3.813347E-02,1.973465E-02,1.108211E-02
146.71662,-43.65177,3.763809E-02,1.951135E-02,1.096610E-02
146.77862,-43.65191,3.843562E-02,2.001228E-02,1.129318E-02
146.84062,-43.65201,3.796896E-02,1.979238E-02,1.117153E-02
146.90262,-43.65208,3.756243E-02,1.958446E-02,1.105121E-02
146.96463,-43.65212,3.719653E-02,1.939147E-02,1.093285E-02
145.97343,-43.60249,4.286401E-02,2.215446E-02,1.240695E-02
146.03537,-43.60303,4.270446E-02,2.210598E-02,1.239810E-02
146.09731,-43.60354,4.109943E-02,2.123362E-02,1.187656E-02
146.15926,-43.60401,4.089694E-02,2.114167E-02,1.183709E-02
146.22121,-43.60445,4.206989E-02,2.181814E-02,1.227376E-02
146.28316,-43.60485,4.179051E-02,2.168035E-02,1.220432E-02
146.34511,-43.60523,4.008816E-02,2.074585E-02,1.164072E-02
146.40706,-43.60556,3.976255E-02,2.057861E-02,1.155337E-02
146.46901,-43.60587,4.077682E-02,2.115974E-02,1.192971E-02
146.53096,-43.60614,4.037829E-02,2.095470E-02,1.182070E-02
146.59292,-43.60638,3.859597E-02,1.998747E-02,1.124353E-02
146.65487,-43.60658,3.945102E-02,2.050752E-02,1.158623E-02
146.71683,-43.60675,3.764233E-02,1.954791E-02,1.101402E-02
146.77878,-43.60689,3.712532E-02,1.932889E-02,1.089694E-02
146.84074,-43.60699,3.664852E-02,1.911039E-02,1.078008E-02
146.90270,-43.60706,3.757985E-02,1.962254E-02,1.109929E-02
146.96465,-43.60710,3.720349E-02,1.942738E-02,1.097995E-02
147.02661,-43.60710,3.688216E-02,1.924575E-02,1.086231E-02
147.08857,-43.60707,3.661111E-02,1.906596E-02,1.074582E-02
147.27444,-43.60677,3.590940E-02,1.854894E-02,1.039326E-02
147.33639,-43.60661,3.567947E-02,1.837310E-02,1.027017E-02
145.91229,-43.55691,4.280903E-02,2.214393E-02,1.243420E-02
145.97419,-43.55748,4.264961E-02,2.212057E-02,1.244114E-02
146.03609,-43.55802,4.249504E-02,2.207138E-02,1.243036E-02
146.09799,-43.55852,4.090766E-02,2.120378E-02,1.190756E-02
146.15989,-43.55899,4.071410E-02,2.111428E-02,1.186750E-02
146.22179,-43.55943,4.050376E-02,2.100691E-02,1.181451E-02
146.28369,-43.55984,4.164705E-02,2.166283E-02,1.223641E-02
146.34559,-43.56021,3.996826E-02,2.073625E-02,1.167326E-02
146.40750,-43.56055,4.104631E-02,2.134664E-02,1.206562E-02
146.46941,-43.56085,4.069833E-02,2.116250E-02,1.196561E-02
146.53131,-43.56112,3.896451E-02,2.020673E-02,1.138928E-02
146.59322,-43.56136,3.989195E-02,2.074885E-02,1.174354E-02
146.65513,-43.56156,3.809640E-02,1.978570E-02,1.116740E-02
146.71704,-43.56173,3.891449E-02,2.029710E-02,1.150397E-02
146.77895,-43.56187,3.841803E-02,2.007092E-02,1.138149E-02
146.84086,-43.56197,3.663388E-02,1.913372E-02,1.081755E-02
146.90277,-43.56204,3.621535E-02,1.891652E-02,1.070124E-02
146.96468,-43.56207,3.717817E-02,1.944712E-02,1.101744E-02
147.02659,-43.56208,3.554705E-02,1.852254E-02,1.047240E-02
147.08850,-43.56205,3.657228E-02,1.908332E-02,1.078151E-02
147.15041,-43.56198,3.631857E-02,1.890608E-02,1.066460E-02
147.21232,-43.56188,3.608876E-02,1.873359E-02,1.054662E-02
147.27423,-43.56175,3.585546E-02,1.855998E-02,1.042624E-02
147.33614,-43.56159,3.562537E-02,1.838214E-02,1.030227E-02
147.39805,-43.56139,3.538229E-02,1.819477E-02,1.017311E-02
145.91310,-43.51189,4.118706E-02,2.131138E-02,1.196566E-02
145.97495,-43.51246,4.105145E-02,2.128702E-02,1.196969E-02
146.03680,-43.51300,4.090084E-02,2.123914E-02,1.195787E-02
146.09866,-43.51351,4.074792E-02,2.117221E-02,1.193129E-02
146.16051,-43.51398,4.057732E-02,2.108614E-02,1.189081E-02
146.22237,-43.51441,4.037026E-02,2.098182E-02,1.183802E-02
146.28422,-43.51482,4.152542E-02,2.164069E-02,1.226065E-02
146.34608,-43.51519,4.125626E-02,2.149670E-02,1.218135E-02
146.40794,-43.51553,4.095830E-02,2.133572E-02,1.209204E-02
146.46980,-43.51583,3.927051E-02,2.039501E-02,1.151902E-02
146.53166,-43.51610,3.891624E-02,2.020743E-02,1.141728E-02
146.59352,-43.51634,4.802001E-02,2.515034E-02,1.431069E-02
146.65539,-43.51654,3.937700E-02,2.053168E-02,1.165551E-02
146.71725,-43.51671,3.888195E-02,2.030607E-02,1.153474E-02
146.77911,-43.51685,3.839039E-02,2.008149E-02,1.141249E-02
146.84098,-43.51695,4.570561E-02,2.405366E-02,1.375882E-02
146.90284,-43.51702,3.618429E-02,1.892755E-02,1.073055E-02
146.96471,-43.51705,3.582519E-02,1.872330E-02,1.061495E-02
147.02657,-43.51706,3.550503E-02,1.853112E-02,1.050046E-02
147.08844,-43.51703,3.652507E-02,1.908946E-02,1.080964E-02
147.15030,-43.51696,3.626929E-02,1.891082E-02,1.069205E-02
147.21216,-43.51686,3.602712E-02,1.873609E-02,1.057329E-02
147.27403,-43.51673,3.579473E-02,1.856075E-02,1.045216E-02
147.33589,-43.51657,3.556216E-02,1.838150E-02,1.032762E-02
147.39775,-43.51637,3.530739E-02,1.819183E-02,1.019777E-02
145.85211,-43.46628,4.110060E-02,2.129167E-02,1.197487E-02
145.91391,-43.46688,4.100957E-02,2.128706E-02,1.199137E-02
145.97571,-43.46745,4.088290E-02,2.125883E-02,1.199207E-02
146.03752,-43.46799,4.074981E-02,2.120986E-02,1.197770E-02
146.09933,-43.46849,4.061320E-02,2.114378E-02,1.194972E-02
146.16113,-43.46896,4.044644E-02,2.105944E-02,1.190867E-02
146.22294,-43.46940,4.165142E-02,2.174196E-02,1.234608E-02
146.28475,-43.46980,4.142345E-02,2.161980E-02,1.227875E-02
146.34657,-43.47017,4.116532E-02,2.148039E-02,1.220032E-02
146.40838,-43.47051,4.927253E-02,2.585467E-02,1.469808E-02
146.47019,-43.47081,3.920972E-02,2.038754E-02,1.153948E-02
146.53201,-43.47108,4.021350E-02,2.095934E-02,1.190841E-02
146.59383,-43.47132,3.980179E-02,2.075213E-02,1.179595E-02
146.65564,-43.47152,3.934067E-02,2.053334E-02,1.167873E-02
146.71746,-43.47169,3.885085E-02,2.030967E-02,1.155846E-02
146.77928,-43.47182,3.835044E-02,2.008452E-02,1.143612E-02
146.84110,-43.47193,3.789219E-02,1.986502E-02,1.131329E-02
146.90291,-43.47200,3.614983E-02,1.893087E-02,1.075307E-02
146.96473,-43.47203,3.577547E-02,1.872422E-02,1.063674E-02
147.02655,-43.47203,3.545606E-02,1.853073E-02,1.052163E-02
147.08837,-43.47200,3.647733E-02,1.908766E-02,1.083093E-02
147.15019,-43.47194,4.372687E-02,2.291290E-02,1.303922E-02
147.21201,-43.47184,3.596353E-02,1.872988E-02,1.059309E-02
147.27383,-43.47171,3.573322E-02,1.855394E-02,1.047152E-02
147.33564,-43.47155,3.548857E-02,1.837237E-02,1.034631E-02
147.39746,-43.47135,4.260902E-02,2.209302E-02,1.242105E-02
145.85296,-43.42126,4.095309E-02,2.127912E-02,1.200271E-02
145.91472,-43.42187,4.086802E-02,2.126775E-02,1.201495E-02
145.97647,-43.42244,5.086149E-02,2.672870E-02,1.515415E-02
146.03823,-43.42297,4.065540E-02,2.118687E-02,1.199516E-02
146.09999,-43.42347,4.052350E-02,2.112038E-02,1.196562E-02
146.16176,-43.42394,5.035266E-02,2.646999E-02,1.504580E-02
146.22352,-43.42438,4.158134E-02,2.172034E-02,1.236061E-02
146.28528,-43.42478,4.135844E-02,2.160073E-02,1.229355E-02
146.34705,-43.42515,4.110613E-02,2.146412E-02,1.221556E-02
146.40882,-43.42549,4.084199E-02,2.131177E-02,1.212770E-02
146.47059,-43.42579,4.053180E-02,2.114112E-02,1.203081E-02
146.53236,-43.42606,4.017721E-02,2.095302E-02,1.192584E-02
146.59413,-43.42630,3.977736E-02,2.074859E-02,1.181394E-02
146.65590,-43.42650,3.931063E-02,2.053093E-02,1.169715E-02
146.71767,-43.42667,3.881242E-02,2.030732E-02,1.157705E-02
146.77944,-43.42680,3.831898E-02,2.008265E-02,1.145462E-02
146.84121,-43.42691,3.785557E-02,1.986237E-02,1.133154E-02
146.90299,-43.42697,3.742949E-02,1.965114E-02,1.120878E-02
146.96476,-43.42701,3.704602E-02,1.945165E-02,1.108692E-02
147.02653,-43.42701,3.670908E-02,1.926405E-02,1.096647E-02
147.08830,-43.42698,4.396245E-02,2.311080E-02,1.321041E-02
147.15008,-43.42692,3.613847E-02,1.889477E-02,1.072795E-02
147.21185,-43.42682,3.589173E-02,1.871699E-02,1.060802E-02
147.27362,-43.42669,3.564859E-02,1.853895E-02,1.048600E-02
147.33539,-43.42652,4.281811E-02,2.229522E-02,1.260268E-02
147.39716,-43.42633,3.515534E-02,1.816569E-02,1.023009E-02
147.45894,-43.42609,3.486432E-02,1.795943E-02,1.009367E-02
145.73039,-43.37495,4.236956E-02,2.204839E-02,1.246516E-02
145.79210,-43.37561,4.232597E-02,2.207367E-02,1.250655E-02
145.85381,-43.37625,4.084584E-02,2.127435E-02,1.202913E-02
145.91552,-43.37685,4.078086E-02,2.125816E-02,1.203724E-02
145.97723,-43.37742,4.069959E-02,2.122402E-02,1.203113E-02
146.03894,-43.37796,4.059450E-02,2.117206E-02,1.201174E-02
146.10066,-43.37846,5.049360E-02,2.656011E-02,1.511555E-02
146.16238,-43.37893,4.172610E-02,2.180693E-02,1.243027E-02
146.22409,-43.37936,5.007650E-02,2.632687E-02,1.499946E-02
146.28581,-43.37976,4.132070E-02,2.158578E-02,1.230634E-02
146.34753,-43.38013,4.108478E-02,2.145216E-02,1.222859E-02
146.40926,-43.38047,4.081776E-02,2.130181E-02,1.214120E-02
146.47098,-43.38077,4.051457E-02,2.113394E-02,1.204480E-02
146.53270,-43.38104,4.017060E-02,2.094820E-02,1.194015E-02
146.59443,-43.38127,3.842749E-02,1.999732E-02,1.136322E-02
146.65615,-43.38148,3.797440E-02,1.978861E-02,1.125178E-02
146.71788,-43.38165,3.748584E-02,1.957344E-02,1.113691E-02
146.77960,-43.38178,3.697001E-02,1.935669E-02,1.101974E-02
146.84133,-43.38188,3.648302E-02,1.913885E-02,1.090155E-02
146.90306,-43.38195,3.605402E-02,1.891828E-02,1.078362E-02
146.96479,-43.38199,3.698949E-02,1.944211E-02,1.110024E-02
147.02651,-43.38199,3.664137E-02,1.925231E-02,1.097914E-02
147.08824,-43.38196,3.633631E-02,1.906308E-02,1.085916E-02
147.14997,-43.38190,3.478143E-02,1.814782E-02,1.031941E-02
147.21169,-43.38180,4.328213E-02,2.268560E-02,1.292711E-02
147.27342,-43.38167,3.556463E-02,1.852001E-02,1.049669E-02
147.33515,-43.38150,3.532452E-02,1.833734E-02,1.037091E-02
147.39687,-43.38130,3.506429E-02,1.814538E-02,1.024048E-02
147.45860,-43.38107,3.477909E-02,1.793926E-02,1.010410E-02
145.73133,-43.32993,4.093241E-02,2.127139E-02,1.199999E-02
145.79299,-43.33060,4.229059E-02,2.209049E-02,1.253748E-02
145.85466,-43.33124,4.222687E-02,2.208291E-02,1.255619E-02
145.91632,-43.33184,4.216735E-02,2.205943E-02,1.255961E-02
145.97799,-43.33240,4.066972E-02,2.122287E-02,1.204925E-02
146.03965,-43.33294,4.197928E-02,2.196046E-02,1.252550E-02
146.10132,-43.33344,4.045497E-02,2.109825E-02,1.199401E-02
146.16299,-43.33391,4.170323E-02,2.179904E-02,1.244309E-02
146.22467,-43.33434,4.151418E-02,2.169484E-02,1.238546E-02
146.28634,-43.33474,4.130886E-02,2.157771E-02,1.231763E-02
146.34802,-43.33511,4.950980E-02,2.601657E-02,1.485150E-02
146.40969,-43.33545,4.081233E-02,2.129683E-02,1.215267E-02
146.47137,-43.33575,4.052050E-02,2.113121E-02,1.205632E-02
146.53305,-43.33602,4.017095E-02,2.094654E-02,1.195203E-02
146.59473,-43.33625,3.842390E-02,1.999500E-02,1.137471E-02
146.65641,-43.33645,3.796829E-02,1.978591E-02,1.126308E-02
146.71809,-43.33662,3.746906E-02,1.956969E-02,1.114801E-02
146.77977,-43.33676,3.693606E-02,1.935063E-02,1.103052E-02
146.84145,-43.33686,3.777873E-02,1.984871E-02,1.135662E-02
146.90313,-43.33693,3.601225E-02,1.890866E-02,1.079340E-02
146.96481,-43.33697,3.561711E-02,1.869683E-02,1.067555E-02
147.02649,-43.33697,3.658123E-02,1.923853E-02,1.098810E-02
147.08817,-43.33694,3.498261E-02,1.831035E-02,1.044284E-02
147.14986,-43.33687,3.598442E-02,1.885978E-02,1.074750E-02
147.21154,-43.33678,3.572991E-02,1.867878E-02,1.062656E-02
147.27322,-43.33664,3.548894E-02,1.849916E-02,1.050384E-02
147.33490,-43.33648,3.397658E-02,1.760277E-02,9.970821E-03
147.39658,-43.33628,3.498323E-02,1.812321E-02,1.024755E-02
147.45826,-43.33605,3.470194E-02,1.791783E-02,1.011137E-02
148.01332,-43.33248,2.850481E-02,1.465621E-02,8.181067E-03
145.73227,-43.28492,4.099605E-02,2.130642E-02,1.203461E-02
145.79388,-43.28559,4.091586E-02,2.131447E-02,1.206529E-02
145.85550,-43.28622,4.085861E-02,2.130392E-02,1.208026E-02
145.91712,-43.28682,4.220495E-02,2.207451E-02,1.258273E-02
145.97874,-43.28739,4.211700E-02,2.202796E-02,1.256862E-02
146.04036,-43.28792,4.201867E-02,2.196609E-02,1.254238E-02
146.10199,-43.28842,4.187678E-02,2.188792E-02,1.250471E-02
146.16361,-43.28889,4.170939E-02,2.179527E-02,1.245611E-02
146.22524,-43.28932,4.152724E-02,2.169045E-02,1.239768E-02
