#,,,,"generated_by='OpenQuake engine 3.13.0', start_date='2022-02-24T10:14:10', checksum=2573671671, kind='mean', investigation_time=50.0"
lon,lat,PGA-0.02,PGA-0.05,PGA-0.1
146.29392,-43.61551,4.176963E-02,2.165595E-02,1.218180E-02
146.84392,-43.61551,3.795456E-02,1.981292E-02,1.120555E-02
146.89392,-43.61551,3.763416E-02,1.964524E-02,1.110801E-02
146.64392,-43.56551,3.818721E-02,1.982422E-02,1.118510E-02
146.69392,-43.56551,3.779867E-02,1.964785E-02,1.109235E-02
146.74392,-43.56551,3.869648E-02,2.019700E-02,1.144792E-02
146.79392,-43.56551,3.830757E-02,2.001599E-02,1.134897E-02
146.84392,-43.56551,3.661384E-02,1.912138E-02,1.080913E-02
146.04392,-43.51551,4.089233E-02,2.123396E-02,1.195430E-02
146.09392,-43.51551,4.076700E-02,2.117940E-02,1.193288E-02
146.14392,-43.51551,4.062856E-02,2.111174E-02,1.190215E-02
146.19392,-43.51551,4.047582E-02,2.103314E-02,1.186328E-02
146.29392,-43.51551,4.148693E-02,2.161959E-02,1.224865E-02
146.39392,-43.51551,4.103018E-02,2.137394E-02,1.211312E-02
146.44392,-43.51551,4.076793E-02,2.123370E-02,1.203571E-02
146.49392,-43.51551,3.913794E-02,2.032378E-02,1.148041E-02
146.54392,-43.51551,3.884032E-02,2.016850E-02,1.139670E-02
146.59392,-43.51551,4.801545E-02,2.514873E-02,1.431042E-02
146.64392,-43.51551,3.946510E-02,2.057332E-02,1.167826E-02
146.69392,-43.51551,3.776387E-02,1.965844E-02,1.112607E-02
146.74392,-43.51551,3.866605E-02,2.020894E-02,1.148290E-02
146.79392,-43.51551,3.827531E-02,2.002866E-02,1.138399E-02
146.84392,-43.51551,4.567943E-02,2.404135E-02,1.375316E-02
146.89392,-43.51551,3.623965E-02,1.895834E-02,1.074817E-02
146.94392,-43.51551,3.593895E-02,1.879073E-02,1.065456E-02
146.04392,-43.46551,4.072806E-02,2.120216E-02,1.197642E-02
146.09392,-43.46551,4.061809E-02,2.114852E-02,1.195380E-02
146.14392,-43.46551,4.048666E-02,2.108280E-02,1.192256E-02
146.19392,-43.46551,4.174155E-02,2.179191E-02,1.237511E-02
146.24392,-43.46551,4.156560E-02,2.169982E-02,1.232584E-02
146.29392,-43.46551,4.138011E-02,2.159858E-02,1.226941E-02
146.34392,-43.46551,4.116788E-02,2.148498E-02,1.220564E-02
146.39392,-43.46551,4.094443E-02,2.136057E-02,1.213525E-02
146.44392,-43.46551,4.069768E-02,2.122425E-02,1.205868E-02
146.49392,-43.46551,3.907911E-02,2.031854E-02,1.150399E-02
146.54392,-43.46551,3.878508E-02,2.016591E-02,1.142088E-02
146.59392,-43.46551,3.979676E-02,2.075154E-02,1.179837E-02
146.64392,-43.46551,3.942623E-02,2.057523E-02,1.170396E-02
146.69392,-43.46551,3.903533E-02,2.039538E-02,1.160743E-02
146.74392,-43.46551,3.862785E-02,2.021289E-02,1.150906E-02
146.79392,-43.46551,3.823210E-02,2.003184E-02,1.140998E-02
146.84392,-43.46551,3.786745E-02,1.985517E-02,1.131056E-02
146.89392,-43.46551,3.620005E-02,1.896155E-02,1.077281E-02
