PLACE,LON,LAT,2007PGA_500-YR,2012PGA_500-YR,2018PGA_475-YR,2018PGA_500-YR,2007/2012 %DIFF,2007/2018 %DIFF, 2012/2018 %DIFF,2007PGA_1500-YR,2018PGA_1500-YR,2007PGA_2500-YR,2012PGA_2500-YR,2018PGA_2475-YR,2018PGA_2500-YR,2007/2018_2500 %DIFF,2012/2018_2500 %DIFF,2007(10%)/2018(2%) %DIFF
Goulburn,149.71,-34.75,0.09,0.059,0.043,0.045,-35,-50.04,-23.14,0.135,0.095,0.162,0.153,0.127,0.128,-21.219,-16.421,41.806
Grafton,152.93,-29.68,0.05,0.021,0.006,0.007,-58.6,-86.84,-68.22,0.075,0.015,0.09,0.064,0.021,0.021,-76.501,-66.747,-57.702
Hawker,138.42,-31.89,nan,nan,0.047,0.049,nan,nan,nan,nan,0.098,nan,nan,0.131,0.132,nan,nan,nan
Heyfield,146.79,-37.98,nan,nan,0.05,0.053,nan,nan,nan,nan,0.118,nan,nan,0.162,0.163,nan,nan,nan
Hobart,147.33,-42.88,0.03,0.021,0.011,0.011,-31.67,-61.86,-44.18,0.045,0.026,0.054,0.062,0.036,0.036,-32.745,-41.138,21.059
Jamestown,138.6,-33.21,nan,nan,0.047,0.049,nan,nan,nan,nan,0.098,nan,nan,0.13,0.13,nan,nan,nan
Kalgoorlie,121.46,-30.75,nan,0.111,0.083,0.09,nan,nan,-19.28,nan,0.347,nan,0.296,0.54,0.545,nan,84.2,nan
Karratha,116.85,-20.73,0.12,0.043,0.032,0.033,-63.92,-72.63,-24.15,0.18,0.072,0.216,0.129,0.102,0.103,-52.397,-20.477,-14.314
Katoomba,150.31,-33.71,0.09,0.061,0.025,0.026,-31.67,-71.17,-57.82,0.135,0.054,0.162,0.164,0.074,0.074,-54.113,-54.7,-17.403
Kellerberrin,117.71,-31.63,0.14,0.08,0.062,0.065,-42.57,-53.58,-19.16,0.21,0.146,0.252,0.252,0.204,0.205,-18.54,-18.669,46.628
Kimba,136.42,-33.14,nan,nan,0.018,0.019,nan,nan,nan,nan,0.043,nan,nan,0.062,0.062,nan,nan,nan
Kununurra,128.74,-15.77,nan,nan,0.028,0.029,nan,nan,nan,nan,0.061,nan,nan,0.087,0.087,nan,nan,nan
Launceston,147.13,-41.43,0.04,0.022,0.011,0.011,-43.75,-71.97,-50.16,0.06,0.024,0.072,0.063,0.034,0.034,-52.413,-45.267,-14.344
Leigh Creek,138.47,-30.54,nan,nan,0.035,0.036,nan,nan,nan,nan,0.076,nan,nan,0.104,0.104,nan,nan,nan
Leongatha,145.92,-38.52,nan,nan,0.069,0.072,nan,nan,nan,nan,0.157,nan,nan,0.214,0.215,nan,nan,nan
Lismore,153.28,-28.81,0.05,0.023,0.006,0.006,-54.4,-88.19,-74.1,0.075,0.014,0.09,0.068,0.02,0.02,-77.61,-70.191,-59.698
Lorne,143.98,-38.53,0.1,0.063,0.032,0.034,-37.1,-66.31,-46.43,0.15,0.078,0.18,0.171,0.109,0.11,-38.824,-35.567,10.116
Mackay,149.16,-21.15,0.07,0.021,0.005,0.005,-69.43,-92.8,-76.45,0.105,0.013,0.126,0.066,0.019,0.019,-85.1,-71.726,-73.18
Maitland,151.55,-32.73,0.1,0.055,0.023,0.024,-45.1,-75.71,-55.76,0.15,0.054,0.18,0.158,0.075,0.075,-58.094,-52.38,-24.569
Margaret River,115.05,-33.97,nan,nan,0.015,0.015,nan,nan,nan,nan,0.032,nan,nan,0.044,0.045,nan,nan,nan
Meckering,117.01,-31.63,0.2,0.152,0.064,0.067,-24.1,-66.72,-56.16,0.3,0.151,0.36,0.38,0.212,0.214,-40.602,-43.699,6.916
Melbourne,144.96,-37.81,0.08,0.059,0.03,0.031,-26.5,-61.62,-47.78,0.12,0.062,0.144,0.157,0.082,0.083,-42.551,-47.241,3.407
Mittagong,150.45,-34.45,0.09,0.058,0.026,0.027,-35.22,-69.67,-53.18,0.135,0.056,0.162,0.16,0.075,0.076,-53.276,-52.603,-15.897
Morwell,146.4,-38.23,0.11,0.105,0.079,0.082,nan,nan,-21.71,nan,0.195,nan,0.271,0.274,0.276,nan,1.966,nan
Newcastle,151.78,-32.93,0.11,0.051,0.021,0.022,-53.64,-80.31,-57.53,0.165,0.048,0.198,0.145,0.066,0.066,-66.527,-54.418,-39.749
Newman,119.73,-23.36,nan,nan,0.019,0.019,nan,nan,nan,nan,0.042,nan,nan,0.06,0.06,nan,nan,nan
Noosa,153.08,-26.4,0.08,0.048,0.009,0.009,-39.88,-88.31,-80.56,0.12,0.022,0.144,0.14,0.031,0.031,-78.385,-77.799,-61.093
Northam,116.66,-31.65,0.14,0.078,0.059,0.062,-44.07,-56.05,-21.43,0.21,0.143,0.252,0.225,0.203,0.205,-18.733,-8.778,46.281
Orange,149.1,-33.28,0.08,0.064,0.028,0.029,-20.13,-64.15,-55.12,0.12,0.06,0.144,0.168,0.082,0.082,-43.062,-51.109,2.488
Pakenham,145.49,-38.08,nan,nan,0.04,0.042,nan,nan,nan,nan,0.085,nan,nan,0.113,0.114,nan,nan,nan
Perth,115.86,-31.95,0.09,0.042,0.027,0.028,-53.56,-69.13,-33.52,0.135,0.054,0.162,0.118,0.071,0.072,-55.797,-39.52,-20.435
Peterborough,138.84,-32.97,nan,nan,0.042,0.043,nan,nan,nan,nan,0.087,nan,nan,0.116,0.116,nan,nan,nan
Port Augusta,137.76,-32.48,0.11,0.049,0.03,0.031,-55.09,-72.13,-37.93,0.165,0.066,0.198,0.137,0.091,0.092,-53.728,-33.321,-16.711
Port Hedland,118.61,-20.31,0.12,0.054,0.037,0.039,-55,-67.74,-28.32,0.18,0.089,0.216,0.176,0.129,0.13,-39.661,-25.989,8.611
