EVENT,GAID,LON,LAT,DEP,OMAG,OMAG_TYPE,MB,BRUNE_MAG,BRUNE_MAG_STD,STRESS_DROP,LOG_STRESS_DROP_STD,CORN_FREQ,CORN_FREQ_STD,NRECS,FMIN,FMAX,QUALITY,CLUSTER
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,nan,3.669685183,0.074032735,19.34000854,0.478862628,6.698672819,2.769564439,8,0.8,12,1,5
1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2,4.7,mwt,5.3,5.302859848,0.206134553,2.131053521,0.474125617,0.4899074,0.309344592,21,0.2,10,1,10
1994-08-21T05:53:51.000000Z,ga1994qkifcs,148.364,-33.421,1,4.1,MLa,nan,4.122345108,0.21619654,0.403886777,0.372769141,1.095451434,0.668460922,5,0.6,12,1,2
1994-08-31T20:48:30.000000Z,ga1994rdvcvz,133.321,-19.859,5,4.5,mb,4.5,3.482937389,0.034955173,0.460385788,0.552990985,2.389192149,0.962844035,3,1.2,9,1,4
1995-05-20T11:29:11.000000Z,ga1995jwaufs,150.07,-33.86,6,3.6,MLa,nan,3.534979372,0.166497246,2.652833633,0.555908804,4.034218868,1.788621626,15,0.8,12,1,2
1995-05-28T23:12:58.000000Z,ga1995klpxsw,151.408,-32.518,4,3.5,MLa,nan,3.551644688,0.123923368,1.085429564,0.614611307,2.938037551,1.839516069,11,0.8,12,1,10
1995-06-14T16:41:54.000000Z,ga1995lqihse,133.718,-19.782,16,4.9,ML,nan,4.565345684,0.064825888,3.26028832,0.632094719,1.319547308,0.490519626,5,0.5,6,1,4
1996-08-13T04:30:10.000000Z,ga1996pxjivq,143.519,-30.08,2,5.1,mb,4.9,4.818246351,0.117770765,7.034888386,0.53589417,1.274407637,0.469391329,7,0.4,6,1,0
1996-08-14T09:29:07.000000Z,ga1996pzozil,143.538,-30.121,5,4.4,ML,nan,4.195259245,0.114239597,7.713496252,0.577227879,2.692360884,0.739986799,4,0.9,10,1,0
1996-09-25T07:49:56.000000Z,ga1996syoevi,146.467,-37.877,11,4.4,mwt,4.7,4.615955422,0.241736658,6.503879924,0.507080382,1.567083957,0.961673444,27,0.6,10,1,5
1997-03-05T06:15:21.000000Z,ga1997emdexg,138.972,-33.823,22.8,5,mb,4.8,4.807394868,0.171100802,10.72312752,0.434853329,1.485099414,0.646827273,11,0.5,10,1,7
1997-06-27T03:20:27.000000Z,ga1997mneenh,145.955,-36.75,18,3.9,Mwt,nan,3.922443564,0.222739324,1.464785647,0.597353192,2.118598761,1.957678303,20,0.8,12,1,5
1997-07-21T15:10:43.000000Z,ga1997ogddrv,137.79,-32.69,10,3.8,MLa,nan,3.755366872,0.227887998,2.600241813,0.416484394,3.109330932,0.873097263,4,0.6,12,1,7
1997-08-31T15:23:50.000000Z,ga1997rdkjbx,117.684,-31.449,5,4.6,ML,nan,4.321612613,0.265628688,1.103391991,0.275879905,1.217445251,0.461142224,4,0.6,9,1,1
1997-09-01T09:48:37.000000Z,ga1997reuzci,123.138,-18.116,5,4.5,mb,4.3,4.00908284,0.173989058,1.839417943,0.80482983,2.068701631,1.976516085,10,0.6,10,1,3
1998-02-14T18:23:34.000000Z,ga1998deensa,148.604,-35.372,0,3.8,Mwt,nan,3.889872018,0.167208967,1.814738379,0.365403816,2.36236937,0.859205541,22,0.75,10,1,2
1998-02-26T14:13:04.000000Z,ga1998dzwykf,136.621,-33.347,27.7,3.8,MLa,nan,4.098241231,0.111146807,3.614640526,0.524267847,2.338371772,0.95288287,7,0.8,12,1,7
1998-06-09T01:00:50.000000Z,ga1998lfymji,135.844,-27.939,3,4.4,ML,nan,4.227942363,0.103492328,0.481048866,0.086216617,1.028263344,0.111786852,4,0.7,10,1,0
1998-07-17T01:22:39.000000Z,ga1998nxsupr,147.942,-36.367,21,3.9,Mwt,nan,4.065487798,0.188914535,6.425180924,0.563696988,2.941465046,1.71635536,12,0.8,12,1,2
1998-09-27T22:32:08.000000Z,ga1998tbndxs,144.779,-38.357,0,3.8,MLa,nan,3.465358397,0.112461155,3.872492723,0.689593857,4.958269655,3.963139653,13,0.8,12,1,5
1998-10-16T13:46:14.000000Z,ga1998ujsnlu,147.385,-34.669,16,3.9,MLa,nan,3.603205426,0.156161622,2.779372879,0.385332877,3.787843521,1.667421375,7,0.8,12,1,2
1998-11-02T17:09:38.000000Z,ga1998vpepry,151.146,-22.808,0,4.7,mb,4.4,4.446415144,0.042351875,1.070526833,0.467251884,1.043928493,0.406163712,4,0.8,5,1,6
1998-11-12T19:19:33.000000Z,ga1998whseln,121.83,-13.05,6,4.5,ML,nan,4.585417936,0.079978408,11.74628879,0.911671124,1.976683153,0.947557567,3,0.6,10,1,3
1999-01-13T09:40:00.000000Z,ga1999awtyjj,146.374,-38.161,0,3.5,Mwt,nan,3.611699143,0.111986857,13.95583815,0.916407916,6.423152116,6.348510103,11,0.8,12,1,5
1999-03-14T00:13:31.000000Z,ga1999fcetak,147.077,-34.001,2,3.9,mwt,nan,4.075528004,0.123852371,4.08415209,0.389273604,2.500052358,0.883608237,9,0.8,10,1,2
1999-03-17T01:58:10.000000Z,ga1999fhvjvs,150.77,-34.234,8,4.3,mwt,nan,4.654308454,0.30800361,1.736731722,0.50499104,0.965537523,0.628207291,20,0.4,6,1,2
1999-04-15T04:55:52.000000Z,ga1999hjhimq,134.044,-19.791,6,5.1,ML,nan,4.81398603,0.234263956,1.973758694,0.577248772,0.838399108,0.454023963,10,0.3,5,1,4
1999-05-10T10:02:25.000000Z,ga1999jdoqqx,134.017,-19.754,14,4.6,ML,nan,4.387100827,0.04288944,1.904688177,0.729833245,1.354368006,0.707021845,6,0.7,5,1,4
1999-08-18T11:01:55.000000Z,ga1999qfffyg,138.464,-33.274,19.5,4.3,MLa,nan,4.34722772,0.256520843,2.648513721,0.510972264,1.582702736,0.5038006,8,0.5,12,1,7
2000-03-16T13:26:29.000000Z,ga2000fisezh,146.105,-37.478,14,3.8,MLa,nan,3.49884711,0.14766638,4.935785292,0.564161681,5.172585389,2.313313705,15,0.8,12,1,5
2000-05-14T12:39:41.000000Z,ga2000jmymov,112.901,-22.977,5,4.7,ML,nan,4.757468893,0.200185826,1.557256063,0.213561002,0.826795367,0.481950202,5,0.5,10,1,8
2000-08-29T12:05:52.000000Z,ga2000rbibpq,146.29,-38.415,18,4.1,mwt,nan,4.359336116,0.250047008,3.412928986,0.552719954,1.698452856,1.086480519,22,0.7,10,1,5
2000-10-11T19:27:17.000000Z,ga2000ucuxvl,113.066,-19.804,36.2,5.4,mb,5.3,4.971388816,0.152915898,21.37110456,0.395731038,1.547368384,0.816724917,16,0.5,9,1,8
2001-06-14T12:05:14.000000Z,ga2001lpzdhm,138.13,-31.837,18,4,MLa,nan,4.00986323,0.146849522,6.912063567,0.380004035,3.213291291,0.662845688,8,0.8,12,1,7
2001-08-21T23:13:03.000000Z,ga2001qlqqpu,145.45,-38.183,5,3.7,Mwt,nan,3.515278744,0.162080722,16.17054859,0.698374694,7.538437701,3.661698488,9,1,15,1,5
2001-09-14T15:18:30.000000Z,ga2001sdciuu,133.879,-19.702,11,4.9,ML,nan,4.379811409,0.263608915,14.91418818,0.57125551,2.712105873,0.245714022,4,0.7,5,1,4
2001-09-28T02:54:56.000000Z,ga2001tbvwjr,117.061,-30.536,2.3,5.2,ML,nan,4.555943011,0.309588383,1.248770616,0.347713622,0.968728006,0.249943681,4,0.6,5,1,1
2001-10-01T04:52:15.000000Z,ga2001thmycu,117.049,-30.525,0.4,3.8,MLa,nan,3.886582552,0.301014816,0.667947932,0.340004419,1.699425242,1.268717347,10,0.5,8,1,1
2001-10-05T14:55:54.000000Z,ga2001tppvuz,117.056,-30.506,0.8,3.7,MLa,nan,4.011180868,0.271239447,0.435639237,0.218546059,1.276823987,0.67656373,5,0.6,12,1,1
2001-10-19T17:43:23.000000Z,ga2001upnolt,120.593,-33.608,0,5.2,ML,nan,5.054603426,0.137769256,13.66846189,0.302074524,1.211389969,0.614110899,5,0.04,4,1,11
2001-10-27T07:58:48.000000Z,ga2001vdlztj,143.69,-35.356,16.5,4.2,mwt,nan,4.326971844,0.2422213,9.935385872,0.542714206,2.517221668,1.412331986,18,0.5,6,1,5
