FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid-4f6d2f70_170e4f0d199_-cfc,664977,145.7507935,0.48306975,3.72854781,3.0088328,Sutton; NSW,2019-06-05T02:20:37.273,manual,reviewed,2019-06-04T19:07:02.675,ga2019kxyioq,2019-06-07T00:30:38.599,-35.17285156,149.2232513,,,1.38589266,,,,,,0.10631211,0.44998273,0.106312111,20190607002820.809268.68683,2019-06-04T16:20:37.273,0.60099885,12,1.38589266,ML,8.32638454,5.35170126,GA,0.35783354,7
earthquakes.fid-4f6d2f70_170e4f0d199_-cfb,658120,262.22,67.78,10,0,SW of Goulburn; NSW.,,,FINL,2018-05-07T13:25:25,ga2018iwksyg,2018-05-07T13:47:45,-34.7789,149.5788,,,1.41,,,,,,,,,1651673,2018-05-06T12:33:03,4.11,8,1.41,ML,29.4578,10.5181,AUST,0.5102,4
earthquakes.fid-4f6d2f70_170e4f0d199_-cfa,657198,104.37,79.47,0,0,Gunning; NSW.,,,FINL,2017-10-16T13:25:22,ga2017uiakyq,2017-10-16T13:26:42,-34.8535,149.2477,,,1.41,,,,,,,,,1545646,2017-10-15T15:35:45,0.83,16,1.41,ML,7.0944,5.3561,AUST,0.3635,9
earthquakes.fid-4f6d2f70_170e4f0d199_-cf9,657487,127.69,130.12,10,0,E of Gunning; NSW.,,,FINL,2017-12-12T15:45:15,ga2017yfjkjf,2017-12-12T15:48:29,-34.7974,149.4482,,,1.42,,,,,,,,,1579784,2017-12-09T20:38:38,0.22,18,1.42,ML,2.6925,1.4747,AUST,0.5723,10
earthquakes.fid-4f6d2f70_170e4f0d199_-cf8,657733,194.7,90.1,10,0,Near Gunning; NSW.,,,FINL,2018-02-07T09:31:03,ga2018cpfrbp,2018-02-07T09:43:42,-34.7677,149.2074,,,1.43,,,,,,,,,1604064,2018-02-06T14:50:31,2.59,7,1.43,ML,32.0173,15.3459,AUST,0.4065,4
earthquakes.fid-4f6d2f70_170e4f0d199_-cf7,657102,184.14,1.09,10,0,NE of Frogmore; NSW.,,,FINL,2017-09-26T08:56:55,ga2017srosoy,2017-09-26T08:58:18,-34.2111,148.9899,,,1.44,,,,,,,,,1536632,2017-09-22T12:34:34,1.43,12,1.44,ML,10.4476,8.4647,AUST,0.4486,6
earthquakes.fid-4f6d2f70_170e4f0d199_-cf6,664456,326.6302643,84.89315796,0,0,Gunning; NSW,2019-04-30T08:21:14.022,manual,reviewed,2019-04-29T23:19:53.678,ga2019ikidqi,2019-04-29T23:28:14.719,-34.82679367,149.272171,,,1.44847018,,,,,,0.4927842,0.54048568,0.492784202,20190429232524.78483.62820,2019-04-29T22:21:14.022,1.41106464,7,1.44847018,ML,14.61757278,13.21222591,GA,0.96217846,4
earthquakes.fid-4f6d2f70_170e4f0d199_-cf5,657491,121.24,88.55,10,0,NE of Bowning; NSW.,,,FINL,2017-12-12T16:45:09,ga2017ygjhxx,2017-12-12T16:47:02,-34.7233,148.9808,,,1.47,,,,,,,,,1579824,2017-12-10T09:40:17,0.37,19,1.47,ML,4.0673,2.5605,AUST,0.8607,12
earthquakes.fid-4f6d2f70_170e4f0d199_-cf4,657734,167.58,95.1,10,0,Near Gunning; NSW.,,,FINL,2018-02-07T09:35:15,ga2018cphlax,2018-02-07T09:42:37,-34.7595,149.1809,,,1.48,,,,,,,,,1604070,2018-02-06T15:43:52,2.24,9,1.48,ML,30.9235,13.3457,AUST,0.7241,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cf3,657408,107.56,114.81,0,0,Near Gunning; NSW.,,,FINL,2017-11-22T11:35:25,ga2017wwqswi,2017-11-22T12:06:21,-34.8034,149.2148,,,1.48,,,,,,,,,1569640,2017-11-20T22:43:04,0.25,14,1.48,ML,2.4242,1.7025,AUST,0.5844,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cf2,656771,185.5,174.73,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-11T10:21:12,ga2017nkbjwn,2017-07-11T10:23:20,-34.2066,148.9609,,,1.48,,,,,,,,,1501794,2017-07-09T14:39:05,0.68,11,1.48,ML,5.343,3.9834,AUST,0.9211,6
earthquakes.fid-4f6d2f70_170e4f0d199_-cf1,664702,161.1598358,104.1303101,1.32880628,1.79073539,Gunning; NSW,2019-05-16T22:08:39.472,manual,reviewed,2019-05-16T17:39:04.63,ga2019jotesu,2019-05-17T00:23:06.98,-34.8698616,149.1798706,,,1.48959091,,,,,,0.14621712,1.61155284,0.146217123,20190517002217.110973.73461,2019-05-16T12:08:39.472,0.40945764,15,1.48959091,ML,8.15272522,2.90311265,GA,0.25565815,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cf0,656727,178.77,87.63,10,0,Muswellbrook; NSW.,,,FINL,2017-06-29T14:45:12,ga2017mmlqep,2017-06-30T10:37:59,-32.28,150.8149,,,1.5,,,,,,,,,1496158,2017-06-26T18:00:43,1.55,8,1.5,ML,56.2049,8.4744,AUST,0.3494,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cef,658081,122.6,140.89,10,0,Near Gunning; NSW.,,,FINL,2018-04-30T15:11:04,ga2018ijoain,2018-04-30T15:14:46,-34.6648,149.4718,,,1.51,,,,,,,,,1648234,2018-04-29T12:13:58,0.78,15,1.51,ML,8.2218,4.9683,AUST,0.6473,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cee,656724,180.69,90.03,10,0,Muswellbrook; NSW.,,,FINL,2017-06-29T14:41:12,ga2017mmdwig,2017-06-30T10:39:25,-32.3269,150.7861,,,1.53,,,,,,,,,1496155,2017-06-26T14:06:28,1.24,13,1.53,ML,30.527,6.0666,AUST,0.9228,7
earthquakes.fid-4f6d2f70_170e4f0d199_-ced,658093,131.66,69.39,10,0,SE of Boorowa; NSW.,,,FINL,2018-05-02T10:41:35,ga2018inckad,2018-05-02T10:42:36,-34.5513,148.9807,,,1.54,,,,,,,,,1649414,2018-05-01T10:41:02,1.02,12,1.54,ML,8.9298,7.2965,AUST,0.6064,7
earthquakes.fid-4f6d2f70_170e4f0d199_-cec,656945,177,118.13,10,0,N of Frogmore; NSW.,,,FINL,2017-08-15T11:01:01,ga2017pwnmdp,2017-08-15T11:06:05,-34.1266,148.8927,,,1.55,,,,,,,,,1516643,2017-08-13T17:30:13,0.61,14,1.55,ML,5.6386,3.2465,AUST,0.793,9
earthquakes.fid-4f6d2f70_170e4f0d199_-ceb,657153,133.95,78.67,0,0,Dalton; NSW.,,,FINL,2017-10-04T10:11:01,ga2017tghwox,2017-10-04T10:11:28,-34.7626,149.1526,,,1.56,,,,,,,,,1540649,2017-09-30T13:15:08,1.47,9,1.56,ML,16.7685,8.1113,AUST,0.3373,6
earthquakes.fid-4f6d2f70_170e4f0d199_-cea,656798,244.51,40.05,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-17T13:10:32,ga2017nwnilv,2017-07-17T13:14:45,-34.2904,148.9143,,,1.56,,,,,,,,,1504416,2017-07-16T09:33:13,3.48,8,1.56,ML,29.4085,9.8756,AUST,0.3583,5
earthquakes.fid-4f6d2f70_170e4f0d199_-ce9,656720,189.2,94.92,10,0,Muswellbrook; NSW. (Reported felt).,,,FINL,2017-06-26T14:55:17,ga2017mkjxua,2017-06-26T15:02:48,-32.3805,150.9076,,,1.57,,,,,,,,,1494885,2017-06-25T15:00:14,1.09,18,1.57,ML,24.0944,6.6522,AUST,0.7787,9
earthquakes.fid-4f6d2f70_170e4f0d199_-ce8,658048,162.02,16.48,10,0,NE of Boorowa; NSW.,,,FINL,2018-04-24T10:01:05,ga2018hxeyny,2018-04-24T10:07:38,-34.3585,148.9167,,,1.58,,,,,,,,,1645436,2018-04-22T18:46:38,1,14,1.58,ML,7.9343,7.4552,AUST,0.5128,8
earthquakes.fid-4f6d2f70_170e4f0d199_-ce7,656761,154.56,129.51,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-10T12:25:22,ga2017nhyfuc,2017-07-10T12:27:00,-34.2626,148.9621,,,1.58,,,,,,,,,1501283,2017-07-08T10:54:52,0.84,19,1.58,ML,7.5514,5.1666,AUST,0.772,10
earthquakes.fid-4f6d2f70_170e4f0d199_-ce6,657700,154.86,129.21,10,0,NE of Boorowa; NSW.,,,FINL,2018-01-29T14:21:02,ga2018bxengf,2018-01-29T14:33:51,-34.2621,148.9509,,,1.59,,,,,,,,,1600791,2018-01-27T18:55:21,0.76,21,1.59,ML,6.8621,4.6906,AUST,0.6613,11
earthquakes.fid-4f6d2f70_170e4f0d199_-ce5,657165,111.58,108.58,0,0,Dalton; NSW.,,,FINL,2017-10-05T10:31:01,ga2017tmbgwr,2017-10-05T10:33:47,-34.7613,149.1695,,,1.6,,,,,,,,,1541053,2017-10-03T16:22:44,0.73,16,1.6,ML,7.7432,4.9683,AUST,0.6702,9
earthquakes.fid-4f6d2f70_170e4f0d199_-ce4,656764,153.81,119.19,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-10T13:50:58,ga2017niiqil,2017-07-10T13:52:13,-34.2703,148.9416,,,1.62,,,,,,,,,1501376,2017-07-08T16:08:50,0.9,16,1.62,ML,7.5339,6.1399,AUST,0.4441,9
earthquakes.fid-4f6d2f70_170e4f0d199_-ce3,656931,217.96,118.82,10,0,Offshore Avalon; NSW. (Reported felt).,,,FINL,2017-08-14T10:26:55,ga2017psbuhj,2017-08-14T10:28:38,-33.6463,151.3636,,,1.63,,,,,,,,,1516290,2017-08-11T07:19:42,0.33,15,1.63,ML,2.7166,1.1423,AUST,0.3356,7
earthquakes.fid-4f6d2f70_170e4f0d199_-ce2,656766,154.44,102.54,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-10T14:05:20,ga2017niowbc,2017-07-10T14:07:49,-34.266,148.9416,,,1.63,,,,,,,,,1501382,2017-07-08T19:16:30,1.06,14,1.63,ML,8.6218,7.6719,AUST,0.6015,8
earthquakes.fid-4f6d2f70_170e4f0d199_-ce1,663761,150.9907074,77.98343658,10,0,N of Yass; NSW,2019-03-11T02:47:53.513,manual,reviewed,2019-03-10T15:48:43.476,ga2019ewauro,2019-03-12T02:49:04.037,-34.68268204,148.9364624,,,1.63983921,,,,,,0.20380795,0.72163993,0.20380795,20190312023955.677049.103397,2019-03-10T15:47:53.513,0.52620931,11,1.63983921,ML,6.94930696,5.75676298,GA,0.63547781,6
earthquakes.fid-4f6d2f70_170e4f0d199_-ce0,656765,158.63,109.92,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-10T13:55:35,ga2017nijahp,2017-07-10T13:56:41,-34.242,148.9182,,,1.64,,,,,,,,,1501379,2017-07-08T16:20:24,1.14,14,1.64,ML,9.1655,8.1983,AUST,0.8751,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cdf,656627,115.56,83.32,0,0,Dalton; NSW.,,,FINL,2017-06-02T09:45:06,ga2017krcxsn,2017-06-02T09:45:47,-34.7477,149.1478,,,1.64,,,,,,,,,1484840,2017-05-31T23:07:34,1.07,10,1.64,ML,11.6166,7.6242,AUST,0.7877,6
earthquakes.fid-4f6d2f70_170e4f0d199_-cde,655360,177.46,81.59,0,0,Near Muswellbrook; NSW.,,,FINL,2016-08-12T11:25:48,ga2016pupgxv,2016-08-12T11:28:07,-32.3489,150.8587,,,1.64,,,,,,,,,1351620,2016-08-11T16:15:33,1.81,8,1.64,ML,40.65,8.116,AUST,0.5214,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cdd,655354,191.64,82.84,0,0,Gunning; NSW.,,,FINL,2016-08-11T09:36:37,ga2016psocdg,2016-08-11T09:38:21,-34.8083,149.2254,,,1.65,,,,,,,,,1351123,2016-08-10T13:30:52,0.74,10,1.65,ML,10.5949,2.9571,AUST,0.8967,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cdc,665311,234.1602936,57.35640717,0.60437816,4.49940402,Gunning; NSW,2019-06-21T03:34:14.41,manual,reviewed,2019-06-20T18:20:39.158,ga2019mbkkcf,2019-06-21T00:11:28.808,-34.71488953,149.2807465,,,1.66579359,,,,,,0.08431841,0.84049755,0.084318414,20190621000914.344783.65345,2019-06-20T17:34:14.41,0.97939935,12,1.66579359,ML,19.29791832,4.79702854,GA,0.38430915,7
earthquakes.fid-4f6d2f70_170e4f0d199_-cdb,657135,110.9,111.92,0,0,Dalton; NSW.,,,FINL,2017-09-29T14:41:25,ga2017tdhzru,2017-09-29T14:42:46,-34.7554,149.1737,,,1.68,,,,,,,,,1538678,2017-09-28T22:05:19,0.75,16,1.68,ML,6.3804,5.1038,AUST,0.6007,9
earthquakes.fid-4f6d2f70_170e4f0d199_-cda,656979,163.91,23.55,10,0,Frogmore; NSW.,,,FINL,2017-08-24T11:41:01,ga2017qoxbgg,2017-08-24T11:41:37,-34.245,148.9426,,,1.68,,,,,,,,,1519991,2017-08-23T17:39:51,1.38,10,1.68,ML,10.5296,9.4843,AUST,0.5401,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cd9,663135,250.7950592,47.18679428,10,0,NE of Boorowa; NSW,2019-01-28T05:50:50.569,manual,reviewed,2019-01-27T20:44:51.494,ga2019bxejji,2019-01-29T00:46:47.628,-34.24806595,148.8952637,,,1.68939079,,,,,,0.41619056,1.13198006,0.416190565,20190129004323.980472.73849,2019-01-27T18:50:50.569,1.12189883,7,1.68939079,ML,19.59614563,8.24016857,GA,0.73364669,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cd8,656799,154.05,117.02,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-17T13:25:21,ga2017nwxbkt,2017-07-17T13:26:19,-34.2684,148.944,,,1.69,,,,,,,,,1504423,2017-07-16T14:26:46,0.92,15,1.69,ML,7.483,6.4127,AUST,0.39,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cd7,657152,109.44,110.56,0,0,Dalton; NSW.,,,FINL,2017-10-04T10:01:02,ga2017tghcpc,2017-10-04T10:02:49,-34.7559,149.1869,,,1.7,,,,,,,,,1540639,2017-09-30T12:51:56,0.76,15,1.7,ML,7.2503,4.927,AUST,0.5648,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cd6,654482,226.3,132.09,10,0,Jamberoo; NSW.,,,FINL,2016-01-20T13:15:58,ga2016bhdape,2016-01-20T13:18:59,-34.6189,150.752,,,1.7,,,,,,,,,1265479,2016-01-19T00:58:53,2.39,9,1.7,ML,33.9505,10.7828,AUST,0.4866,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cd5,655265,256.09,5.74,0,0,NE of Goulburn; NSW.,,,FINL,2016-07-22T09:55:18,ga2016ohyiih,2016-07-22T10:00:06,-34.5701,149.9669,,,1.71,,,,,,,,,1342537,2016-07-21T14:54:11,2.52,13,1.71,ML,17.3904,9.8788,AUST,0.3763,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cd4,662989,91.18303299,100.1557159,0,0,Near Sutton; NSW,2019-01-18T10:17:01.021,manual,reviewed,2019-01-17T23:43:53.265,ga2019bfdxxx,2019-01-17T23:51:38.68,-35.16622925,149.2245941,,,1.71198005,,,,,,0.18687609,1.50571835,0.186876088,20190117234923.247869.63430,2019-01-17T23:17:01.021,0.28955594,14,1.71198005,ML,4.5884428,3.16290331,GA,0.29980437,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cd3,663280,325.0892639,20.11837769,10,0,Bundanoon; NSW,2019-02-07T04:47:16.615,manual,reviewed,2019-02-06T17:50:30.871,ga2019cplnkj,2019-02-06T23:33:52.123,-34.63673782,150.3414459,,,1.71656106,,,,,,0.96196616,1.29730141,0.961966157,20190206233234.559963.62136,2019-02-06T17:47:16.615,1.50519948,6,1.71656106,ML,17.0821991,15.28429222,GA,0.31273251,3
earthquakes.fid-4f6d2f70_170e4f0d199_-cd2,654993,194.55,119.92,5.5806,10.3035,Offshore Manly; NSW. (Reported felt).,,,FINL,2016-05-26T15:30:58,ga2016khkyxa,2016-05-26T15:41:46,-33.7869,151.3069,,,1.72,,,,,,,,,1317976,2016-05-25T16:25:33,1.62,13,1.72,ML,16.4997,6.7527,AUST,0.2439,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cd1,656981,154.13,62.22,10,0,Frogmore; NSW.,,,FINL,2017-08-24T11:51:07,ga2017qpbpic,2017-08-24T11:51:36,-34.2708,148.9194,,,1.74,,,,,,,,,1520003,2017-08-23T19:56:52,1.12,13,1.74,ML,9.5433,7.9445,AUST,0.602,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cd0,657965,163.12,164.7,10,0,Frogmore; NSW.,,,FINL,2018-04-03T14:11:20,ga2018ggsejs,2018-04-03T14:13:18,-34.2492,148.9474,,,1.75,,,,,,,,,1634759,2018-03-30T15:13:12,1.08,13,1.75,ML,8.9028,7.5208,AUST,0.4692,7
earthquakes.fid-4f6d2f70_170e4f0d199_-ccf,654470,259.41,127.41,0,0,SE of Cadia; NSW.,,,FINL,2016-01-19T11:30:56,ga2016bekfiw,2016-01-19T11:33:58,-33.5088,149.0491,,,1.75,,,,,,,,,1264855,2016-01-17T13:22:11,5.15,7,1.75,ML,57.0431,14.9177,AUST,0.5868,4
earthquakes.fid-4f6d2f70_170e4f0d199_-cce,657774,171.46,27.93,10,0,Kandos; NSW.,,,FINL,2018-02-19T09:25:14,ga2018dhpvux,2018-02-19T09:30:06,-32.8372,149.9,,,1.76,,,,,,,,,1609593,2018-02-16T15:18:18,1.01,17,1.76,ML,12.7194,5.8655,AUST,0.868,10
earthquakes.fid-4f6d2f70_170e4f0d199_-ccd,657149,155.72,131.34,10,0,E of Frogmore; NSW.,,,FINL,2017-10-03T08:40:41,ga2017tfxuae,2017-10-03T14:01:15,-34.2563,148.9509,,,1.76,,,,,,,,,1540166,2017-09-30T08:10:26,0.87,16,1.76,ML,8.1979,5.8721,AUST,0.5692,9
earthquakes.fid-4f6d2f70_170e4f0d199_-ccc,654475,248.6,127.58,0,0,SE of Orange; NSW.,,,FINL,2016-01-19T11:50:56,ga2016bexewv,2016-01-19T11:53:54,-33.6394,149.2357,,,1.76,,,,,,,,,1264864,2016-01-17T19:53:53,5.03,7,1.76,ML,62.3787,13.8299,AUST,0.6118,4
earthquakes.fid-4f6d2f70_170e4f0d199_-ccb,665372,205.3640289,48.1748085,10,0,SE of Boorowa; NSW,2019-06-24T04:02:24.366,manual,reviewed,2019-06-23T19:06:20.878,ga2019mgynaf,2019-06-24T00:31:13.058,-34.52690506,148.9822235,,,1.76769973,,,,,,0.25434503,0.84631741,0.25434503,20190624002858.966964.71727,2019-06-23T18:02:24.366,0.64008492,11,1.76769973,ML,12.73422813,4.16552544,GA,0.60986197,6
earthquakes.fid-4f6d2f70_170e4f0d199_-cca,654887,212.43,129.7,0,0,Offshore E of Batemans Bay; NSW.,,,FINL,2016-05-09T10:55:10,ga2016iyvgcy,2016-05-09T10:58:27,-35.7479,150.6193,,,1.77,,,,,,,,,1311190,2016-05-06T19:59:01,1.12,23,1.77,ML,7.3528,6.4387,AUST,0.6471,11
earthquakes.fid-4f6d2f70_170e4f0d199_-cc9,654558,221.7,128.64,0,0,NE of Robertson; NSW.,,,FINL,2016-02-04T09:46:52,ga2016cgxxto,2016-02-04T10:02:02,-34.5516,150.7213,,,1.77,,,,,,,,,1271313,2016-02-02T02:21:06,2.33,10,1.77,ML,29.1015,8.0565,AUST,0.5749,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cc8,654430,223.39,114.08,0,0,Offshore E of The Entrance; NSW.,,,FINL,2016-01-12T10:20:59,ga2016aqvvhh,2016-01-12T10:31:25,-33.3655,151.6875,,,1.77,,,,,,,,,1261694,2016-01-10T04:09:55,1.43,18,1.77,ML,14.1341,6.2149,AUST,0.962,11
earthquakes.fid-4f6d2f70_170e4f0d199_-cc7,657047,257.09,40.04,10,0,Near Frogmore; NSW.,,,FINL,2017-09-11T16:01:01,ga2017rvupje,2017-09-11T16:03:34,-34.2537,148.9165,,,1.78,,,,,,,,,1529236,2017-09-10T15:53:24,3.39,10,1.78,ML,27.4621,9.3308,AUST,0.374,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cc6,656790,170.77,35.33,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-17T12:51:01,ga2017nucbdg,2017-07-17T12:51:31,-34.2723,148.9186,,,1.78,,,,,,,,,1504412,2017-07-15T01:43:52,1.89,9,1.78,ML,16.6664,9.329,AUST,0.207,5
earthquakes.fid-4f6d2f70_170e4f0d199_-cc5,656778,178.56,167.7,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-13T08:35:21,ga2017notqmq,2017-07-13T08:45:26,-34.2487,148.9616,,,1.78,,,,,,,,,1502648,2017-07-12T04:07:46,1.24,13,1.78,ML,9.8032,8.1667,AUST,0.6813,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cc4,654474,254.53,127.38,0,0,S of Orange; NSW.,,,FINL,2016-01-19T11:46:52,ga2016berpih,2016-01-19T11:47:23,-33.5734,149.1329,,,1.78,,,,,,,,,1264863,2016-01-17T17:04:58,5.05,7,1.78,ML,58.6613,14.233,AUST,0.4508,4
earthquakes.fid-4f6d2f70_170e4f0d199_-cc3,656448,244.46,117.01,7.7971,24.0755,Boorowa; NSW.,,,FINL,2017-04-10T14:20:59,ga2017gxihck,2017-04-10T14:23:27,-34.4105,148.8089,,,1.79,,,,,,,,,1463150,2017-04-08T16:30:43,3.31,13,1.79,ML,24.3925,14.62,AUST,0.1985,8
earthquakes.fid-4f6d2f70_170e4f0d199_-cc2,662208,147.4476662,155.1691742,10,0,Taralga;NSW,2018-11-30T14:06:43.757,manual,reviewed,2018-11-30T03:08:13.43,ga2018xnnaaa,2018-12-02T22:58:40.599,-34.41699219,149.6476898,,,1.79629744,,,,,,0.49297878,1.07296216,0.492978782,20181202225046.020819.64687,2018-11-30T03:06:43.757,0.36227766,9,1.79629744,ML,10.57440567,3.62550616,GA,0.7920367,6
earthquakes.fid-4f6d2f70_170e4f0d199_-cc1,657868,116.13,118.76,10,0,E of Bowral; NSW.,,,FINL,2018-03-06T13:41:07,ga2018elazyw,2018-03-06T13:46:04,-34.4814,150.6093,,,1.8,,,,,,,,,1619461,2018-03-04T16:04:48,0.55,27,1.8,ML,8.4213,2.988,AUST,0.517,15
earthquakes.fid-4f6d2f70_170e4f0d199_-cc0,657340,122.88,114.04,10,0,S of Cessnock; NSW.,,,FINL,2017-11-13T11:21:03,ga2017wdpvqx,2017-11-13T11:26:15,-32.9213,151.3655,,,1.8,,,,,,,,,1561721,2017-11-10T13:51:06,0.54,27,1.8,ML,7.1387,3.6061,AUST,0.4996,15
earthquakes.fid-4f6d2f70_170e4f0d199_-cbf,656788,105.23,47.24,10,0,NE of Boorowa; NSW.,,,FINL,2017-07-17T09:26:01,ga2017ntypgl,2017-07-17T09:26:58,-34.2945,148.9109,,,1.8,,,,,,,,,1504221,2017-07-14T23:59:34,1.36,11,1.8,ML,13.8871,7.5506,AUST,0.3205,7
