FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid-4f6d2f70_170e4f0d199_-d06,662039,204.837738,85.51235962,0.91516852,2.55513701,Lake George;NSW,2018-11-18T08:52:50.162,manual,reviewed,2018-11-17T22:09:45.568,ga2018wrbwyh,2018-11-19T02:50:15.982,-35.13358688,149.3757477,,,0.9967752,,,,,,0.18128763,1.1601069,0.181287631,20181119024931.961162.94164,2018-11-17T21:52:50.162,0.64888633,11,0.9967752,ML,8.07341671,4.12364388,GA,0.2400378,6
earthquakes.fid-4f6d2f70_170e4f0d199_-d05,663625,138.6580887,133.705368,10,0,Lake George; NSW,2019-03-02T22:39:06.854,manual,reviewed,2019-03-02T11:42:30.459,ga2019ehatgs,2019-03-04T00:40:55.976,-35.12852097,149.4349213,,,1.0691387,,,,,,0.19507803,1.93550658,0.19507803,20190304003649.980998.79756,2019-03-02T11:39:06.854,0.30719973,15,1.0691387,ML,7.47446156,3.19383001,GA,0.56827596,11
earthquakes.fid-4f6d2f70_170e4f0d199_-d04,663813,152.5111771,75.80876923,10,0,N of Yass; NSW,2019-03-11T02:27:54.093,manual,reviewed,2019-03-10T16:07:31.18,ga2019ewadls,2019-03-12T02:57:28.585,-34.67848587,148.9370575,,,1.10801964,,,,,,0.20420784,0.72507066,0.204207838,20190312024801.999469.103804,2019-03-10T15:27:54.093,0.52834048,11,1.10801964,ML,6.99072361,5.78290653,GA,0.59135888,6
earthquakes.fid-4f6d2f70_170e4f0d199_-d03,664725,149.227005,105.2277451,1.73655248,2.45891311,Sutton; NSW,2019-05-18T21:04:30.157,manual,reviewed,2019-05-18T11:11:53.564,ga2019jsinez,2019-05-20T01:34:28.457,-35.1639595,149.2287903,,,1.10862066,,,,,,0.11600212,0.44153997,0.11600212,20190520013341.690145.89385,2019-05-18T11:04:30.157,0.65008737,11,1.10862066,ML,5.48982,4.16196537,GA,0.1405893,6
earthquakes.fid-4f6d2f70_170e4f0d199_-d02,655662,183.39,65.45,10,0,Near Hoskinstown; NSW.,,,FINL,2016-10-07T10:12:00,ga2016ttbywh,2016-10-07T10:16:12,-35.4313,149.3571,,,1.14,,,,,,,,,1388503,2016-10-06T12:14:56,1.51,10,1.14,ML,13.7627,9.4656,AUST,0.4039,5
earthquakes.fid-4f6d2f70_170e4f0d199_-d01,654761,200.83,95.96,0.6553,27.2391,Murrumbateman; NSW. (Reported Felt).,,,FINL,2016-04-06T10:56:52,ga2016gtddjz,2016-04-06T11:01:27,-34.9909,149.0264,,,1.15,,,,,,,,,1295811,2016-04-05T09:37:39,1.72,12,1.15,ML,20.9728,6.7,AUST,0.4309,7
earthquakes.fid-4f6d2f70_170e4f0d199_-d00,657918,114.47,118.57,10,0,NE of Windsor; NSW.,,,FINL,2018-03-19T10:01:11,ga2018fhakty,2018-03-19T10:10:27,-33.382,150.8959,,,1.32,,,,,,,,,1626598,2018-03-16T15:25:38,0.63,23,1.32,ML,8.5649,4.0778,AUST,0.9119,13
earthquakes.fid-4f6d2f70_170e4f0d199_-cff,665306,134.0041389,106.5401154,10,0,NE of Gunning; NSW,2019-06-20T19:10:04.209,manual,reviewed,2019-06-20T12:56:40.824,ga2019matrqu,2019-06-21T01:16:58.624,-34.56588364,149.3588409,,,1.36757737,,,,,,0.21603908,1.05159235,0.216039076,20190621011400.582492.75669,2019-06-20T09:10:04.209,0.43942135,11,1.36757737,ML,5.61204147,4.60881567,GA,0.82184898,7
earthquakes.fid-4f6d2f70_170e4f0d199_-cfe,657975,151.96,71.47,10,0,S of Yass; NSW.,,,FINL,2018-04-04T10:50:15,ga2018gkdvwc,2018-04-04T11:03:00,-34.9372,148.9058,,,1.37,,,,,,,,,1635375,2018-04-01T12:18:48,0.91,15,1.37,ML,14.0544,5.7582,AUST,0.7842,9
earthquakes.fid-4f6d2f70_170e4f0d199_-cfd,656246,167.84,0.5,10,0,Near Tarago; NSW.,,,FINL,2017-02-06T15:42:58,ga2017cmyqwx,2017-02-09T12:42:01,-35.0539,149.6918,,,1.37,,,,,,,,,1441278,2017-02-05T09:10:09,1.76,9,1.37,ML,16.4389,8.9437,AUST,0.4796,5
