FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid--5708c50e_170e4f7b976_-321d,648193,0,,2.5,,Murrumbateman; NSW.,,,FINL,2012-01-23T13:40:52,ga2012bmixvp,2012-01-23T13:40:53,-35.029,149.0237,,,2.04,,,,,,,,,2155521,2012-01-21T21:19:06,,0,2.04,ML,,,AUST,,0
earthquakes.fid--5708c50e_170e4f7b976_-321c,652122,79.64,48.64,1.5856,8.7322,NE of Boorowa; NSW.,,,FINL,2014-08-01T11:00:38,ga2014oxzpda,2014-08-01T11:03:22,-34.3756,148.9035,,,2.05,,,,,,,,,1036324,2014-07-31T08:43:51,0.55,14,2.05,ML,5.6691,1.4243,AUST,0.3306,8
earthquakes.fid--5708c50e_170e4f7b976_-321b,648191,0,,16,,Cowra; NSW.,,,FINL,2012-01-23T13:28:13,ga2012bmcbfm,2012-01-23T13:28:13,-33.777,148.7135,,,2.05,,,,,,,,,2155520,2012-01-21T17:51:49,,0,2.05,ML,,,AUST,,0
earthquakes.fid--5708c50e_170e4f7b976_-321a,652786,90.96,122.86,10,0,Near Wilton; NSW.,,,FINL,2015-01-12T10:30:03,ga2015aqdcaw,2015-01-12T10:32:49,-34.3336,150.78,,,2.06,,,,,,,,,1108115,2015-01-09T18:44:29,0.67,18,2.06,ML,10.7471,4.4239,AUST,0.6464,11
earthquakes.fid--5708c50e_170e4f7b976_-3219,650559,227.84,306,0,1.9132,SW of Orange; NSW.,,,FINL,2013-08-06T12:31:05,ga2013phqkld,2013-08-07T09:05:24,-33.5186,149.0049,,,2.06,,,,,,,,,793376,2013-08-05T14:51:37,0.02,8,2.06,ML,5.4385,0.1586,AUST,0.4665,4
earthquakes.fid--5708c50e_170e4f7b976_-3218,648252,0,,0,,Dalton; NSW.,,,FINL,2012-02-08T09:02:04,ga2012clpobw,2012-02-08T09:02:04,-34.6499,149.1023,,,2.07,,,,,,,,,2155681,2012-02-04T15:30:52,,0,2.07,ML,,,AUST,,0
earthquakes.fid--5708c50e_170e4f7b976_-3217,653564,259.65,8.53,0,0,Near Mellong; NSW.,,,FINL,2015-05-12T11:10:51,ga2015jftdet,2015-05-12T11:12:52,-33.0679,150.792,,,2.09,,,,,,,,,1158500,2015-05-11T14:26:36,3.66,7,2.09,ML,31.3914,16.4249,AUST,0.8223,5
earthquakes.fid--5708c50e_170e4f7b976_-3216,652470,233.16,125.38,4.4186,9.141,Near Cadia; NSW.,,,FINL,2014-10-23T09:10:01,ga2014usxvyj,2014-10-23T09:20:17,-33.4843,148.939,,,2.1,,,,,,,,,1070558,2014-10-21T14:07:13,0.61,8,2.1,ML,19.1495,2.2649,AUST,0.3104,4
earthquakes.fid--5708c50e_170e4f7b976_-3215,648413,119.46,319.25,6.9853,0.0049,Lithgow; NSW.,,,FINL,2012-03-16T12:33:05,ga2012fgdmzh,2012-03-16T12:38:23,-33.4894,150.1557,,,2.1,,,,,,,,,576280,2012-03-15T03:54:14,0.02,16,2.1,ML,0.1939,0.1153,AUST,0.6801,8
earthquakes.fid--5708c50e_170e4f7b976_-3214,654322,261.96,126.86,0,0,Cadia; NSW.,,,FINL,2015-12-09T15:05:04,ga2015ydeknf,2015-12-09T15:06:32,-33.4781,148.9955,,,2.11,,,,,,,,,1244781,2015-12-08T15:59:00,4.24,9,2.11,ML,46.5538,13.4622,AUST,0.7936,5
earthquakes.fid--5708c50e_170e4f7b976_-3213,654321,262.05,125.77,0,0,Cadia; NSW.,,,FINL,2015-12-09T11:00:52,ga2015ydbjsh,2015-12-09T11:30:27,-33.4763,148.9944,,,2.11,,,,,,,,,1244770,2015-12-08T14:27:33,3.4,11,2.11,ML,37.5369,11.5473,AUST,0.3926,6
earthquakes.fid--5708c50e_170e4f7b976_-3212,651832,104.48,56.23,0,0,W of Denman; NSW.,,,FINL,2014-05-23T11:35:08,ga2014kacyjs,2014-05-23T11:37:44,-32.4627,150.4736,,,2.11,2.52,,,,,,,,940703,2014-05-22T16:52:15,0.39,11,2.11,ML,4.4893,3.5095,AUST,0.7895,8
earthquakes.fid--5708c50e_170e4f7b976_-3211,649231,149.39,43.15,0,0,NE of Boorowa; NSW.,,,FINL,2012-09-14T13:55:01,ga2012sdocdx,2012-09-14T14:19:44,-34.366,148.858,,,2.12,,,,,,,,,648843,2012-09-13T21:12:51,0.3,7,2.12,ML,3.0049,1.5183,AUST,0.3048,4
earthquakes.fid--5708c50e_170e4f7b976_-3210,651618,160.12,146.88,10,0,N of Orange; NSW.,,,FINL,2014-04-11T09:45:13,ga2014hbjbfn,2014-04-11T10:19:58,-33.0581,149.2414,,,2.14,2.43,,,,,,,,911411,2014-04-10T21:11:58,0.49,11,2.14,ML,5.1303,3.7345,AUST,0.6287,7
earthquakes.fid--5708c50e_170e4f7b976_-320f,648875,189.3,320.41,12,0,N of Boorowa; NSW.,,,FINL,2012-06-28T13:21:00,ga2012mqogmm,2012-06-28T13:23:35,-34.1299,148.7063,,,2.15,,,,,,,,,617682,2012-06-27T23:37:53,0.01,12,2.15,ML,0.1574,0.09,AUST,0.7012,7
earthquakes.fid--5708c50e_170e4f7b976_-320e,654262,183.74,126.82,5,0,Cargo; NSW.,,,FINL,2015-11-23T11:40:52,ga2015wxzzbc,2015-11-23T11:47:16,-33.3842,148.8415,,,2.17,,,,,,,,,1237340,2015-11-21T16:26:16,4.05,9,2.17,ML,42.7841,14.4516,AUST,0.8071,5
earthquakes.fid--5708c50e_170e4f7b976_-320d,652694,179.38,101.86,0,0,Near Cessnock; NSW.,,,FINL,2014-12-16T10:20:03,ga2014ypqngk,2014-12-16T10:37:30,-32.8693,151.4259,,,2.17,,,,,,,,,1096611,2014-12-15T10:57:57,1.27,13,2.17,ML,18.9732,7.6148,AUST,0.7528,8
earthquakes.fid--5708c50e_170e4f7b976_-320c,651251,237.14,126.02,0,0,Off Ulladulla; NSW.,,,FINL,2014-01-29T11:05:04,ga2014bwwkbo,2014-01-29T11:17:01,-35.4593,151.4912,,,2.17,,,,,,,,,875013,2014-01-27T14:50:17,1.28,8,2.17,ML,12.7922,6.6282,AUST,0.9645,5
earthquakes.fid--5708c50e_170e4f7b976_-320b,650906,124.72,81.89,11.9764,5.8133,Frogmore; NSW.,,,FINL,2013-11-04T12:51:07,ga2013vmfgsh,2013-11-04T12:51:56,-34.2848,148.811,,,2.17,3.1,,,,,,,,837320,2013-11-01T02:15:57,0.41,12,2.17,ML,4.7043,2.6168,AUST,0.5082,9
earthquakes.fid--5708c50e_170e4f7b976_-320a,648888,113.06,254.49,10,0,N of Boorowa; NSW.,,,FINL,2012-07-02T10:19:58,ga2012mvaeyd,2012-07-02T10:23:21,-34.0726,148.6309,,,2.18,3.1,,,,,,,,619425,2012-06-30T09:56:03,0,12,2.18,ML,0.1255,0.0987,AUST,0.7802,7
earthquakes.fid--5708c50e_170e4f7b976_-3209,654072,95.06,79.81,9.1648,10.6445,Lake George; NSW.,,,FINL,2015-09-21T10:35:03,ga2015slpeks,2015-09-21T10:41:06,-34.9333,149.3889,,,2.19,,,,,,,,,1208953,2015-09-19T06:21:27,0.94,14,2.19,ML,11.0828,6.1406,AUST,0.5173,9
earthquakes.fid--5708c50e_170e4f7b976_-3208,651534,217.85,338.36,5,0,Wolgan Valley Area; NSW.,,,FINL,2014-03-24T10:45:07,ga2014fqhszd,2014-03-24T10:46:30,-33.1963,150.2143,,,2.19,,,,,,,,,901659,2014-03-21T16:46:38,0.01,9,2.19,ML,0.4373,0.1068,AUST,0.7739,6
earthquakes.fid--5708c50e_170e4f7b976_-3207,648777,253.59,31.17,10.3979,0.1783,N of Boorowa; NSW.,,,FINL,2012-06-06T10:59:02,ga2012lbcsdo,2012-06-06T11:00:46,-34.254,148.7634,,,2.19,,,,,,,,,609343,2012-06-05T09:45:51,2.83,6,2.19,ML,1.0863,0.1158,AUST,1.011,3
earthquakes.fid--5708c50e_170e4f7b976_-3206,654155,146.17,76.91,0,0,Near Yass; NSW.,,,FINL,2015-10-21T11:05:08,ga2015urjwrv,2015-10-21T11:08:44,-34.7836,148.8781,,,2.2,,,,,,,,,1220656,2015-10-20T18:01:12,0.86,16,2.2,ML,9.5187,5.5555,AUST,0.6814,10
earthquakes.fid--5708c50e_170e4f7b976_-3205,653921,161.56,296.13,0,0.6562,Near Merriwa; NSW.,,,FINL,2015-08-10T09:55:04,ga2015pkxsif,2015-08-10T09:57:10,-32.1774,150.2128,,,2.2,3.41,,,,,,,,1192266,2015-08-07T09:45:24,0.08,6,2.2,ML,2.6713,0.1436,AUST,1.074,3
earthquakes.fid--5708c50e_170e4f7b976_-3204,653251,192.95,119.89,0,0,Mulbring area; NSW.,,,FINL,2015-03-20T09:26:02,ga2015fkgqcg,2015-03-20T09:28:48,-32.9219,151.4724,,,2.2,,,,,,,,,1132906,2015-03-18T09:46:16,0.41,6,2.2,ML,8.2072,2.7423,AUST,0.3619,5
earthquakes.fid--5708c50e_170e4f7b976_-3203,654327,163.04,85.02,0,0,Cadia; NSW.,,,FINL,2015-12-11T14:00:52,ga2015yeryha,2015-12-14T11:37:58,-33.5069,149.0495,,,2.22,,,,,,,,,1247424,2015-12-09T11:51:41,1.1,10,2.22,ML,15.443,8.1487,AUST,0.3573,6
earthquakes.fid--5708c50e_170e4f7b976_-3202,654296,264.07,131.1,10,0,Offshore E of Currarong; NSW.,,,FINL,2015-12-02T10:25:04,ga2015xqhnmc,2015-12-02T10:27:14,-35.0303,151.2902,,,2.22,,,,,,,,,1241705,2015-12-01T15:34:46,5.13,7,2.22,ML,55.1853,14.2276,AUST,0.3175,4
earthquakes.fid--5708c50e_170e4f7b976_-3201,653682,137.79,129,14.8355,20.8269,Near Quorrobolong; NSW.,,,FINL,2015-06-09T16:20:51,ga2015lfgehk,2015-06-09T16:22:01,-32.949,151.4328,,,2.22,,,,,,,,,1170846,2015-06-08T15:48:22,1.83,7,2.22,ML,30.4354,13.3203,aust,0.3368,5
