FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid--4c2f31a5_1803b3cb22b_-68c6,662222,22.25241089,42.74515915,137.3831329,2.24396628,Banda Sea,2018-12-01T22:27:21.706,manual,reviewed,2018-12-01T13:29:42.742,ga2018xqdhrf,2018-12-03T03:29:38.597,-7.57685471,128.7621155,6.34666838,,,,6.47958252,,6.31254573,6.35943491,3.24012303,31.86812782,3.240123034,20181203031556.888631.101191,2018-12-01T13:27:21.706,0.15676431,126,6.47958252,Mw,3.07668376,2.29339552,GA,1.30214114,119
earthquakes.fid--4c2f31a5_1803b3cb22b_-68c0,662793,23.11187744,51.1231308,68.76325226,2.16646588,Northern Molucca Sea,2019-01-07T02:27:21.657,manual,reviewed,2019-01-06T17:29:25.718,ga2019aknixf,2019-01-07T03:47:31.588,2.29697323,126.7672958,6.01139866,,,,,6.67286817,6.34573647,6.40291478,1.85309279,106.4250565,1.629162192,20190107034458.791034.79328,2019-01-06T17:27:21.657,0.21286814,230,6.67286817,Mww,3.17674065,2.30339718,GA,1.25382279,229
earthquakes.fid--4c2f31a5_1803b3cb22b_-68c9,664194,17.57784653,38.61099625,37.80249405,2.03536582,Sulawesi; Indonesia,2019-04-12T19:40:52.129,manual,reviewed,2019-04-12T11:42:33.438,ga2019hehkra,2019-04-14T22:36:57.336,-1.84739864,122.5665817,6.11497324,,,,6.68163846,,6.41189883,6.48958747,0.82606637,98.79070282,0.826066375,20190414223608.077223.72806,2019-04-12T11:40:52.129,0.20615043,234,6.68163846,Mw,2.48314738,2.10674381,GA,1.13302002,232
earthquakes.fid--4c2f31a5_1803b3cb22b_-68c4,664547,18.66580963,51.4797287,140.23172,3.0693552,Eastern New Guinea Region; PNG,2019-05-07T07:19:37.026,manual,reviewed,2019-05-06T21:21:58.867,ga2019ixbwzs,2019-05-07T00:05:22.276,-6.98063755,146.4568939,6.57392878,,,,,7.08092542,6.75887266,6.94412319,2.50694895,104.6629257,2.506948948,20190506234916.469935.66499,2019-05-06T21:19:37.026,0.30458107,234,7.08092542,Mww,3.1083529,2.59888268,GA,0.91059868,234
earthquakes.fid--4c2f31a5_1803b3cb22b_-68c2,664668,20.86471558,61.79218292,47.36679459,3.07825373,New Britain Region; PNG,2019-05-14T22:58:29.965,manual,reviewed,2019-05-14T13:03:09.644,ga2019jldjwt,2019-05-15T00:18:03.45,-4.12948513,152.4954834,6.44983056,,,,,7.57563587,6.93517502,7.17507928,0.33655515,79.90338135,0.336555153,20190515001711.552398.91542,2019-05-14T12:58:29.965,0.31918107,280,7.57563587,Mww,3.18785667,2.39668369,GA,1.07376227,279
earthquakes.fid--4c2f31a5_1803b3cb22b_-68bd,665404,16.82948303,47.7684021,210.3308105,2.18264417,Banda Sea,2019-06-24T11:53:39.121,manual,reviewed,2019-06-24T02:55:49.369,ga2019mhqctz,2019-06-25T01:15:45.658,-6.42496681,129.1710968,6.74788631,,,,,7.23843344,6.89688064,7.12491364,2.61752176,78.44985199,2.026160955,20190625010317.394035.90329,2019-06-24T02:53:39.121,0.18700195,187,7.23843344,Mww,3.29668236,2.22346616,GA,0.89497749,187
earthquakes.fid--4c2f31a5_1803b3cb22b_-68cd,665624,17.31176758,46.9148407,55.74863052,2.11525151,Northern Molucca Sea,2019-07-08T00:08:42.952,manual,reviewed,2019-07-07T15:10:34.999,ga2019ngktpn,2019-07-08T00:24:02.383,0.44232887,126.1483917,6.44520769,,,,,6.88805429,6.54649642,6.66591031,2.48044109,92.75856018,1.26143086,20190708002058.206705.94476,2019-07-07T15:08:42.952,0.202491,219,6.88805429,Mww,3.04582548,2.22231484,GA,0.98239538,218
earthquakes.fid--4c2f31a5_1803b3cb22b_-68cc,665741,18.68535614,54.30207443,27.06227493,4.18430947,Halmahera; Indonesia,2019-07-14T18:10:52.997,manual,reviewed,2019-07-14T09:12:26.424,ga2019nsvbiy,2019-07-16T00:43:44.699,-0.60110807,128.0942383,6.3322885,,,,,7.15587707,6.69813001,6.86455031,1.54564345,79.88713074,1.545643449,20190716004313.785463.101991,2019-07-14T09:10:52.997,0.54716544,247,7.15587707,Mww,2.72347712,2.02693868,GA,1.19126644,244
earthquakes.fid--4c2f31a5_1803b3cb22b_-68ca,666343,41.25733948,38.07217026,52.60840988,2.10845215,Southwest of Sumatra; Indonesia,2019-08-02T19:03:27.16,manual,reviewed,2019-08-02T12:05:05.399,ga2019pbxqvd,2019-08-04T22:57:55.705,-7.27657747,104.789093,6.45175091,,,,,6.8400653,6.6183053,6.75997994,1.76560926,81.04502869,1.765609264,20190804225701.414834.89344,2019-08-02T12:03:27.16,0.21505145,228,6.8400653,Mww,3.53896546,2.26705718,GA,1.15473816,224
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b1,667076,15.23336792,48.82864761,40.67454529,2.14915005,Seram; Indonesia,2019-09-26T08:46:46.394,manual,reviewed,2019-09-25T23:48:57.282,ga2019sxyelk,2019-09-26T03:14:56.825,-3.47717786,128.3970032,,,,,6.4695576,,,,1.31643951,86.33437347,1.316439509,20190926031435.573742.109072,2019-09-25T23:46:46.394,0.1917929,202,6.4695576,Mw,2.97235298,2.25930023,GA,1.21064856,202
earthquakes.fid--4c2f31a5_1803b3cb22b_-68bc,667626,18.84640121,57.03288269,69.56541443,1.96803985,Northern Molucca Sea,2019-11-15T01:17:44.059,manual,reviewed,2019-11-14T16:19:42.965,ga2019wldpmk,2019-11-15T03:51:55.791,1.53997552,126.3666077,6.69493175,,,,,7.09594274,6.80715829,7.00737736,2.29018831,78.28159332,1.257772923,20191115034425.48662.66628,2019-11-14T16:17:44.059,0.18081515,234,7.09594274,Mww,2.80824804,2.0125351,GA,0.91180538,231
earthquakes.fid--4c2f31a5_1803b3cb22b_-68c3,669585,20.36120605,61.69106293,110.9645462,2.08095925,Banda Sea,2020-05-06T22:53:56.627,manual,reviewed,2020-05-06T13:56:06.926,ga2020iyjdnl,2020-05-07T02:03:10.993,-6.91938877,129.8668823,6.53040731,,,,,6.81526504,6.57287304,6.70046368,1.76978171,39.01083374,1.769781709,20200507020227.501972.65569,2020-05-06T13:53:56.627,0.15832923,112,6.81526504,Mww,3.73791361,2.48208237,GA,1.29503712,108
earthquakes.fid--4c2f31a5_1803b3cb22b_-68c1,669958,25.87022018,46.04691315,116.917244,2.31608963,Halmahera; Indonesia,2020-06-04T17:49:40.306,manual,reviewed,2020-06-04T08:52:04.707,ga2020kzfcwm,2020-06-05T01:51:55.194,2.89067888,128.2480927,6.37921017,,,,,6.48616413,6.2507501,6.27848264,2.28163433,53.19282913,2.281634331,20200605014923.520022.64985,2020-06-04T08:49:40.306,0.21181774,195,6.48616413,Mww,3.17408466,2.25829887,GA,0.96352376,191
earthquakes.fid--4c2f31a5_1803b3cb22b_-68be,670421,13.44702148,42.99454498,536.5473022,1.50745407,Java Sea,2020-07-07T05:54:46.853,manual,reviewed,2020-07-06T22:57:08.162,ga2020nhajgf,2020-07-07T05:55:52.329,-5.64004564,110.6432724,5.96130265,,,,,6.64851798,6.11934364,6.10634016,1.41430998,91.88246155,1.414309978,20200707055437.287019.113337,2020-07-06T22:54:46.853,0.10252691,251,6.64851798,Mww,2.96700692,2.29927588,GA,0.82921853,250
earthquakes.fid--4c2f31a5_1803b3cb22b_-68bb,670593,15.43878937,55.14049149,81.35980988,2.51975182,Eastern New Guinea Reg.; P.N.G.,2020-07-17T12:50:22.57,manual,reviewed,2020-07-17T02:54:30.015,ga2020nzrmhv,2020-07-17T04:16:02.107,-7.84966183,147.7071838,6.74645911,,,,,7.07073687,6.78499986,6.97834982,1.63718605,89.02759552,1.63718605,20200717041555.259125.50933,2020-07-17T02:50:22.57,0.25281867,288,7.07073687,Mww,2.86732173,2.19219804,GA,1.05787287,287
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b7,671126,14.38929749,51.99237061,627.1407471,1.50283458,Banda Sea,2020-08-21T12:09:51.746,manual,reviewed,2020-08-21T04:12:33.018,ga2020qmamjf,2020-08-24T00:09:17.198,-6.66032839,123.4540634,6.6613143,,,,,6.87558195,6.27882406,6.31525952,2.30339193,175.8245697,2.303391933,20200824000814.512354.70035,2020-08-21T04:09:51.746,0.0926952,366,6.87558195,Mww,2.80930424,1.96706963,GA,1.08974347,364
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b6,671789,12.64948273,56.68603134,107.0434341,2.22126198,Eastern New Guinea Reg.; P.N.G.,2020-10-08T17:35:32.649,manual,reviewed,2020-10-08T07:39:35.451,ga2020twkduz,2020-10-08T22:36:47.495,-6.11473942,146.1887207,6.2398653,,,,,6.45848165,6.08328415,6.05910224,3.40738154,103.9194946,3.407381535,20201008223550.842134.51930,2020-10-08T07:35:32.649,0.21918931,286,6.45848165,Mww,2.52641797,2.15766287,GA,0.74916749,280
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b5,678713,17.55667114,51.44364548,5.26191711,3.14842236,Flores Sea,2021-12-14T11:20:22.165,manual,reviewed,2021-12-14T03:21:44.844,ga2021ynfqbi,2021-12-14T23:00:35.906,-7.61860228,122.1908188,6.26766981,,,,,7.23958231,6.73939161,6.91860301,1.01161981,107.7699356,1.011619806,20211214225801.485822.118608,2021-12-14T03:20:22.165,0.47255015,226,7.23958231,Mww,2.96238518,2.05729866,GA,1.3100247,225
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b4,678880,11.31188965,48.03507996,162.7543335,1.65620518,Banda Sea,2021-12-30T03:25:52.295,manual,reviewed,2021-12-29T18:27:40.596,ga2021zpxopy,2022-01-05T02:13:04.6,-7.6096797,127.5622101,6.75902106,,,,,7.29323363,6.990493,7.24754583,3.04478788,104.753891,3.044787884,20220105021159.722982.156942,2021-12-29T18:25:52.295,0.15341853,352,7.29323363,Mww,2.64603448,1.74745369,GA,1.26915182,352
earthquakes.fid--4c2f31a5_1803b3cb22b_-68b3,679227,17.10404968,40.35897446,58.16143417,1.67523301,Sunda Strait; Indonesia,2022-01-14T16:05:45.223,manual,reviewed,2022-01-14T09:07:14.902,ga2022ayonrm,2022-01-18T03:52:07.25,-6.78826809,105.3705444,6.12535359,,,,,6.65400037,6.33636512,6.3906383,1.0119642,105.5969696,1.011964202,20220116232127.810365.107955,2022-01-14T09:05:45.223,0.17816822,289,6.65400037,Mww,3.46396756,2.01174641,GA,1.50362032,285
