LON,LAT,P0.02,P0.01375,P0.01,P0.00445,P0.0021,P0.001,P0.0005,P0.000404,P0.0002,P0.0001,LOCATION
113.53,-25.93,0.004289753369432189,0.006232995403794553,0.008315544317513836,0.01619341030054984,0.028416602449078326,0.047598536830854916,0.07503051803324765,0.08572253461366924,0.13156957468238953,0.19637271359412292,Denham
113.66,-24.88,0.005098494396098755,0.0073359251266978545,0.009772900431063023,0.0189003794723062,0.032844803131134415,0.05446422017754864,0.08428270736582277,0.09594679197836077,0.14462309211154614,0.21183992490527823,Carnarvon
114.13,-21.93,0.005102464347757797,0.007690095519177403,0.010606854548134996,0.022160844462105835,0.040955402196746926,0.0718091779161219,0.11788948979538368,0.13684040080868076,0.2204739466491011,0.3460110865372029,Exmouth
114.61,-28.78,0.003069985436696988,0.00462301024707698,0.006367147867890156,0.013147441143499385,0.023931568543636844,0.04126938382236814,0.0661654227020968,0.07609974446823192,0.1177342251278573,0.1765248413400179,Geraldton
115.05,-33.97,0.0019517817788996944,0.0031135735545960467,0.004227515889959233,0.008408925821138141,0.0146428273292872,0.024396959071793768,0.03860141348877961,0.04427076310339534,0.06903196585244059,0.10516488276499367,Margaret River
115.11,-21.64,0.0047116300975773105,0.007003691409475801,0.00950337590276267,0.019317038544446656,0.03530241974508127,0.06210662339555306,0.10284868477350198,0.11920283027837097,0.19128563122444792,0.2947449263377495,Onslow
115.35,-33.65,0.002531359844900706,0.0038277281753929383,0.005209223803008497,0.010005488061465664,0.01679349674959107,0.026931762255230203,0.04083651364767619,0.046281951622322876,0.06949275431697877,0.10271432484638487,Busselton
115.66,-33.35,0.00324101372302612,0.004779130997461375,0.006400520660563351,0.012209889815680492,0.020552749481850704,0.032737242391811014,0.04911428711159847,0.05539086787092115,0.08125413904044011,0.11707304452627564,Bunbury
115.86,-31.95,0.004737145659088487,0.006787003587252149,0.008890190004294016,0.016339806029558913,0.02696345146713108,0.042349587399835145,0.06314234434431916,0.07120754331153932,0.10474328690071039,0.1519726668694876,Perth
116.03,-31.89,0.005324463225183681,0.0076391511287042186,0.010098583771012859,0.018885666730878513,0.03162145326177242,0.05084372699409073,0.07729059006559329,0.08753350078189333,0.1309091045836036,0.19202093021825994,Perth max
116.66,-31.65,0.007835369947679442,0.011549408611720952,0.01564365872083196,0.03188869206664513,0.05917654851621072,0.10554203123035502,0.17495423756917652,0.20343805220539354,0.3218928759635332,0.48406386016903513,Northam
116.71,-30.90,0.009344903447025231,0.014176009001456337,0.019613790004654543,0.04131266507847066,0.07714319838397944,0.13681054828062164,0.22480497196653063,0.2599046955278242,0.4070358625054149,0.6030702671153929,Wongan Hills
116.71,-20.66,0.0046381821297082435,0.006895682427108248,0.009361398479482957,0.019107797750350937,0.034983725034671925,0.06109616003402113,0.1000156182534264,0.1157329506211888,0.18529965588379602,0.2885872953646586,Dampier
116.76,-31.88,0.007781719263373945,0.011549348197612082,0.01575489048460206,0.03276427880616679,0.06187870776605615,0.11203706547910508,0.18827585413957929,0.21883061683415594,0.34657690369306504,0.5179213977822056,York
116.76,-30.60,0.009535626975941847,0.014692453857076232,0.020643326159229744,0.04541684865828076,0.087976001417032,0.16109595548974043,0.270193250329701,0.31176900784371114,0.47869730622381673,0.6902410501704659,Ballidu
116.83,-31.30,0.00896723174973433,0.013335977183603586,0.018091271393318165,0.036630301476782326,0.06667637467012413,0.11668541768608151,0.19121630443905774,0.22111638310594064,0.3501937380582696,0.5333787696629113,Goomalling
116.85,-20.73,0.00446424647424658,0.006578622055700548,0.008861811014757645,0.01767309618372254,0.031662231697825075,0.05442066420268255,0.08820699005831172,0.10212289684489873,0.16354783070118456,0.25585050128739545,Karratha
117.01,-31.63,0.00870810581053934,0.012875637125471651,0.0174178206544208,0.03515012557994855,0.06406669577336731,0.11232033038999975,0.1837421630114619,0.21244215955088105,0.33337525820690667,0.5020236054652933,Meckering
117.03,-31.20,0.00969460382376987,0.014453473573243315,0.019736697782179777,0.040174160737944054,0.07287575368900384,0.12597316388295018,0.20465518400247595,0.23562385487058143,0.368797488786316,0.5517637617263078,Dowerin
117.40,-32.01,0.008398579417421706,0.012514206457164041,0.017079683033908326,0.035411088997539655,0.06610561526659049,0.11739160401382547,0.19338640202558102,0.22330428674169772,0.3489007435931364,0.5176224789313721,Quairading
117.50,-32.78,0.00699147553841583,0.010387725965922412,0.014140441346024307,0.02872903895009297,0.0529873208087441,0.09457414233932862,0.15828678256389112,0.1843358167022071,0.29922168815197525,0.4670423901672182,Wickepin
117.71,-31.63,0.00863466104903837,0.01269018720590825,0.017099291513195388,0.034330486272663434,0.0625743226641261,0.10928916349940394,0.17684126668943895,0.20400016934580806,0.314563414451336,0.4641937929618807,Kellerberrin
117.88,-35.02,0.002293919241329392,0.0037150666656807583,0.005224437603059887,0.01063764173059373,0.018817021071208945,0.03162097296146698,0.050496716724776604,0.058220327911288804,0.09300648522124107,0.14745140590045083,Albany
118.61,-20.31,0.005234256481793583,0.007635333984977826,0.010274084947663593,0.020469257744664772,0.037266888473366316,0.06594972935898662,0.11072284762842297,0.12938895244268647,0.21309860820442897,0.3359714536985694,Port Hedland
119.73,-23.36,0.0022765897259964503,0.003657768766427864,0.005142126834322962,0.010490166231131892,0.01863944989857687,0.03172339843992395,0.05162035686096775,0.05992173138992182,0.09789352240577992,0.15771569820871617,Newman
119.75,-21.16,0.00551210873659024,0.00819760288953421,0.01114177626417086,0.02253332480508087,0.04118524029388844,0.0730175473665416,0.12251112194408044,0.143280874100844,0.23555999373048947,0.37691426827171115,Marble
