LON,LAT,P0.02,P0.01375,P0.01,P0.00445,P0.0021,P0.001,P0.0005,P0.000404,P0.0002,P0.0001
113.53,-25.93,0.009511418519617416,0.013728166692644712,0.018223684743505802,0.035049148877666005,0.060395096101136664,0.0992949917860682,0.15313536228794272,0.1739730689931133,0.26196263465651776,0.3843305576807729
113.66,-24.88,0.01105525511894248,0.015879502919516696,0.02108896447930746,0.04042273485814863,0.06938595722424981,0.11297411549819514,0.17219897670294676,0.19519901437435283,0.28903837559240964,0.4160177822725064
114.13,-21.93,0.010819002314393937,0.0161793514404393,0.022158065150599447,0.045577462896058366,0.0829623749838283,0.14344055101720402,0.23247429086451787,0.2689077278221066,0.4294580938129621,0.6689732947415231
114.61,-28.78,0.006753792625204581,0.0101500367484423,0.013898836394860998,0.02824666300876846,0.05065024535597876,0.08557796026434915,0.13485136935596337,0.15412170411516288,0.23465939728969606,0.3466984168271376
115.05,-33.97,0.004422102797208059,0.006755382805909942,0.009194789491142179,0.01806801372620704,0.031199734045761176,0.051490983570674234,0.08001765559882947,0.09125867211401607,0.13931820236822887,0.207832902776228
115.11,-21.64,0.010039035073253594,0.014627167889236193,0.01963662474975437,0.03841659711069246,0.06744260262882505,0.11377333405830144,0.18098379826036054,0.20797370904891702,0.32125114706269686,0.4787253712593465
115.35,-33.65,0.005551929062581631,0.008225199052536193,0.011042792603462187,0.02096321553304663,0.034982603538154515,0.05558802969249343,0.08349362753352974,0.09430930213482262,0.1394981406738206,0.20261320848067835
115.66,-33.35,0.00689642981757925,0.010069364649520787,0.013397161028258553,0.024996615526707795,0.04115037249424057,0.06420015313236105,0.09462404231457998,0.10624460871569574,0.15364773045392646,0.21856180760085747
115.86,-31.95,0.0098249716421773,0.013904969883261684,0.018075217447344638,0.03250232387887442,0.05259241116834976,0.08106922915184996,0.11874112241400706,0.13309482428835126,0.19168228814891655,0.2708534465739056
116.03,-31.89,0.010883551731136226,0.015455259116562177,0.020232798254385426,0.03680753688387987,0.05976161845524059,0.09277426900909241,0.13619737352543299,0.15264357477645535,0.21962850391594152,0.3104544889866301
116.66,-31.65,0.015536608011906037,0.02244505500342467,0.02984791346396816,0.05739733997883488,0.09969338196583222,0.16538564530308109,0.2577602452813829,0.2939465101330707,0.4421513399341729,0.6433824417038172
116.71,-30.90,0.01826880403083231,0.026977567394898542,0.03627399582435712,0.07105060995024902,0.123804301039166,0.20595621467896982,0.3190146066078653,0.3629168108277465,0.5437273204996333,0.7865840060049228
116.71,-20.66,0.009958732495531036,0.014575905619640468,0.019637651235859147,0.03864573704580419,0.0675839267670538,0.11215125097458563,0.17418069980087078,0.1987137749009049,0.3009447176636401,0.4439939841381899
116.76,-31.88,0.015448930109689058,0.022454472906291247,0.030028824885285355,0.058593094356077687,0.10321247837097937,0.1732828154924053,0.27266525866732966,0.3107395494670078,0.4683067069363291,0.6802738765610181
116.76,-30.60,0.018588855080909752,0.02779044997227197,0.03794452661567766,0.07691099514538974,0.13834099927502402,0.23497027497746012,0.3680172822431063,0.4184269549050624,0.6191867479010653,0.8828638611064096
116.83,-31.30,0.01758299826247695,0.02549606562697295,0.03381188239538292,0.06434877092829534,0.11033294209107787,0.18106899223620482,0.28050106972693023,0.3188077558997479,0.48069389263461954,0.7032153933733339
116.85,-20.73,0.009616399381782208,0.013973165383728225,0.01864846756960531,0.035927100847941526,0.061631704519232514,0.10085672581507894,0.15495359117908084,0.17600706812609265,0.2652717246806316,0.3907746916565174
117.01,-31.63,0.017105573778051608,0.024709074317662425,0.03272992654758963,0.06221535162693476,0.10674354731329631,0.17495984758706576,0.2702491592335373,0.3070805220088008,0.46098720681466787,0.6738458875654417
117.03,-31.20,0.0188875962322039,0.02747376933471154,0.03657255564239027,0.06964506200184349,0.118689297940413,0.1937872041406427,0.2975098944887651,0.3372570412786613,0.5029082647754403,0.7268514232824386
117.40,-32.01,0.016549144746408482,0.024097744267825866,0.03218530816643011,0.0624188065598717,0.10863659440198535,0.17981370277409364,0.27909289790052694,0.31666378808411033,0.4730076322817364,0.6837861850932264
117.50,-32.78,0.013907754127529079,0.020244295544259425,0.02705411373367181,0.051993666109891104,0.09011193945606731,0.15054758854981243,0.23689070053150882,0.27145315722301183,0.4181391166877461,0.6244198217401976
117.71,-31.63,0.016946331415842408,0.024380624534481418,0.03221970756772381,0.06102117524727012,0.1044086767448516,0.1698761775284735,0.25977000456804966,0.29451900152991306,0.4360509396182931,0.6283298654825461
117.88,-35.02,0.005056981234794559,0.007798927353292951,0.01073949965826092,0.021250801283417324,0.036462309438236126,0.0591179094992309,0.09066983963933711,0.10318147299808614,0.156204628733742,0.2329645118878358
118.61,-20.31,0.01073910898962688,0.015452760897093125,0.020535721071422475,0.03936599197640071,0.06806445414939492,0.11309645395729218,0.17741336452468284,0.20320789428035235,0.3115185286514898,0.4641094098582661
119.73,-23.36,0.004961823495926004,0.0076599572914493866,0.010559492341642765,0.020905090691670562,0.03591277214334534,0.058662199361047815,0.09093498371159725,0.10385511737515245,0.1593234575748289,0.24051805665924608
119.75,-21.16,0.011125485623883704,0.016230816757457443,0.021684595146055783,0.041760747485751294,0.0723971897632373,0.12061739578451595,0.19067585422515657,0.21870121532556316,0.34002710065301367,0.5157883699405929
121.16,-30.95,0.007182139064101678,0.011420232342047164,0.01644092685720209,0.038434795178526375,0.07739349620355274,0.14214349092709042,0.23483671361316033,0.27184673367937295,0.4245072067299239,0.6326643917451761
121.46,-30.75,0.007177423160507442,0.01164329848846161,0.017241276019731046,0.047719917181092114,0.1301497509469359,0.3073015288062591,0.5627376224974314,0.6516264061926098,1.0109942482207153,1.4629052081670706
121.88,-33.86,0.004301389305764967,0.006812527673216383,0.009429955628089631,0.018816158561392796,0.032325164849959794,0.05283274212033545,0.08123371504235063,0.09242540998963393,0.1404064119425908,0.2099612051387085
122.23,-17.95,0.014170314130990984,0.019796443437191252,0.025794890896468498,0.048068412280913186,0.08206737490423341,0.13518197861481857,0.21043066794778872,0.23973736687673922,0.36430001286839536,0.5373068356771862
123.63,-17.31,0.013878238813968475,0.019112217228079317,0.02460601221882147,0.04508304759460257,0.076318962858354,0.12458241386928226,0.1926284273793984,0.21912860004670165,0.3303621886629741,0.4841702921989341
128.11,-15.48,0.010959596558750496,0.014644851611276226,0.018099837375097683,0.029706225437614444,0.0468846756484321,0.07447798867556062,0.11481406833671783,0.1309820430454134,0.20091598009974057,0.3027926199457025
128.74,-15.77,0.01054840026215637,0.014193975187761164,0.017728518459468837,0.030349466629564458,0.0496363966835584,0.08044695650075315,0.1251387909590227,0.14313782130473768,0.22009053535327813,0.3306214966633634
130.83,-12.45,0.013983089761923886,0.020751785794074936,0.026590976929137315,0.04033083433428041,0.05523450780086414,0.07351312569812934,0.09644598746655872,0.10507729411669199,0.14315951402715446,0.20366909281577766
130.97,-25.21,0.007360350586767923,0.01119485639209175,0.015303039051667532,0.030299046896960533,0.05293627360564242,0.08803484152068271,0.13854436185934374,0.15854012675114895,0.24428044326007536,0.36603752766636843
131.01,-25.28,0.00744925167268954,0.01136457228442997,0.015562683536133255,0.030941708243511,0.054237716414449376,0.0906107881839359,0.1431396663976211,0.1638028757185201,0.25278447233972207,0.37882024475046033
133.88,-23.70,0.0021974147334926225,0.0037552371828531187,0.005480294138282812,0.011845049043945479,0.021318758268021095,0.035769305976645856,0.0561503477011671,0.06422418032002597,0.09938390615697,0.15146166901454297
134.18,-19.65,0.000695657879656146,0.00163281218577523,0.003083228827487444,0.009553636478575515,0.02193856845146634,0.04514661620728218,0.0828647796578096,0.09885860702903039,0.17004978990253067,0.27693884902825844
135.86,-34.73,0.003721007382301902,0.00595349904956111,0.008383326520997209,0.017605585807842626,0.031737826707467165,0.05405079035937279,0.08617162796657152,0.09914950327288458,0.15505408182371405,0.23680159308404228
136.42,-33.14,0.005015687892978537,0.007430068976325283,0.010060925449535034,0.019880592668881966,0.034727207945419086,0.057505757300335796,0.0894888169523676,0.10224236714981355,0.15625830532674964,0.23339885058349957
136.82,-31.22,0.00449630012504716,0.006348104631321085,0.008194482181330228,0.0144697265830159,0.02298120263908917,0.03526309102711129,0.05173973009783886,0.0580570665425994,0.08464389697232208,0.12237752987373056
136.88,-30.45,0.004397238120456304,0.006303734227864977,0.008227852775221374,0.014874405319233506,0.02409997364605723,0.037622463385201116,0.05591523734708433,0.06300553355573243,0.0930598296667873,0.13598247592256366
137.56,-33.03,0.008529440990739216,0.012044850422427446,0.015636583284512222,0.028031561920926557,0.04508468592985891,0.06982289444317685,0.10289666892711533,0.11539875369843963,0.16765900054594016,0.23940628772487255
137.76,-32.48,0.009843533384366974,0.014109468472028992,0.018625042745914,0.0350475211842137,0.05950265524746966,0.09692751088418779,0.14879342062464165,0.16858279355121766,0.25116787516207717,0.36172756059282324
138.01,-33.20,0.010770275490641664,0.015686880885839756,0.02097586018834156,0.04044271004022176,0.06945501166292153,0.1133445183929643,0.17352358414430613,0.19701713317438566,0.2926392597564122,0.42134960884731565
138.42,-31.89,0.013501655936216012,0.020137348852663373,0.02736437870452162,0.05375068058751222,0.09172072510691318,0.14706725375530058,0.21804209874880479,0.2442490600629792,0.3493247952201519,0.4844512907280578
138.47,-30.54,0.009196719734421046,0.013968910129770317,0.0192528920361268,0.039347920430669356,0.06971832319657915,0.1151972514463167,0.1765921742683534,0.20044129089745902,0.29517603968493106,0.419538007235368
138.49,-34.37,0.008742556801871419,0.013195221612378263,0.018153344436980464,0.03786066997741817,0.06939883150212676,0.12034421373788343,0.19526721039541875,0.22495595691198828,0.35155298793593626,0.5247909002686265
138.60,-34.93,0.007054734466895386,0.011029238470891795,0.015722120559552907,0.03603096259700851,0.07154666328566871,0.13058065044518746,0.21811491859685514,0.2534765908844145,0.40951739964772116,0.6364560652387423
138.60,-33.21,0.012998235923887392,0.019588968337488463,0.026806243445625592,0.05354529913634298,0.0921551855288287,0.1480532539961374,0.21915557548213613,0.24532845744972945,0.3500312442815931,0.4846507146151759
138.70,-34.75,0.0075875392077293605,0.011780116103842622,0.016653024519959973,0.037140458792159756,0.07143028661739528,0.12742629378377024,0.21173789547973484,0.24652429473842483,0.4062769281255235,0.6648640389958681
138.84,-32.97,0.01286695930651762,0.019095018499299066,0.025706036511960084,0.04980890587899428,0.08421568517226091,0.13402073791437988,0.19939382681598056,0.22344256290179487,0.32132864974176756,0.44920185459972867
139.76,-37.01,0.003755488336124396,0.006174963868672343,0.008831098178715345,0.01899635306521053,0.034542164808124456,0.058730276905045495,0.09253480252745992,0.10582309118958702,0.16040760546623287,0.23535227591262423
140.78,-37.83,0.0045728385164119055,0.007662740625542131,0.011105182522893218,0.02455880464868714,0.045694617597216484,0.07885475507937255,0.1247477772326284,0.1428619309163631,0.21604262383886222,0.31524903755447864
141.46,-31.96,0.0022875796538260724,0.003639413877240744,0.0051409631011953075,0.011222630870050179,0.022460594372890705,0.044577074601142956,0.0831364149174884,0.10002608217296054,0.1760634935334083,0.2908921670113774
142.48,-38.38,0.005383295051781381,0.008515831338866178,0.012065939859676654,0.02613819784783669,0.0480842992181559,0.08173058156509276,0.12758849731303618,0.14557445759168441,0.21814140598735424,0.3171953898339941
143.86,-37.56,0.006047355076380204,0.009207194000430782,0.012662751318879705,0.025980539059879057,0.046464059281093206,0.07777940302406032,0.11972187970979635,0.1358571332032925,0.20127043345435136,0.2882620581289315
143.98,-38.53,0.007776928456307749,0.011999479895049191,0.016771651809536433,0.03614113140157843,0.06842123428916688,0.12125040841695099,0.1966903071500056,0.22537595160209362,0.3447504203164995,0.5055854558737364
144.28,-36.75,0.00542598448889531,0.008251475327962452,0.011303160088615644,0.022537263806688176,0.039341774925077774,0.06507723262138924,0.10205310605620128,0.11682731901049617,0.18193614992318893,0.2800710152794378
