Location,Current,500_yr_PGA,0_66_1500_yr_PGA,Scenario_1,Scenario_2,Average,Proposal,LON,LAT,PLACE,TEST
Maitland,0.1,0.031,0.049,0.08,0.08,0.08,0.08,151.55,-32.73,Maitland,TRUE
Marble Bar,0.13,0.05,0.078,0.08,0.08,0.08,0.08,119.75,-21.16,Marble Bar,TRUE
Margaret River,0.09,0.016,0.023,0.08,0.08,0.08,0.08,115.05,-33.97,Margaret River,TRUE
Meckering,0.2,0.136,0.243,0.17,0.08,0.125,0.12,117.01,-31.63,Meckering,TRUE
Melbourne,0.08,0.041,0.055,0.08,0.08,0.08,0.08,144.96,-37.81,Melbourne,TRUE
Mittagong,0.09,0.039,0.056,0.08,0.08,0.08,0.08,150.45,-34.45,Mittagong,TRUE
Morwell,0.11,0.112,0.188,0.132,0.11,0.121,0.12,146.4,-38.23,Morwell,TRUE
Mount Barker,0.1,0.038,0.079,0.08,0.08,0.08,0.08,138.86,-35.07,Mount Barker,TRUE
Mount Gambier,0.09,0.019,0.029,0.08,0.08,0.08,0.08,140.78,-37.83,Mount Gambier,TRUE
Murray Bridge,0.08,0.028,0.05,0.08,0.08,0.08,0.08,139.27,-35.12,Murray Bridge,TRUE
Newcastle,0.11,0.027,0.042,0.08,0.08,0.08,0.08,151.78,-32.93,Newcastle,TRUE
Newman,0.08,0.021,0.033,0.08,0.08,0.08,0.08,119.73,-23.36,Newman,TRUE
Noosa,0.08,0.01,0.015,0.08,0.08,0.08,0.08,153.08,-26.4,Noosa,TRUE
Northam,0.14,0.083,0.123,0.086,0.08,0.083,0.1,116.66,-31.65,Northam,TRUE
Onslow,0.11,0.051,0.08,0.08,0.08,0.08,0.08,115.11,-21.64,Onslow,TRUE
Orange,0.08,0.034,0.049,0.08,0.08,0.08,0.08,149.1,-33.28,Orange,TRUE
Pakenham,0.09,0.056,0.077,0.08,0.08,0.08,0.08,145.49,-38.08,Pakenham,TRUE
Penrith,0.08,0.031,0.045,0.08,0.08,0.08,0.08,150.7,-33.75,Penrith,TRUE
Perth,0.09,0.031,0.041,0.08,0.08,0.08,0.08,115.86,-31.95,Perth,TRUE
