#Rhyp <= hx: ln Y = c0 + c1*(M-6)**2 + c2*(M-6) + (c3*hx +  c4*(log10(Rhyp)-hx)) + (d0 + d1*log10(h)**3 + d2*log10(h)**2 + d3*log10(h))
T, c0, c1, c2, c3, c4, d0, d1, d2, d3, hx
0.067,-4.65836,0.04017,1.46376,-0.34541,-1.13075e+01,0.48511,-2.07510,8.87175,-9.52568,2.81291
0.1,-4.68493,0.05736,1.47664,-0.30409,-1.13519e+01,0.75870,-2.09230,9.17250,-10.26691,2.81291
0.15,-4.72926,0.07695,1.51069,-0.25064,-1.14936e+01,1.32608,-2.16153,9.56242,-10.98962,2.81291
0.2,-4.73353,-0.03601,1.51797,-0.21845,-1.16375e+01,1.73356,-2.23522,9.92817,-11.61078,2.81291
0.3,-4.25619,-0.06838,1.59229,-0.31826,-1.18218e+01,2.33544,-2.23529,9.93064,-11.97378,2.81291
0.4,-3.13544,-0.07452,1.70867,-0.69071,-1.13128e+01,2.13086,-2.08533,9.32163,-11.37049,2.81291
0.5,-1.37541,-0.09443,1.75933,-1.58829,-1.01625e+01,1.56945,-1.84081,8.20922,-9.67688,2.81291
0.75,0.75630,-0.03435,1.86424,-2.62709,-8.58854e+00,0.93037,-1.53163,6.87053,-7.96703,2.81291
1.0,2.77670,0.04656,2.00525,-3.54060,-7.05832e+00,0.89626,-1.27325,5.77924,-6.88444,2.81291
1.25,4.15572,-0.08489,2.05857,-4.27487,-6.07313e+00,0.71558,-1.12401,5.06755,-5.87260,2.81291
1.5,5.00058,-0.15787,2.16478,-4.66250,-5.70078e+00,0.92315,-1.04900,4.63963,-5.43614,2.81291
1.75,5.37433,-0.18703,2.32987,-4.79616,-5.27229e+00,0.86854,-0.93550,4.23663,-5.22634,2.81291
2.0,5.33516,-0.31035,2.37774,-4.96140,-4.87492e+00,0.73673,-0.84368,3.76930,-4.45961,2.81291
2.5,5.07862,-0.34779,2.43052,-5.04537,-4.44739e+00,0.50192,-0.70325,3.15572,-3.67093,2.81291
3.0,4.72768,-0.25370,2.52666,-4.97162,-3.98113e+00,0.68120,-0.55108,2.47890,-3.14004,2.81291
4.0,4.06063,-0.26937,2.54669,-5.00062,-3.73986e+00,0.66021,-0.41478,1.78963,-2.18457,2.81291
5.0,3.31100,-0.25141,2.59333,-4.96932,-3.45553e+00,0.66944,-0.26966,1.15736,-1.43127,2.81291
7.5,2.53482,-0.24352,2.66965,-4.91425,-3.14773e+00,0.77884,-0.12821,0.56902,-1.04145,2.81291
9.5,1.92298,-0.29684,2.68127,-4.94343,-2.95609e+00,0.88219,-0.06340,0.18171,-0.48128,2.81291
10.0,1.62271,-0.37258,2.70198,-4.85893,-2.72960e+00,0.84185,-0.00964,0.05464,-0.47441,2.81291
