STA,STLO,STLA,M17,WA07,Kea15
BW30,135.000,-22.500,760.0,273.0,nan
BW31,135.000,-23.000,1100.0,900.0,nan
BW32,134.938,-23.482,270.0,774.0,nan
BW33,135.000,-24.000,760.0,715.0,nan
BW34,135.000,-24.505,270.0,237.0,nan
CA3,117.048,-30.510,760.0,581.0,nan
CA4,117.093,-30.651,760.0,528.0,nan
CARL,115.927,-31.983,270.0,223.0,338.0
CMC,117.096,-30.792,270.0,384.0,474.0
CSBB,115.818,-31.982,270.0,618.0,nan
DAM,116.871,-30.430,270.0,474.0,nan
DOW,116.982,-31.010,1100.0,813.0,nan
EPS,115.881,-31.945,180.0,476.0,nan
FAW,117.012,-30.328,270.0,478.0,nan
FORT,128.059,-30.799,360.0,340.0,nan
GHSS,138.602,-34.919,360.0,355.0,257.0
GIRL,114.234,-22.643,560.0,219.0,nan
GNGN,115.715,-31.358,270.0,237.0,nan
GOK,116.852,-31.338,1100.0,506.0,nan
HTT,138.922,-33.431,760.0,905.0,nan
INKA,140.746,-27.741,560.0,482.0,nan
KLBR,117.755,-31.591,1100.0,905.0,nan
KMBL,121.891,-31.368,760.0,462.0,nan
KOO1,117.760,-30.650,1100.0,501.0,nan
KOO2,116.999,-30.510,760.0,510.0,nan
KPK,115.842,-31.960,270.0,873.0,nan
LCRK,138.216,-30.447,1100.0,928.0,nan
LM01,116.791,-34.395,360.0,276.0,nan
LM02,116.641,-34.493,560.0,589.0,nan
LM03,116.929,-34.368,560.0,437.0,nan
LM04,116.646,-34.338,560.0,605.0,nan
LM05,116.325,-34.383,560.0,637.0,nan
MBWA,119.731,-21.159,760.0,351.0,nan
MEEK,118.614,-26.638,560.0,286.0,nan
MORW,116.039,-29.068,1100.0,440.0,nan
MTKN,115.774,-31.933,360.0,543.0,nan
MULG,134.059,-30.282,760.0,416.0,nan
MUN,116.208,-31.978,760.0,775.0,nan
NAPP,138.148,-33.183,270.0,900.0,nan
NOR10,122.619,-32.268,270.0,340.0,nan
NOR11,122.089,-32.418,1100.0,410.0,nan
NOR12,122.376,-32.406,270.0,318.0,nan
NWAO,117.239,-32.928,560.0,692.0,nan
PIG,116.926,-30.570,360.0,509.0,nan
PIG2,116.792,-30.848,1100.0,591.0,1232.0
PIG3,116.484,-30.315,360.0,232.0,1101.0
PIG4,116.167,-31.748,760.0,900.0,nan
RKGY,116.977,-34.609,560.0,429.0,nan
STKA,141.595,-31.877,760.0,484.0,nan
SWH10,116.290,-33.300,1100.0,391.0,nan
SWH4,115.844,-33.009,360.0,234.0,nan
SWH5,115.743,-33.019,270.0,579.0,nan
SWH8,115.771,-33.076,270.0,370.0,nan
WHYH,137.574,-33.033,1100.0,456.0,nan
WRKA,128.296,-25.038,270.0,391.0,nan
