,ORIGIN_TIME,EQLO,EQLA,DEPTH,LOCSRC,ML,MW,MW_SRC,STA,STLO,STLA,REPI,AZIM,SAMPLE_RATE,FILE_NAME
513,2002-07-27T19:08:43.000000Z,117.07,-30.554,0.7,AUST,2.9,3.11,Allen et al. (2006),BK7,117.1815,-30.4597,15,45.7,100,2002-07-27T19.08.AU.BK7.A.mseed
514,2002-07-27T19:08:43.000000Z,117.07,-30.554,0.7,AUST,2.9,3.11,Allen et al. (2006),BK8,117.2198,-30.5803,14.7,101.5,100,2002-07-27T19.08.AU.BK8.A.mseed
515,2002-07-27T19:08:43.000000Z,117.07,-30.554,0.7,AUST,2.9,3.11,Allen et al. (2006),CMC,117.0964,-30.7916,26.5,174.5,200,2002-07-27T19.08.AU.CMC.A.mseed
516,2002-07-27T19:08:43.000000Z,117.07,-30.554,0.7,AUST,2.9,3.11,Allen et al. (2006),NWAO,117.239,-32.9277,263.7,176.6,40,2002-07-27T19.06.IU.NWAO.mseed
521,2002-08-02T13:43:32.000000Z,121.207,-30.917,3.2,AUST,3.8,3.82,ML2MW,RKGY,116.9773,-34.6094,569.8,222.9,40,2002-08-02T13.43.AU.RKGY.mseed
523,2002-08-02T13:43:32.000000Z,121.207,-30.917,3.2,AUST,3.8,3.82,ML2MW,NWAO,117.239,-32.9277,436.4,238.2,40,2002-08-02T13.41.IU.NWAO.mseed
526,2002-08-06T05:49:55.000000Z,117.08,-30.56,1.7,AUST,3.2,3.03,Allen et al. (2006),RKGY,116.9773,-34.6094,449.2,181.2,40,2002-08-06T05.49.AU.RKGY.mseed
528,2002-08-06T05:49:55.000000Z,117.08,-30.56,1.7,AUST,3.2,3.03,Allen et al. (2006),BK6,117.085,-30.5161,4.9,5.6,100,2002-08-06T05.49.AU.BK6.A.mseed
529,2002-08-06T05:49:55.000000Z,117.08,-30.56,1.7,AUST,3.2,3.03,Allen et al. (2006),BK1,116.9971,-30.5195,9.1,299.4,100,2002-08-06T05.49.AU.BK1.A.mseed
530,2002-08-06T05:49:55.000000Z,117.08,-30.56,1.7,AUST,3.2,3.03,Allen et al. (2006),BK9,116.981,-30.6302,12.3,230.6,100,2002-08-06T05.49.AU.BK9.V.mseed
531,2002-08-06T05:49:55.000000Z,117.08,-30.56,1.7,AUST,3.2,3.03,Allen et al. (2006),BK8,117.2198,-30.5803,13.6,99.6,100,2002-08-06T05.49.AU.BK8.A.mseed
532,2002-08-06T05:49:55.000000Z,117.08,-30.56,1.7,AUST,3.2,3.03,Allen et al. (2006),BK7,117.1815,-30.4597,14.8,41.3,100,2002-08-06T05.49.AU.BK7.A.mseed
533,2002-08-06T05:49:55.000000Z,117.08,-30.56,1.7,AUST,3.2,3.03,Allen et al. (2006),CMC,117.0964,-30.7916,25.7,176.5,200,2002-08-06T05.49.AU.CMC.A.mseed
534,2002-08-06T05:49:55.000000Z,117.08,-30.56,1.7,AUST,3.2,3.03,Allen et al. (2006),NWAO,117.239,-32.9277,263,176.8,40,2002-08-06T05.47.IU.NWAO.mseed
539,2002-08-16T09:47:38.000000Z,117.113,-30.552,11.4,AUST,3.6,3.66,ML2MW,RKGY,116.9773,-34.6094,450.1,181.6,40,2002-08-16T09.47.AU.RKGY.mseed
542,2003-03-24T11:50:32.000000Z,117.087,-31.702,4.8,AUST,4,3.98,ML2MW,RKGY,116.9773,-34.6094,322.6,181.8,40,2003-03-24T11.50.AU.RKGY.mseed
545,2003-03-24T11:50:32.000000Z,117.087,-31.702,4.8,AUST,4,3.98,ML2MW,MBWA,119.7312,-21.159,1197.4,13.3,40,2003-03-24T11.48.IU.MBWA.mseed
546,2004-01-23T15:31:47.000000Z,123.549,-31.672,14.9,AUST,4.3,4.23,ML2MW,RKGY,116.9773,-34.6094,694.1,240.2,40,2004-01-23T15.31.AU.RKGY.mseed
548,2004-01-23T15:31:47.000000Z,123.549,-31.672,14.9,AUST,4.3,4.23,ML2MW,NWAO,117.239,-32.9277,610.3,255.1,20,2004-01-23T15.29.IU.NWAO.mseed
550,2004-03-05T00:11:24.000000Z,127.084,-32.346,0,ISC,4.4,4.31,ML2MW,RKGY,116.9773,-34.6094,971.9,252.3,40,2004-03-05T00.11.AU.RKGY.mseed
551,2004-03-05T00:11:24.000000Z,127.084,-32.346,0,ISC,4.4,4.31,ML2MW,BLDU,116.7091,-30.6119,1004,278.3,20,2004-03-05T00.11.AU.BLDU.mseed
552,2004-03-05T00:11:24.000000Z,127.084,-32.346,0,ISC,4.4,4.31,ML2MW,NWAO,117.239,-32.9277,925.7,263.4,20,2004-03-05T00.09.IU.NWAO.mseed
553,2004-03-05T00:11:24.000000Z,127.084,-32.346,0,ISC,4.4,4.31,ML2MW,MEEK,118.614,-26.638,1036.1,305.5,200,2004-03-05T00.09.AU.MEEK.mrg.mseed
554,2004-03-05T00:11:24.000000Z,127.084,-32.346,0,ISC,4.4,4.31,ML2MW,STKA,141.5952,-31.8769,1369.5,91.7,40,2004-03-05T00.09.AU.STKA.mseed
555,2004-05-31T22:32:16.000000Z,121.76,-31.326,0,AUST,3.7,3.74,ML2MW,BLDU,116.7091,-30.6119,488.9,278,20,2004-05-31T22.32.AU.BLDU.mseed
556,2004-05-31T22:32:16.000000Z,121.76,-31.326,0,AUST,3.7,3.74,ML2MW,RKGY,116.9773,-34.6094,576.5,229.6,40,2004-05-31T22.32.AU.RKGY.mseed
557,2004-05-31T22:32:16.000000Z,121.76,-31.326,0,AUST,3.7,3.74,ML2MW,NWAO,117.239,-32.9277,462.1,246.2,20,2004-05-31T22.30.IU.NWAO.mseed
558,2004-11-24T02:42:56.000000Z,117.47,-30.63,0,AUST,4.4,4.16,Allen et al. (2006),CMC,117.0964,-30.7916,40,243.3,100,2004-11-24T02.43.AU.CMC.A.mseed
559,2004-11-24T02:42:56.000000Z,117.47,-30.63,0,AUST,4.4,4.16,Allen et al. (2006),BLDU,116.7091,-30.6119,73,271.4,200,2004-11-24T02.43.AU.BLDU.mseed
560,2004-11-24T02:42:56.000000Z,117.47,-30.63,0,AUST,4.4,4.16,Allen et al. (2006),GOK,116.852,-31.338,98.2,216.8,100,2004-11-24T02.43.AU.GOK.A.mseed
561,2004-11-24T02:42:56.000000Z,117.47,-30.63,0,AUST,4.4,4.16,Allen et al. (2006),KLBR,117.7546,-31.5915,110,165.8,20,2004-11-24T02.40.AU.KLBR.mseed
562,2004-11-24T02:42:56.000000Z,117.47,-30.63,0,AUST,4.4,4.16,Allen et al. (2006),MORW,116.0388,-29.0683,221.6,321,20,2004-11-24T02.40.AU.MORW.mseed
563,2004-11-24T02:42:56.000000Z,117.47,-30.63,0,AUST,4.4,4.16,Allen et al. (2006),NWAO,117.239,-32.9277,255.7,184.8,20,2004-11-24T02.40.IU.NWAO.mseed
564,2004-11-24T02:42:56.000000Z,117.47,-30.63,0,AUST,4.4,4.16,Allen et al. (2006),KMBL,121.8906,-31.3682,430,102.1,20,2004-11-24T02.40.AU.KMBL.mseed
565,2004-11-24T02:42:56.000000Z,117.47,-30.63,0,AUST,4.4,4.16,Allen et al. (2006),GIRL,114.234,-22.643,941.6,339.2,40,2004-11-24T02.40.AU.GIRL.mseed
566,2005-03-16T01:27:17.000000Z,117.464,-30.639,2.6,AUST,4.2,3.55,Allen et al. (2006),KOO1,117.76,-30.65,28.4,92.5,100,2005-03-16T01.27.AU.KOO1.A.mseed
567,2005-03-16T01:27:17.000000Z,117.464,-30.639,2.6,AUST,4.2,3.55,Allen et al. (2006),KOO2,116.999,-30.51,46.8,287.7,100,2005-03-16T01.26.AU.KOO2.A.mseed
568,2005-03-16T01:27:17.000000Z,117.464,-30.639,2.6,AUST,4.2,3.55,Allen et al. (2006),KLBR,117.7546,-31.5915,109.2,165.4,20,2005-03-16T01.25.AU.KLBR.mseed
569,2005-03-16T01:27:17.000000Z,117.464,-30.639,2.6,AUST,4.2,3.55,Allen et al. (2006),MORW,116.0388,-29.0683,222,321.3,200,2005-03-16T01.27.AU.MORW.mseed
570,2005-03-16T01:27:17.000000Z,117.464,-30.639,2.6,AUST,4.2,3.55,Allen et al. (2006),NWAO,117.239,-32.9277,254.7,184.7,40,2005-03-16T01.25.AU.NWAO.mseed
571,2005-03-16T01:27:17.000000Z,117.464,-30.639,2.6,AUST,4.2,3.55,Allen et al. (2006),RKGY,116.9773,-34.6094,442.7,185.8,40,2005-03-16T01.27.AU.RKGY.mseed
572,2005-03-16T01:27:17.000000Z,117.464,-30.639,2.6,AUST,4.2,3.55,Allen et al. (2006),MEEK,118.614,-26.638,457.5,14.5,20,2005-03-16T01.25.AU.MEEK.mseed
573,2005-03-16T01:27:17.000000Z,117.464,-30.639,2.6,AUST,4.2,3.55,Allen et al. (2006),FORT,128.059,-30.799,1014.6,93.7,20,2005-03-16T01.25.AU.FORT.mseed
574,2005-04-12T12:00:02.000000Z,117.005,-30.564,0,AUST,4,3.98,ML2MW,BLDU,116.7091,-30.6119,28.9,259.3,20,2005-04-12T12.00.AU.BLDU.mseed
575,2005-04-12T12:00:02.000000Z,117.005,-30.564,0,AUST,4,3.98,ML2MW,MORW,116.0388,-29.0683,190.3,330.4,20,2005-04-12T12.00.AU.MORW.mseed
576,2005-04-12T12:00:02.000000Z,117.005,-30.564,2,AUST,4,3.98,ML2MW,KLBR,117.7546,-31.5915,134.5,148.1,20,2005-04-12T11.57.AU.KLBR.mseed
577,2005-04-12T12:00:02.000000Z,117.005,-30.564,2,AUST,4,3.98,ML2MW,NWAO,117.239,-32.9277,263,175.2,20,2005-04-12T11.57.IU.NWAO.mseed
578,2005-04-12T11:59:35.000000Z,117.005,-30.588,2,AUST,3.5,3.59,ML2MW,RKGY,116.9773,-34.6094,446,180.3,40,2005-04-12T11.59.AU.RKGY.mseed
579,2005-04-12T12:00:02.000000Z,117.005,-30.564,2,AUST,4,3.98,ML2MW,MEEK,118.614,-26.638,462.7,20.3,20,2005-04-12T11.57.AU.MEEK.mseed
580,2005-04-12T12:00:02.000000Z,117.005,-30.564,2,AUST,4,3.98,ML2MW,KMBL,121.8906,-31.3682,475.2,102.1,20,2005-04-12T11.57.AU.KMBL.mseed
581,2005-05-01T09:43:16.000000Z,117.912,-30.194,2.7,AUST,4.1,4.06,ML2MW,MEEK,118.614,-26.638,400.1,10.1,20,2005-05-01T09.43.AU.MEEK.mseed
582,2005-05-01T09:43:16.000000Z,117.912,-30.194,2.7,AUST,4.1,4.06,ML2MW,BLDU,116.7091,-30.6119,124.5,247.9,20,2005-05-01T09.43.AU.BLDU.mseed
583,2005-05-01T09:43:16.000000Z,117.912,-30.194,2.7,AUST,4.1,4.06,ML2MW,KLBR,117.7546,-31.5915,155.7,185.5,20,2005-05-01T09.43.AU.KLBR.mseed
584,2005-05-01T09:43:16.000000Z,117.912,-30.194,2.7,AUST,4.1,4.06,ML2MW,RKGY,116.9773,-34.6094,497.5,189.9,40,2005-05-01T09.43.AU.RKGY.mseed
585,2005-05-01T09:43:16.000000Z,117.912,-30.194,2.7,AUST,4.1,4.06,ML2MW,MORW,116.0388,-29.0683,220.2,304.1,20,2005-05-01T09.43.AU.MORW.mseed
586,2005-05-01T09:43:16.000000Z,117.912,-30.194,2.7,AUST,4.1,4.06,ML2MW,FORT,128.059,-30.799,976.1,96.5,20,2005-05-01T09.43.AU.FORT.mseed
587,2005-05-01T09:43:16.000000Z,117.912,-30.194,2.7,AUST,4.1,4.06,ML2MW,NWAO,117.239,-32.9277,309.8,191.7,20,2005-05-01T09.41.IU.NWAO.mseed
588,2005-05-01T09:43:16.000000Z,117.912,-30.194,2.7,AUST,4.1,4.06,ML2MW,KMBL,121.8906,-31.3682,402.4,109.9,20,2005-05-01T09.41.AU.KMBL.mseed
589,2005-06-12T10:51:19.000000Z,117.108,-30.802,2.3,AUST,4.3,4.23,ML2MW,MORW,116.0388,-29.0683,218.1,331.5,20,2005-06-12T10.51.AU.MORW.mseed
590,2005-06-12T10:51:19.000000Z,117.108,-30.802,2.3,AUST,4.3,4.23,ML2MW,MEEK,118.614,-26.638,484.4,18.1,20,2005-06-12T10.51.AU.MEEK.mseed
591,2005-06-12T10:51:19.000000Z,117.108,-30.802,2.3,AUST,4.3,4.23,ML2MW,KLBR,117.7546,-31.5915,107.1,145,20,2005-06-12T10.51.AU.KLBR.mseed
592,2005-06-12T10:51:19.000000Z,117.108,-30.802,2.3,AUST,4.3,4.23,ML2MW,BLDU,116.7091,-30.6119,43.6,298.8,20,2005-06-12T10.49.AU.BLDU.mseed
593,2005-06-12T10:51:19.000000Z,117.108,-30.802,2.3,AUST,4.3,4.23,ML2MW,NWAO,117.239,-32.9277,236,177,20,2005-06-12T10.49.IU.NWAO.mseed
594,2005-06-12T10:51:19.000000Z,117.108,-30.802,2.3,AUST,4.3,4.23,ML2MW,RKGY,116.9773,-34.6094,422.4,181.6,40,2005-06-12T10.49.AU.RKGY.mseed
595,2005-06-12T10:51:19.000000Z,117.108,-30.802,2.3,AUST,4.3,4.23,ML2MW,KMBL,121.8906,-31.3682,460.6,99.1,20,2005-06-12T10.49.AU.KMBL.mseed
596,2005-06-12T20:36:44.000000Z,117.03,-30.558,7.6,AUST,4.5,4.4,ML2MW,MORW,116.0388,-29.0683,190.9,329.6,20,2005-06-12T20.36.AU.MORW.mseed
597,2005-06-12T20:36:44.000000Z,117.03,-30.558,7.6,AUST,4.5,4.4,ML2MW,BLDU,116.7091,-30.6119,31.4,258.9,20,2005-06-12T20.36.AU.BLDU.mseed
598,2005-06-12T20:36:44.000000Z,117.03,-30.558,7.6,AUST,4.5,4.4,ML2MW,RKGY,116.9773,-34.6094,449.3,180.6,40,2005-06-12T20.36.AU.RKGY.mseed
599,2005-06-12T20:36:44.000000Z,117.03,-30.558,7.6,AUST,4.5,4.4,ML2MW,MEEK,118.614,-26.638,461.2,20,20,2005-06-12T20.36.AU.MEEK.mseed
600,2005-06-12T20:36:44.000000Z,117.03,-30.558,7.6,AUST,4.5,4.4,ML2MW,KLBR,117.7546,-31.5915,133.8,149.1,20,2005-06-12T20.36.AU.KLBR.mseed
601,2005-06-12T20:36:44.000000Z,117.03,-30.558,7.6,AUST,4.5,4.4,ML2MW,NWAO,117.239,-32.9277,263.5,175.7,20,2005-06-12T20.34.IU.NWAO.mseed
602,2005-06-12T20:36:44.000000Z,117.03,-30.558,7.6,AUST,4.5,4.4,ML2MW,KMBL,121.8906,-31.3682,473,102.2,20,2005-06-12T20.34.AU.KMBL.mseed
603,2005-09-21T22:46:41.000000Z,117.165,-30.146,2,USGS,4,4.06,Ghasemi et al (2016),MEEK,118.614,-26.638,413.9,20.4,20,2005-09-21T22.46.AU.MEEK.mseed
604,2005-09-21T22:46:41.000000Z,117.165,-30.146,2,USGS,4,4.06,Ghasemi et al (2016),BLDU,116.7091,-30.6119,67.7,220.2,20,2005-09-21T22.44.AU.BLDU.mseed
605,2005-09-21T22:46:41.000000Z,117.165,-30.146,2,USGS,4,4.06,Ghasemi et al (2016),MORW,116.0388,-29.0683,161.8,317.3,200,2005-09-21T22.44.AU.MORW.mrg.mseed
606,2005-09-21T22:46:41.000000Z,117.165,-30.146,2,USGS,4,4.06,Ghasemi et al (2016),KLBR,117.7546,-31.5915,169.9,160.8,200,2005-09-21T22.45.AU.KLBR.mrg.mseed
607,2005-09-21T22:46:41.000000Z,117.165,-30.146,2,USGS,4,4.06,Ghasemi et al (2016),NWAO,117.239,-32.9277,308.5,178.7,20,2005-09-21T22.44.IU.NWAO.mseed
608,2005-09-21T22:46:41.000000Z,117.165,-30.146,2,USGS,4,4.06,Ghasemi et al (2016),KMBL,121.8906,-31.3682,472.3,107.9,20,2005-09-21T22.44.AU.KMBL.mseed
609,2005-09-21T22:46:41.000000Z,117.165,-30.146,2,USGS,4,4.06,Ghasemi et al (2016),RKGY,116.9773,-34.6094,495.3,182,40,2005-09-21T22.44.AU.RKGY.mseed
610,2005-09-21T22:46:41.000000Z,117.165,-30.146,2,USGS,4,4.06,Ghasemi et al (2016),GIRL,114.234,-22.643,881.1,339.9,40,2005-09-21T22.44.AU.GIRL.mseed
611,2005-09-21T22:46:41.000000Z,117.165,-30.146,2,USGS,4,4.06,Ghasemi et al (2016),FORT,128.059,-30.799,1048.2,96.7,20,2005-09-21T22.44.AU.FORT.mseed
612,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),MEEK,118.614,-26.638,411.5,20.4,20,2005-09-22T03.52.AU.MEEK.mseed
613,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),BLDU,116.7091,-30.6119,69.9,219.5,20,2005-09-22T03.50.AU.BLDU.mseed
614,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),MORW,116.0388,-29.0683,160.7,316.6,200,2005-09-22T03.50.AU.MORW.mrg.mseed
615,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),KLBR,117.7546,-31.5915,171.7,161.2,200,2005-09-22T03.51.AU.KLBR.mseed
616,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),NWAO,117.239,-32.9277,310.7,178.9,20,2005-09-22T03.50.IU.NWAO.mseed
617,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),KMBL,121.8906,-31.3682,472.2,108.2,20,2005-09-22T03.50.AU.KMBL.mseed
618,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),RKGY,116.9773,-34.6094,497.5,182.1,40,2005-09-22T03.50.AU.RKGY.mseed
619,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),GIRL,114.234,-22.643,879.3,339.8,40,2005-09-22T03.50.AU.GIRL.mseed
620,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),MBWA,119.7312,-21.159,1026,15.1,40,2005-09-22T03.50.IU.MBWA.mseed
621,2005-09-22T03:52:59.000000Z,117.173,-30.126,3,AUST,4.1,3.96,Ghasemi et al (2016),FORT,128.059,-30.799,1047.7,96.8,20,2005-09-22T03.50.AU.FORT.mseed
622,2005-09-22T18:34:34.000000Z,117.159,-30.142,4.5,AUST,3.9,3.9,ML2MW,FORT,128.059,-30.799,1048.8,96.7,20,2005-09-22T18.34.AU.FORT.mseed
623,2005-09-22T18:34:34.000000Z,117.159,-30.142,4.5,AUST,3.9,3.9,ML2MW,BLDU,116.7091,-30.6119,67.7,219.6,20,2005-09-22T18.32.AU.BLDU.mseed
624,2005-09-22T18:34:34.000000Z,117.159,-30.142,4.5,AUST,3.9,3.9,ML2MW,MORW,116.0388,-29.0683,161.1,317.4,200,2005-09-22T18.30.AU.MORW.mrg.mseed
625,2005-09-22T18:34:34.000000Z,117.159,-30.142,4.5,AUST,3.9,3.9,ML2MW,KLBR,117.7546,-31.5915,170.5,160.6,200,2005-09-22T18.31.AU.KLBR.mrg.mseed
626,2005-09-22T18:34:34.000000Z,117.159,-30.142,4.5,AUST,3.9,3.9,ML2MW,NWAO,117.239,-32.9277,309,178.6,20,2005-09-22T18.32.IU.NWAO.mseed
627,2005-09-22T18:34:34.000000Z,117.159,-30.142,4.5,AUST,3.9,3.9,ML2MW,MEEK,118.614,-26.638,413.7,20.5,20,2005-09-22T18.32.AU.MEEK.mseed
628,2005-09-22T18:34:34.000000Z,117.159,-30.142,4.5,AUST,3.9,3.9,ML2MW,KMBL,121.8906,-31.3682,472.9,107.9,20,2005-09-22T18.32.AU.KMBL.mseed
629,2005-09-22T18:34:34.000000Z,117.159,-30.142,4.5,AUST,3.9,3.9,ML2MW,RKGY,116.9773,-34.6094,495.7,181.9,40,2005-09-22T18.32.AU.RKGY.mseed
630,2007-06-30T14:06:35.000000Z,117.157,-30.77,8.4,AUST,3.8,3.82,ML2MW,KLBR,117.7546,-31.5915,107.4,148.1,20,2007-06-30T14.04.AU.KLBR.mseed
631,2007-06-30T14:06:35.000000Z,117.157,-30.77,8.4,AUST,3.8,3.82,ML2MW,MORW,116.0388,-29.0683,217.3,329.9,20,2007-06-30T14.04.AU.MORW.mseed
632,2007-06-30T14:06:35.000000Z,117.157,-30.77,8.4,AUST,3.8,3.82,ML2MW,NWAO,117.239,-32.9277,239.4,178.2,20,2007-06-30T14.04.IU.NWAO.mseed
633,2007-06-30T14:06:35.000000Z,117.157,-30.77,8.4,AUST,3.8,3.82,ML2MW,RKGY,116.9773,-34.6094,426.1,182.2,20,2007-06-30T14.04.AU.RKGY.mseed
634,2007-06-30T14:06:35.000000Z,117.157,-30.77,8.4,AUST,3.8,3.82,ML2MW,KMBL,121.8906,-31.3682,456.6,99.6,20,2007-06-30T14.04.AU.KMBL.mseed
635,2007-06-30T14:06:35.000000Z,117.157,-30.77,8.4,AUST,3.8,3.82,ML2MW,MEEK,118.614,-26.638,479.6,17.6,20,2007-06-30T14.04.AU.MEEK.mseed
636,2007-08-05T07:12:40.000000Z,117.648,-33.185,16.5,AUST,3.5,3.59,ML2MW,RKGY,116.9773,-34.6094,169.7,201.3,20,2007-08-05T07.10.AU.RKGY.mseed
637,2007-08-05T07:12:40.000000Z,117.648,-33.185,16.5,AUST,3.5,3.59,ML2MW,KLBR,117.7546,-31.5915,177,3.3,20,2007-08-05T07.10.AU.KLBR.mseed
638,2007-08-05T07:12:40.000000Z,117.648,-33.185,16.5,AUST,3.5,3.59,ML2MW,KMBL,121.8906,-31.3682,447.5,64.4,20,2007-08-05T07.10.AU.KMBL.mseed
639,2007-08-05T07:12:40.000000Z,117.648,-33.185,16.5,AUST,3.5,3.59,ML2MW,MORW,116.0388,-29.0683,481.5,341,20,2007-08-05T07.10.AU.MORW.mseed
640,2007-08-05T07:12:40.000000Z,117.648,-33.185,16.5,AUST,3.5,3.59,ML2MW,MEEK,118.614,-26.638,731.7,7.6,20,2007-08-05T07.10.AU.MEEK.mseed
641,2007-08-28T15:33:04.000000Z,115.942,-35.429,17.9,AUST,4.6,4.49,ML2MW,RKGY,116.9773,-34.6094,131.1,46.4,20,2007-08-28T15.31.AU.RKGY.mseed
642,2007-08-28T15:33:04.000000Z,115.942,-35.429,17.9,AUST,4.6,4.49,ML2MW,NWAO,117.239,-32.9277,302.1,23.7,20,2007-08-28T15.31.IU.NWAO.mseed
643,2007-08-28T15:33:04.000000Z,115.942,-35.429,17.9,AUST,4.6,4.49,ML2MW,KLBR,117.7546,-31.5915,457.7,22.1,200,2007-08-28T15.33.AU.KLBR.mseed
644,2007-08-28T15:33:04.000000Z,115.942,-35.429,17.9,AUST,4.6,4.49,ML2MW,BLDU,116.7091,-30.6119,539,7.9,20,2007-08-28T15.31.AU.BLDU.mseed
645,2007-08-28T15:33:04.000000Z,115.942,-35.429,17.9,AUST,4.6,4.49,ML2MW,MORW,116.0388,-29.0683,705.4,0.8,20,2007-08-28T15.31.AU.MORW.mseed
646,2007-08-28T15:33:04.000000Z,115.942,-35.429,17.9,AUST,4.6,4.49,ML2MW,KMBL,121.8906,-31.3682,713.3,52.5,20,2007-08-28T15.31.AU.KMBL.mseed
647,2007-08-28T15:33:04.000000Z,115.942,-35.429,17.9,AUST,4.6,4.49,ML2MW,MEEK,118.614,-26.638,1007.4,15.4,20,2007-08-28T15.31.AU.MEEK.mseed
648,2007-10-09T23:58:40.000000Z,117.505,-33.946,0,AUST,4.8,4.7,Dawson et al. (2008),RKGY,116.9773,-34.6094,88.2,213.3,20,2007-10-09T23.56.AU.RKGY.mseed
649,2007-10-09T23:58:40.000000Z,117.505,-33.946,0,AUST,4.8,4.7,Dawson et al. (2008),KLBR,117.7546,-31.5915,262.2,5.2,20,2007-10-09T23.56.AU.KLBR.mseed
650,2007-10-09T23:58:40.000000Z,117.505,-33.946,0,AUST,4.8,4.7,Dawson et al. (2008),BLDU,116.7091,-30.6119,377.2,348.3,20,2007-10-09T23.56.AU.BLDU.mseed
651,2007-10-09T23:58:40.000000Z,117.505,-33.946,0,AUST,4.8,4.7,Dawson et al. (2008),MORW,116.0388,-29.0683,558.5,345.2,20,2007-10-09T23.56.AU.MORW.mseed
652,2007-10-09T23:58:40.000000Z,117.505,-33.946,0,AUST,4.8,4.7,Dawson et al. (2008),MEEK,118.614,-26.638,817.1,7.8,20,2007-10-09T23.56.AU.MEEK.mseed
653,2007-10-09T23:58:40.000000Z,117.505,-33.946,0,AUST,4.8,4.7,Dawson et al. (2008),FORT,128.059,-30.799,1052.1,73.5,20,2007-10-09T23.56.AU.FORT.mseed
654,2007-10-09T23:58:40.000000Z,117.505,-33.946,0,AUST,4.8,4.7,Dawson et al. (2008),GIRL,114.234,-22.643,1292.9,344.8,40,2007-10-09T23.56.AU.GIRL.mseed
655,2009-01-30T17:33:11.000000Z,117.774,-30.212,0,AUST,4.1,3.74,Ghasemi et al (2016),KLBR,117.7546,-31.5915,153,180.7,20,2009-01-30T17.31.AU.KLBR.mseed
656,2009-01-30T17:33:11.000000Z,117.774,-30.212,0,AUST,4.1,3.74,Ghasemi et al (2016),MORW,116.0388,-29.0683,210.5,306.6,40,2009-01-30T17.31.AU.MORW.mseed
657,2009-01-30T17:33:11.000000Z,117.774,-30.212,0,AUST,4.1,3.74,Ghasemi et al (2016),NWAO,117.239,-32.9277,305.4,189.4,20,2009-01-30T17.31.IU.NWAO.mseed
658,2009-01-30T17:33:11.000000Z,117.774,-30.212,0,AUST,4.1,3.74,Ghasemi et al (2016),MEEK,118.614,-26.638,404.5,11.9,40,2009-01-30T17.31.AU.MEEK.mseed
659,2009-01-30T17:33:11.000000Z,117.774,-30.212,0,AUST,4.1,3.74,Ghasemi et al (2016),KMBL,121.8906,-31.3682,414.3,109.1,20,2009-01-30T17.31.AU.KMBL.mseed
660,2009-01-30T17:33:11.000000Z,117.774,-30.212,0,AUST,4.1,3.74,Ghasemi et al (2016),RKGY,116.9773,-34.6094,493.4,188.5,20,2009-01-30T17.31.AU.RKGY.mseed
661,2009-01-30T17:33:11.000000Z,117.774,-30.212,0,AUST,4.1,3.74,Ghasemi et al (2016),FORT,128.059,-30.799,989.1,96.4,20,2009-01-30T17.31.AU.FORT.mseed
662,2009-01-30T17:33:11.000000Z,117.774,-30.212,0,AUST,4.1,3.74,Ghasemi et al (2016),MBWA,119.7312,-21.159,1021.9,11.5,40,2009-01-30T17.31.IU.MBWA.mseed
663,2009-01-31T08:47:03.000000Z,117.8156,-30.2379,2.1,ISC,4.6,3.78,Herrmann (2009),KLBR,117.7546,-31.5915,150.2,182.2,200,2009-01-31T08.42.AU.KLBR.mrg.mseed
664,2009-01-31T08:47:03.000000Z,117.8156,-30.2379,2.1,ISC,4.6,3.78,Herrmann (2009),MORW,116.0388,-29.0683,215.4,306.6,40,2009-01-31T08.45.AU.MORW.mseed
665,2009-01-31T08:47:03.000000Z,117.8156,-30.2379,2.1,ISC,4.6,3.78,Herrmann (2009),NWAO,117.239,-32.9277,303.2,190.2,20,2009-01-31T08.45.IU.NWAO.mseed
666,2009-01-31T08:47:03.000000Z,117.8156,-30.2379,2.1,ISC,4.6,3.78,Herrmann (2009),MEEK,118.614,-26.638,406.6,11.3,40,2009-01-31T08.45.AU.MEEK.mseed
667,2009-01-31T08:47:03.000000Z,117.8156,-30.2379,2.1,ISC,4.6,3.78,Herrmann (2009),KMBL,121.8906,-31.3682,409.6,108.9,200,2009-01-31T08.43.AU.KMBL.mrg.mseed
668,2009-01-31T08:47:03.000000Z,117.8156,-30.2379,2.1,ISC,4.6,3.78,Herrmann (2009),RKGY,116.9773,-34.6094,491.1,189,20,2009-01-31T08.45.AU.RKGY.mseed
