STA,KAPPA,CNT
WBR19,-0.023477,10
WBR20,-0.066022,8
WBR21,0.020085,10
WBR22,0.011190,10
WBR23,-0.063993,10
WBR24,-0.014085,9
WBS08,0.067370,5
WBS09,0.007410,7
WBS10,-0.021184,5
WBS11,-0.070405,6
WBS12,0.016851,7
WBS14,-0.018283,5
WBS15,0.015427,7
WBS18,0.006437,7
WBS19,-0.054656,5
WBS20,-0.002472,4
WBS22,0.026688,5
WBS23,-0.038210,10
WBS24,-0.017669,7
WBS25,0.011456,9
WBS26,-0.036673,9
WBS66,0.053583,7
WBT10,-0.044386,7
WBT13,0.008858,4
WBT14,-0.052483,13
WBT17,-0.029083,7
WBT18,0.052972,6
WBT19,0.025671,6
WBT22,-0.010179,10
WBT23,0.011860,10
WBT24,0.012407,10
WBT25,0.038533,10
WBU08,0.003760,3
WBU09,0.042987,1
WBU10,0.050952,7
WBU11,-0.019709,5
WBU12,0.012721,7
WBU13,0.043600,7
WBU14,0.006647,7
WBU15,0.021501,5
WBU17,0.044654,7
WBU18,-0.003119,7
WBU19,-0.060835,10
WBU22,-0.039444,9
WBU23,-0.030535,5
WBU24,-0.044300,4
WBU25,-0.000880,4
WBU59,-0.030455,5
WBV08,0.061431,4
WBV09,0.010605,2
WBV10,-0.018203,5
WBV11,0.037731,1
WBV12,-0.010181,6
WBV13,0.024622,4
WBV15,0.031980,7
WBV16,-0.013946,7
WBV17,0.019767,7
WBV18,0.053826,6
WBV19,0.043207,8
WBV21,0.021472,10
WBV22,0.004809,10
WBV24,-0.037105,7
WBV25,0.003234,9
WBV26,-0.017227,9
WBV59,0.014280,4
WBW08,-0.044687,7
WBW09,-0.031635,6
WBW10,-0.063367,6
WBW11,-0.038143,6
WBW12,-0.020694,8
WBW14,0.001808,7
WBW15,-0.071833,6
WBW17,0.062704,6
WBW19,-0.055517,5
WBW20,0.050201,10
WBW22,0.065221,5
WBW23,-0.008039,10
WBW24,-0.039356,4
WBX06,-0.002885,6
WBX08,0.012265,5
WBX09,0.004988,2
WBX10,-0.069095,3
WBX11,0.032136,6
WBX12,-0.016447,5
WBX13,-0.037030,4
WBX14,-0.049908,5
WBX16,-0.039754,3
WBX17,-0.007880,4
WBX18,0.004951,7
WBX20,0.017930,10
WBX22,-0.000653,10
WBX24,0.009091,8
WBX25,-0.012925,10
WBX27,0.047521,10
WBX61,-0.010180,2
WBY07,0.016457,5
WBY08,0.048933,3
WBY09,-0.074876,3
WBY10,0.011989,3
WBY12,-0.082848,7
WBY13,0.015108,5
WBY14,-0.025203,4
WBY15,-0.018765,4
WBY19,0.007946,3
WBY20,-0.031919,10
WBY21,-0.015997,5
WBY22,-0.007519,8
WBY23,0.039951,3
WBY25,0.034971,9
WBZ08,0.046126,6
WBZ09,0.031790,8
WBZ11,0.027274,8
WBZ12,-0.072853,6
WBZ14,-0.026652,6
WBZ16,0.021728,5
WBZ17,-0.004784,5
WBZ56,-0.049378,5
WCA09,0.022139,6
WCA10,-0.039543,3
WCA12,-0.010840,5
WCA13,0.026100,6
WCA14,0.010640,3
WDA,0.050003,1
WDBM,0.066885,3
WDSD,0.017284,6
WED,0.074755,2
WER,0.026619,4
WERM,0.026619,4
WERTA,-0.038831,3
WGB,0.004597,6
WGBM,0.004597,6
WHY,0.046877,1
WHYH,-0.068146,28
WHYML,0.037218,3
WILGE,0.047819,2
WILL,-0.051846,8
WILM,0.003148,7
WILPO,-0.021985,1
WIRRA,0.019249,2
WIRRE,-0.029049,3
WITCH,-0.027640,2
WKA,0.012990,13
WLSH,0.016111,6
WOLH,-0.052580,30
WOOL,0.034277,4
WORN,0.017833,4
WPARC,-0.041185,2
WPARP,-0.062483,2
WPM4Y,0.031709,1
WPSH,0.014215,6
WR01,0.007853,1
WR02,-0.013006,1
WR03,-0.001206,1
WR04,-0.004412,1
WR05,0.013001,1
WR06,-0.016663,1
WR07,0.000494,1
WR10,-0.065430,1
WR11,0.035747,1
WRAB,-0.014190,19
WRKA,-0.038756,85
WRNM,0.001033,1
WSK,0.021676,1
WTPK,0.001218,29
WYA11,-0.053596,5
WYA12,-0.015687,5
WYA13,-0.062628,5
WYKM1,-0.036020,3
WYKM3,0.025411,1
WYKM4,-0.011780,3
WYKM5,-0.045466,3
WYKM6,-0.005018,3
WYNBR,0.050079,2
YALYM,0.013066,1
YAPP,0.001234,35
YARR,0.012613,31
YE6,-0.018428,1
YER,-0.024270,8
YERM,-0.024270,8
YNG,0.026683,79
YOU,0.027379,6
YUDNA,0.019517,2
MEDIAN_SITE,0.005595,nan
