STA,KAPPA,CNT
BM32,0.057531,1
BM33,0.047268,1
BM34,0.067881,1
BMEBF,0.042202,11
BN13A,0.017341,3
BN1H,-0.036628,5
BN24,-0.020715,3
BN25,0.014297,3
BN26,0.006135,3
BN27,-0.019535,3
BN28,-0.011498,3
BN29,0.012767,3
BN2S,0.031487,5
BN30,0.004749,3
BN31,0.022284,3
BN32,0.042345,1
BN33,0.045918,1
BN34,0.072058,1
BO24,0.025881,2
BO25,0.004016,3
BO26,-0.023335,3
BO29,0.017819,3
BO30,0.004740,3
BO31,-0.025626,1
BO33,0.049290,1
BO34,0.079450,1
BOGA,-0.048033,5
BONBO,nan,2
BOSWO,-0.036733,1
BP24,0.008259,3
BP25,0.002494,3
BP26,-0.014195,2
BP27,-0.004184,3
BP29,0.012748,3
BP31,0.016294,1
BP33,0.045419,1
BP34,0.036310,1
BQ24,0.002662,2
BQ25,-0.001019,1
BQ26,0.005584,3
BQ27,0.037125,3
BQ28,-0.026234,1
BQ29,0.037953,3
BQ31,0.015213,3
BQ32,0.045081,1
BQ33,0.038549,1
BQ34,0.041489,1
BR25,0.007190,3
BR26,0.013033,3
BR27,0.011669,3
BR28,-0.023438,1
BR29,-0.008689,3
BR30,-0.000272,3
BR32,0.008045,3
BR34,0.005595,1
BRAT,-0.014218,45
BRIG,-0.006680,5
BRS,0.002416,11
BRTH,0.044721,5
BRTS,0.000186,9
BRUCE,-0.004742,1
BS26,-0.010045,3
BS27,-0.008227,2
BS29,-0.016646,3
BS30,-0.006910,3
BS31,0.009882,3
BS32,-0.006542,3
BS33,0.013894,3
BS34,0.072562,2
BT12A,0.105645,4
BT24,0.013142,3
BT25,0.004460,3
BT26,-0.024120,3
BT27,0.010439,3
BT28,0.007045,3
BT29,-0.030215,3
BT30,0.015768,3
BT31,0.015816,3
BT32,-0.014982,3
BT33,0.034436,3
BT34,0.069447,3
BTL01,0.023234,13
BTL02,0.005507,13
BTL03,0.016983,15
BTL04,0.005973,15
BTL05,-0.001483,14
BTL06,0.013295,17
BTL07,-0.015966,6
BTL08,-0.010152,16
BTL09,-0.016272,13
BTL10,0.018656,9
BU08A,0.058261,4
BU28,0.008545,3
BU29,0.016441,3
BU30,0.001097,3
BU31,-0.018609,3
BU32,0.053051,3
BU33,0.062119,3
BU34,0.036134,3
BUCHN,0.022104,12
BUCM,0.019508,1
BUCN,0.022104,12
BUD,-0.012577,4
BUDM,-0.012577,4
BULGU,0.041508,1
BV28,0.029636,3
BV29,0.012019,3
BV30,0.008988,3
BV31,0.058138,3
BV33,0.054199,3
BV34,0.039153,3
BW1H,0.042486,14
BW28,0.044898,2
BW29,0.019889,3
BW2S,-0.036609,11
BW30,0.000515,2
BW31,0.053931,3
BW32,0.026867,2
BW33,0.033381,1
BW34,0.035016,2
BX10A,0.034208,3
CA01,0.023969,15
CA02,0.010179,16
CA03,0.010807,15
CA04,-0.016650,16
CA05,-0.001172,19
CA06,0.001382,19
CA07,-0.007550,1
CA08,-0.003256,19
CA09,0.023572,19
CA10,-0.047493,19
CA11,-0.020648,17
CA12,-0.006375,17
CA13,-0.002149,16
CA14,0.005427,17
CA15,0.009330,15
CA16,-0.001193,16
CA17,nan,3
CA18,0.002957,19
CA19,-0.004359,11
CA20,-0.009468,16
CA21,-0.012875,19
CA22,-0.018104,17
CA23,-0.024967,16
CA24,0.023909,18
CA26,0.050316,12
CA27,-0.009783,16
CA28,0.012588,15
CA29,0.015718,14
CA3,-0.016082,5
CA31,-0.003203,15
CA32,-0.090291,3
CA33,0.001920,14
CA34,-0.029042,10
CA35,0.014701,11
CA36,-0.031981,11
CA37,-0.028222,8
CA38,-0.023904,11
CA4,-0.017633,1
CA40,0.002745,10
CAA,0.028707,1
CAAN,0.010526,14
CAGW,0.049683,1
CAN,0.044723,68
CARL,0.029636,33
CASG,-0.048929,12
CATI,0.031845,6
CAV,0.055604,1
CAWA,-0.010380,14
CAWDR,0.002423,2
CCL3,0.022404,1
CCM2,0.000256,1
CCMH,-0.004161,1
CCMI,0.007843,1
CCRM,0.011781,19
CDN,-0.023117,21
CDNM,-0.023117,21
CEDG,0.027274,1
CEKI,-0.011010,1
CETH,-0.084998,2
CEYN,0.011889,1
CHI,0.041215,1
CLDD,0.023924,2
CLHA,0.004076,2
CLIF,0.015205,5
CLMM,-0.028030,1
CLNA,-0.020282,1
CLNO,-0.016922,2
CLPA,-0.030217,1
CLV2,-0.000175,16
CMC,-0.034435,11
CMSA,0.025517,133
CN1H,-0.035487,22
CN2S,0.073281,5
CNB,0.005616,78
COEN,-0.039230,19
COOLG,-0.054239,23
COOND,0.065770,2
COP,0.051600,1
CORO,0.042029,11
COTT,0.019815,16
CP01,-0.012595,1
CP02,0.015676,1
CP03,0.003045,1
CP05,0.058774,1
CP06,nan,1
CP08,0.026990,1
CP09,-0.024088,1
CP10,0.006212,1
CPX,0.009912,7
CPXM,0.009912,7
CRD,nan,1
CREM,0.021261,1
CRJN,-0.000599,6
CRN,-0.003628,4
CSBB,0.009469,1
CTA,-0.046106,27
CTAO,-0.009016,37
CTB,0.017969,2
CTBM,0.017969,2
CURRY,0.001122,1
