STA,KAPPA,CNT
BRAT,-0.118011,27
BRIG,-0.044948,1
BRS,-0.061589,2
BS26,-0.050433,3
BS27,-0.058753,2
BS29,-0.067307,3
BS30,-0.050070,3
BS31,-0.044721,3
BS32,-0.058374,3
BS33,-0.031380,3
BS34,0.030893,2
BT24,-0.023649,3
BT25,-0.031711,3
BT26,-0.086324,3
BT27,-0.048588,3
BT28,-0.028414,3
BT29,-0.087606,3
BT30,-0.023874,3
BT31,-0.043820,3
BT32,-0.053827,3
BT33,-0.020488,3
BT34,0.019667,3
BTL01,-0.006876,9
BTL02,-0.060893,8
BTL03,-0.031984,10
BTL04,-0.055771,10
BTL05,-0.069650,10
BTL06,-0.052761,11
BTL07,-0.087573,6
BTL08,-0.062022,10
BTL09,-0.105327,7
BTL10,-0.017420,3
BU28,-0.048156,3
BU29,-0.031438,3
BU30,-0.033193,3
BU31,-0.074031,3
BU32,-0.004872,3
BU33,0.020867,3
BU34,-0.016247,3
BUCHN,-0.029339,2
BUCM,-0.007723,1
BUCN,-0.029339,2
BUDM,-0.024647,2
BV28,-0.023162,3
BV29,-0.039107,3
BV30,-0.056974,3
BV31,0.005302,3
BV33,0.008457,3
BV34,-0.012581,3
BW1H,-0.038277,11
BW28,-0.004591,2
BW29,-0.032904,3
BW2S,-0.009083,5
BW30,-0.042051,2
BW31,0.009093,3
BW32,-0.021991,2
BW33,-0.026446,1
BW34,-0.005671,2
CA02,-0.031161,1
CA03,-0.028465,1
CA04,-0.075606,1
CA05,-0.034795,1
CA06,-0.044352,1
CA07,-0.050058,1
CA08,-0.015682,1
CA09,-0.014862,1
CA10,-0.076510,1
CA11,-0.053016,1
CA12,-0.043939,1
CA13,-0.047316,1
CA14,-0.035040,1
CA15,-0.043940,1
CA16,-0.047135,1
CA18,-0.041114,1
CA19,-0.054772,1
CA20,-0.052068,1
CA21,-0.058598,1
CA22,-0.069471,1
CA23,-0.073133,1
CA24,-0.045119,1
CA26,0.014911,1
CA27,-0.036391,1
CA28,-0.029069,1
CA29,-0.045192,1
CA3,-0.031694,3
CA31,-0.057222,1
CA33,-0.048362,1
CA34,-0.082298,1
CA35,-0.036608,1
CA36,-0.074504,1
CA37,-0.066725,1
CA38,-0.071620,1
CAAN,-0.047174,8
CAGW,0.008528,1
CAN,nan,44
CARL,-0.035546,21
CASG,-0.107535,1
CATI,-0.019705,6
CAV,nan,1
CAWA,-0.047396,1
CAWDR,-0.075657,1
CCL3,-0.024387,1
CCM2,-0.068861,1
CCMH,-0.075540,1
CCMI,-0.058829,1
CCRM,-0.021459,5
CDN,-0.030573,8
CDNM,-0.030573,8
CEDG,-0.041826,1
CEKI,-0.072519,1
CEYN,-0.046565,1
CHI,0.002873,1
CLDD,0.000068,2
CLHA,-0.045614,2
CLIF,0.000449,1
CLMM,-0.079597,1
CLNA,-0.069500,1
CLNO,-0.044196,2
CLPA,-0.069941,1
CMC,-0.040917,6
CMSA,-0.066647,88
CN1H,-0.122609,17
CN2S,-0.032529,2
CNB,-0.095150,28
COEN,-0.011068,14
COOLG,-0.092640,13
COP,-0.009605,1
CORO,0.032962,7
COTT,-0.049346,2
CP01,-0.017700,1
CP02,-0.032516,1
CP03,-0.040955,1
CP05,0.011444,1
CP06,nan,1
CP08,-0.033163,1
CP09,-0.098169,1
CP10,-0.063505,1
CPX,-0.003373,6
CPXM,-0.003373,6
CRD,nan,1
CREM,-0.007967,1
CRN,-0.018705,2
CSBB,nan,1
CTA,-0.053136,22
CTAO,-0.069022,35
CTB,0.031722,2
CTBM,0.031722,2
CVQOZ,-0.053716,2
CWA1,-0.046333,1
CWG1,-0.127684,2
CWG2,-0.047509,1
CWIN,-0.104696,1
CWJJ,-0.052035,1
CWL1,-0.024497,1
CWL2,-0.092426,1
CWLY,-0.057542,1
CWMC,-0.081095,1
CWMD,-0.096167,1
CWMJ,-0.087343,1
CWMP,-0.133794,1
CWMS,-0.065465,1
CWR1,-0.067713,1
CWR2,-0.072355,1
CWR3,-0.066086,1
CWUA,-0.042831,1
CWWA,-0.049229,1
CWWB,-0.040031,1
CWWY,-0.061810,1
CWYI,-0.001282,1
DDC,-0.050334,1
DDSW,-0.037068,1
DEAL,-0.047145,1
DERBY,-0.021987,4
DLN,-0.062313,25
DNDOZ,-0.054824,13
DOW,0.002616,1
DPH,-0.094827,25
DRA,-0.025069,5
DRAM,-0.025069,5
DROM,-0.052364,6
DRS,-0.018517,30
DTM,-0.062086,7
DTMM,-0.062086,7
DVBM,-0.054930,1
DVBX,-0.044984,2
E2A1,0.202141,1
