MAG,DIST,PGV (cm/s)
4.50,430,0.000479917431285
4.50,400,0.000470960324114
4.50,150,0.00882958049945
4.50,170,0.0277025015975
4.50,420,0.000661138075877
4.00,200,0.00201002282597
4.00,220,0.00286708134704
5.00,480,0.00199071952475
4.50,320,0.00106337040383
5.00,190,0.0257374996278
4.00,240,0.00140723860693
4.00,260,0.000902959598551
4.50,110,0.0409532071706
4.50,440,0.000713060162409
4.50,460,0.00100389407233
4.50,130,0.0131687916997
4.00,500,0.00015466944964
5.00,90,0.0291262165259
4.50,100,0.0522927693824
4.50,450,0.000527002989035
4.50,470,0.00024222072134
4.50,120,0.0150318427638
4.00,250,0.00159287977712
4.00,270,0.00114563818419
5.00,180,0.120343345311
5.00,370,0.00299710591185
5.00,350,0.00565801001771
5.00,50,0.249899487163
5.00,70,0.0368382702006
5.00,40,0.130651598922
5.00,60,0.0580404820163
5.00,360,0.00737598098169
4.50,480,0.000593420476776
5.00,340,0.00884387462888
5.00,150,0.0259984879592
5.00,400,0.00475759490275
4.50,380,0.00701141968159
5.00,320,0.00806170365946
5.00,300,0.00402512426631
5.00,20,0.474713914989
5.00,10,2.5449577263
5.00,30,1.174146613
5.00,330,0.0270326439
5.00,310,0.00691307984734
4.50,390,0.000870357086261
5.00,120,0.0537126595002
5.00,470,0.000749909744938
5.00,450,0.00396903776686
5.00,100,0.0298062710103
5.00,120,0.0364538182171
5.00,470,0.00299834936848
4.50,180,0.00768489995587
5.00,30,0.391743939151
4.50,190,0.00683822549542
5.00,300,0.0108622693889
5.00,440,0.00427629629031
5.00,110,0.0386897901448
4.50,380,0.00237314121382
5.00,130,0.0172505234943
5.00,460,0.00128937915552
5.00,150,0.0369207169987
5.00,400,0.00356120266422
5.00,420,0.0082159562294
5.00,170,0.0221281214254
4.00,280,0.000564516514159
4.50,480,0.000662568059336
5.00,40,0.110816313268
5.00,370,0.00564796603209
4.50,490,0.00106255170922
4.00,290,0.000369206257484
5.00,140,0.0126500120345
5.00,410,0.0016628228194
5.00,430,0.0057872133406
5.00,160,0.0228180747246
4.50,330,0.00126094916563
5.00,180,0.021423543034
4.50,310,0.00506976696447
4.00,270,0.000985606085459
4.50,100,0.00769064793764
4.50,450,0.000653787777343
5.00,390,0.00845092511774
5.00,90,0.0854318701633
5.00,80,0.0667157919361
4.00,500,0.000142084039711
5.00,380,0.00337713191914
4.50,320,0.00424375929819
4.50,300,0.00338957202771
4.50,360,0.00308158937199
4.50,340,0.00143966059487
4.00,200,0.00360023911262
4.50,170,0.00804779764768
4.50,420,0.000718813606274
4.50,370,0.00330965905626
4.50,350,0.00125260106305
4.50,60,0.0282458498199
4.50,40,0.0699744379359
4.00,480,0.00031027046575
5.00,220,0.0173794791718
4.50,70,0.0121715688719
4.00,50,0.012724232959
4.50,50,0.126256981795
4.00,390,0.000119738538278
4.50,30,0.0856258971799
4.50,10,0.505740645347
5.00,250,0.0383743444947
4.50,20,0.216505359624
4.00,20,0.0862059281749
5.00,500,0.00171638688061
4.00,380,0.000143234762693
4.50,220,0.00824139072774
4.50,200,0.00410326125004
4.00,170,0.00666360086491
4.00,420,0.000213920660794
4.00,400,0.000247192865291
4.00,150,0.00179834183329
5.00,280,0.0138392113796
5.00,290,0.00451768801579
4.00,160,0.00320161605269
4.00,430,0.000254959573279
4.00,410,0.000247604401558
4.00,140,0.00694615909775
4.50,230,0.00524066845067
4.50,210,0.01311564477
4.00,350,0.000292652039118
4.50,270,0.00468191552696
4.50,250,0.00880943057426
4.00,470,0.000254021018022
4.00,90,0.00366313749187
4.00,120,0.00904139867786
4.00,100,0.00400171227791
4.00,450,8.75994671524e-05
4.50,500,0.00135549846738
4.00,80,0.00765095518253
4.00,460,0.00019262991348
4.00,130,0.00386523312628
4.00,110,0.00663284999095
4.00,440,0.000439752443841
4.50,260,0.00385373674586
4.50,240,0.00689434947687
4.00,320,0.000937147551427
4.50,380,0.000501543318791
5.00,130,0.0623268836723
5.00,460,0.00436230898482
5.00,300,0.00598352488895
5.00,320,0.00731259444829
5.00,20,0.752535167639
5.00,30,0.376840155137
5.00,10,0.997431647546
5.00,310,0.0160561211158
5.00,330,0.00389941043113
4.50,390,0.000791877300737
5.00,140,0.0425039780314
5.00,410,0.00159896872082
5.00,350,0.00335764803083
5.00,370,0.00476047007554
4.50,490,0.00012324895492
5.00,70,0.11534590151
5.00,50,0.0706270646733
5.00,60,0.0354917669322
5.00,40,0.4727419512
5.00,340,0.00352603881668
5.00,360,0.00973223853139
5.00,190,0.0108989622681
4.00,260,0.00162554440917
4.00,240,0.00135661267276
4.50,460,0.000934114416956
4.50,130,0.00963391960489
4.50,110,0.00572756070178
4.50,440,0.000729061216165
5.00,80,0.0502187784862
4.50,470,0.000345105618199
4.50,120,0.00950350709335
4.50,100,0.0129843714298
4.50,450,0.000356218340007
4.00,270,0.00151996025836
4.00,250,0.00102829776417
4.50,330,0.00911449408425
5.00,180,0.0392051397282
5.00,490,0.00200883291725
4.00,230,0.00428732563099
4.00,210,0.00614340049713
4.50,160,0.0060118851677
4.50,430,0.00101521375945
4.50,410,0.000791049579668
4.50,140,0.0400713424674
4.50,170,0.0292299400932
4.50,420,0.000837031772304
4.50,400,0.000359347586681
4.50,150,0.00917599039421
4.00,220,0.00365630256098
4.00,200,0.00137428277778
4.50,340,0.00238355882115
5.00,480,0.0013655126496
4.50,290,0.00226281758104
4.00,490,0.00024895845172
4.00,70,0.00868736649205
4.50,70,0.0162081326782
4.00,50,0.0126147933496
5.00,210,0.025757711857
5.00,230,0.0226983797492
5.00,200,0.0443019131145
5.00,220,0.0293179211513
4.00,60,0.0147613430683
4.00,480,4.04815103648e-05
4.00,40,0.0287030817996
4.50,280,0.0022906063175
4.00,20,0.102925195271
4.00,190,0.00256520060383
5.00,240,0.0136301195562
5.00,260,0.0119240399054
5.00,250,0.0133534760314
5.00,270,0.0107864365736
4.00,30,0.0388843073594
4.00,180,0.00272416630607
4.00,10,0.173241134185
4.00,390,0.000126377162935
4.00,370,0.000658270635346
4.00,350,0.00087960092969
4.50,210,0.0081344967886
4.00,160,0.00752341071679
4.00,430,0.000148037691713
5.00,290,0.0137164195309
4.00,360,0.000881592666571
4.00,340,0.000420098823472
4.00,320,0.000460201194859
4.00,300,0.000370249478454
4.50,260,0.00208335305673
4.00,110,0.00970225405857
4.00,440,0.000201081840965
4.50,80,0.0159814120918
4.50,500,0.000375978233284
4.50,90,0.010288171298
4.00,90,0.0044938481255
4.00,330,0.000855452733318
4.00,310,0.00025688454718
4.00,30,0.0543037800589
4.50,10,4.33104104852
4.50,30,0.0990821696412
4.00,390,0.000146846522655
5.00,500,0.000873045444529
4.00,380,0.000200517775621
5.00,240,0.029902737806
4.50,20,0.162892788906
4.50,40,0.0341304557941
4.00,40,0.0161165642402
4.50,60,0.0537704065952
5.00,230,0.0314257607776
4.50,50,0.0203450480202
4.00,490,0.000162510540595
4.50,70,0.0349235614008
4.00,450,0.000310119706474
4.00,100,0.00769212449471
4.00,120,0.00910225378586
4.00,90,0.00446377371549
4.00,470,8.94344165595e-05
4.00,330,0.000408134273518
4.50,250,0.00339584014023
4.50,270,0.00198501137838
4.50,240,0.00836242371269
4.50,260,0.00121368626596
4.00,440,0.000346918392498
4.00,110,0.00126795772452
4.00,130,0.00884444827985
4.00,460,0.000103622047818
4.00,80,0.00472960647017
4.00,150,0.00204077942786
4.00,400,0.000410275392899
4.00,420,0.000469863025821
4.00,170,0.00400138573187
5.00,280,0.030771361456
4.00,340,0.000266186433139
4.50,200,0.00575509726232
4.50,220,0.00763004246549
4.50,210,0.00412462729355
4.50,230,0.00500505955998
5.00,290,0.00599362394647
4.00,140,0.0095166655621
4.00,410,0.000514777828897
4.00,430,0.000253631746387
4.00,160,0.00641774888196
4.50,480,0.00109679565307
5.00,360,0.0058563551163
5.00,170,0.090638521869
5.00,420,0.00315432812866
5.00,400,0.00473103531717
5.00,150,0.0784856999179
4.00,280,0.00204678498529
4.00,290,0.00121094641686
5.00,160,0.129209576951
5.00,430,0.00172792483302
5.00,410,0.00389900089824
5.00,140,0.0227187067754
5.00,50,0.14322308346
4.50,490,0.000181058546963
5.00,310,0.00489057014332
4.50,180,0.0155824087775
5.00,470,0.00110723709724
4.50,390,0.00207784977022
5.00,120,0.0474028278814
5.00,100,0.0313079290104
5.00,450,0.0019188685311
5.00,460,0.00393382017526
5.00,130,0.0517100322858
5.00,110,0.0619884291506
5.00,440,0.00390234851473
5.00,20,0.151719513791
4.50,190,0.00851079084706
4.50,340,0.00142080307439
4.50,360,0.0011987735762
4.00,210,0.00350956175126
4.50,350,0.0016607125773
4.50,370,0.00120862057093
4.50,430,0.00107546902918
4.50,160,0.0196204168645
5.00,390,0.0023209472529
5.00,90,0.0399127722417
4.50,310,0.00280667274652
4.50,330,0.00181677763367
4.00,260,0.00118726502222
4.50,300,0.00298476492546
4.50,320,0.00256844103082
5.00,190,0.0328653623396
4.00,500,0.000118701999363
5.00,80,0.0412749211424
5.00,380,0.005814907692
4.50,440,0.00056178446978
4.50,110,0.0180475431512
4.00,190,0.00127339339355
4.00,20,0.229102200595
5.00,260,0.0118885434821
5.00,240,0.0329257907424
4.00,380,0.000365346087737
5.00,270,0.020345475253
5.00,250,0.0130720177799
4.00,10,1.00284361169
4.00,180,0.0145503287451
4.00,30,0.0594932255902
4.50,10,1.54734163645
4.00,50,0.00698961900781
4.00,70,0.00232329159969
4.00,490,0.000234065505604
5.00,230,0.00775732019816
5.00,210,0.0131840413956
4.50,290,0.00135727264668
4.50,280,0.00183419443066
5.00,220,0.0164984086679
5.00,200,0.0133878582554
4.00,40,0.0128081044353
4.50,60,0.0116140336346
4.00,480,0.000154437706437
4.00,60,0.0155909412301
4.00,80,0.0166557957611
4.50,80,0.0156788620171
4.50,500,0.000560092489094
4.00,300,0.000409558423735
4.00,320,0.00093852350481
4.50,270,0.00380442893105
4.00,310,0.00129998123771
4.00,330,0.000972258786532
4.00,450,8.50293972815e-05
4.50,90,0.00847193543477
4.00,100,0.00376302272484
4.00,350,0.000319046300855
4.00,370,0.000252428460731
4.50,200,0.00792221319181
4.00,340,0.000334746963561
4.00,360,0.000893087817787
5.00,280,0.00567014399555
4.00,420,0.000323123018973
4.00,170,0.00595701317191
5.00,370,0.00678386539627
5.00,350,0.00592877692749
5.00,50,0.135562436903
5.00,70,0.0626474098681
5.00,400,0.00130102359414
5.00,150,0.0283117736928
5.00,40,0.324017600067
5.00,60,0.105250917696
4.50,480,0.000474313470519
5.00,360,0.0110591521053
5.00,340,0.00401601993394
5.00,320,0.0130832228046
5.00,300,0.0084789961938
5.00,20,0.422752809143
4.50,380,0.000346888935411
5.00,470,0.00117841338163
4.50,390,0.000426565907275
5.00,120,0.038783928455
5.00,10,0.975120951864
5.00,30,0.465416317739
5.00,330,0.00486260184442
5.00,310,0.0108929826193
4.50,140,0.00836479068849
4.50,410,0.000621793459649
4.50,430,0.00147814219168
4.50,160,0.00742972445998
5.00,490,0.00283894203162
4.50,350,0.000717939753993
4.00,210,0.000797985018585
4.00,230,0.00368241804025
4.00,200,0.00167378203633
4.00,220,0.00133202986298
5.00,480,0.00111801469357
4.50,150,0.0102581622415
4.50,400,0.00147623460505
4.50,420,0.000725973415681
4.50,170,0.00609055032305
4.50,440,0.000505062521589
4.50,110,0.00787654262014
4.50,130,0.0159993080531
4.50,460,0.000659582703116
4.00,500,0.000163346807341
4.50,320,0.00276248463006
5.00,190,0.0805403226744
4.00,240,0.00245025675392
4.00,260,0.00146077975072
4.00,250,0.00143130557573
4.00,270,0.000608014988247
5.00,180,0.0122875518899
5.00,90,0.0169586377274
4.50,450,0.00061904560591
4.50,100,0.0116889564819
4.50,120,0.020540864453
4.50,470,0.00093383841191
4.50,210,0.00312263055823
4.50,230,0.00559722203881
5.00,290,0.00483109626991
4.00,140,0.00681472171525
4.00,410,0.000265109562354
4.00,430,0.000219380405991
4.00,160,0.00671291690357
4.00,150,0.00492518342463
4.00,400,0.000123479936391
4.00,420,0.000190896346852
4.00,170,0.00382465038111
5.00,280,0.014259270255
4.00,360,0.000661595632898
4.50,200,0.00300806922844
4.50,220,0.0170854245923
4.50,240,0.00398293903582
4.50,260,0.00277954336906
4.00,440,0.000135013719663
4.50,80,0.0235518447984
4.00,110,0.00460271616878
4.00,130,0.00993570476219
4.00,80,0.00769606321793
4.00,460,9.78590675015e-05
4.00,450,0.000153071910182
4.00,100,0.00453335228053
4.00,120,0.0056570030252
4.00,470,0.000159379472219
4.00,90,0.00368098243253
4.00,310,0.000626490068718
4.50,250,0.00961393862535
4.50,270,0.0015884885092
4.50,290,0.00158288988612
5.00,210,0.0329249902141
4.50,50,0.0668391891273
4.50,70,0.0163092698928
4.50,40,0.0970393229852
4.00,60,0.00955525161944
4.50,60,0.0466966919072
5.00,500,0.00285046494207
4.00,380,0.000343551902804
5.00,260,0.0313972078636
4.00,190,0.00307340678166
4.50,20,0.164537819983
4.50,10,0.525548763618
4.50,30,0.112151221081
4.00,10,0.432481059687
4.00,390,0.000219042819553
4.00,240,0.00151930584672
4.50,300,0.000376673321094
4.50,320,0.00194312669618
4.00,500,0.000176072791392
5.00,80,0.121151879726
4.50,130,0.00959540124226
5.00,380,0.00724877459281
4.50,460,0.000678795755868
5.00,390,0.00345325721149
5.00,90,0.0482151334094
4.50,310,0.00124189575882
4.50,330,0.0021133912655
4.00,230,0.000999813606775
4.50,350,0.00290336317287
4.50,370,0.00239330897128
5.00,490,0.00214015039417
4.50,140,0.014119409315
4.50,410,0.000679296343881
4.50,340,0.00170254578842
4.50,360,0.00165405925224
5.00,460,0.00769303181476
5.00,130,0.0388171046133
5.00,110,0.0514759046531
5.00,440,0.00614892816075
4.50,190,0.0113466029951
4.50,180,0.0122564482213
5.00,330,0.00654947757688
5.00,470,0.00271411233797
5.00,120,0.044693315293
5.00,100,0.0817507511238
5.00,450,0.00152672724425
4.00,290,0.000688636384851
5.00,160,0.0154749303107
5.00,430,0.00324442133099
5.00,410,0.0033262443962
5.00,140,0.0390984179855
5.00,70,0.0614941301709
4.50,490,0.000340175419105
5.00,340,0.0183915874574
4.50,480,0.000463867255481
5.00,170,0.0298580669618
5.00,420,0.00328177879487
5.00,400,0.0019792964738
5.00,150,0.027900211973
4.00,280,0.00109991432631
4.50,220,0.00425609079295
4.00,340,0.00127717352309
4.00,360,0.00018718961645
4.00,150,0.00347800178967
4.00,400,0.000202852298239
4.00,350,0.000369589005363
4.00,370,8.38172243561e-05
4.50,250,0.0151289408339
4.00,310,0.00144407529819
4.00,330,0.000605605764169
4.00,120,0.0162899146409
4.00,470,0.000133362321193
4.50,90,0.010562491834
4.50,80,0.159754401362
4.50,500,0.000503253318248
4.00,300,0.00138901859574
4.00,320,0.000979935370807
4.50,280,0.00336306992818
5.00,220,0.0076494208634
5.00,200,0.102316282002
4.00,40,0.0431680561963
4.50,40,0.0953660348888
4.00,60,0.015874759377
4.00,480,8.78431831198e-05
4.00,50,0.00627180250328
4.00,490,9.45962154472e-05
4.00,70,0.00435819692728
5.00,230,0.0067135009019
5.00,210,0.0217535068396
4.50,290,0.00316023756085
5.00,270,0.0373006953007
5.00,250,0.0215121254263
4.50,30,0.0435451953848
4.00,10,0.360233951981
4.00,180,0.00201987973968
4.00,30,0.0127878986012
4.00,190,0.00665967580564
4.00,20,0.103803885446
5.00,260,0.00408506588122
5.00,240,0.0132881302667
5.00,500,0.00367319109027
4.00,250,0.000666970291214
4.00,270,0.0033849027897
5.00,180,0.0197288680639
4.50,450,0.00182890638879
4.50,100,0.00281087951167
4.50,120,0.0172304947956
4.50,470,0.000792591802947
4.50,440,0.000424798240292
4.50,110,0.0105373484684
4.50,130,0.00639303637497
5.00,380,0.00180059125366
4.50,460,0.000401789324529
5.00,190,0.0316286306921
4.50,300,0.00176126296906
4.00,240,0.00283333167488
4.00,260,0.0024612940219
4.00,200,0.00170503367091
4.00,220,0.00123837579901
5.00,480,0.00163830884166
4.50,150,0.0268741683843
4.50,400,0.00116468127216
4.50,420,0.00100309642869
4.50,170,0.0145448391218
4.50,140,0.00795084276913
4.50,410,0.00025161994994
4.50,430,0.000645259519167
4.50,160,0.015642403292
4.50,370,0.0010165672071
5.00,490,0.00223868862672
4.00,210,0.00102278696701
4.00,230,0.00195333467853
5.00,100,0.110912017522
5.00,450,0.00229150294857
4.50,390,0.000829042860522
5.00,10,2.88477194494
5.00,30,0.134269723521
4.50,180,0.00526802942695
5.00,330,0.00501097604997
5.00,310,0.00744525652158
5.00,320,0.0105978407028
5.00,300,0.00532984478322
5.00,20,0.404119013986
4.50,380,0.00176062065386
4.00,280,0.000607660117814
5.00,170,0.0239054218627
5.00,420,0.00218568328255
5.00,40,0.101361498538
5.00,60,0.0420140626352
5.00,360,0.00920799122865
5.00,340,0.00500314098882
5.00,370,0.00637060338448
5.00,350,0.0114718304074
5.00,50,0.122102114785
5.00,70,0.0627037406822
4.50,370,0.000857271532854
4.50,350,0.00231875091664
5.00,480,0.00117551158292
4.50,360,0.00130081146743
4.50,340,0.00180151819762
4.00,220,0.00124860955193
4.50,400,0.00108425052916
4.50,150,0.0241691918364
5.00,80,0.0601541417075
4.00,500,0.000181893689279
5.00,380,0.000920547000617
4.50,320,0.00079671609184
4.50,300,0.000576736647326
4.50,330,0.00697816991339
4.50,310,0.00481490909319
4.00,250,0.00102150083572
4.50,470,0.000264397908142
4.50,120,0.00799000326511
5.00,390,0.00660360162485
5.00,90,0.0221788352709
4.50,490,0.00046478908684
5.00,350,0.00347998544078
4.00,290,0.00327029123891
5.00,140,0.0863483118893
5.00,410,0.0018516735872
5.00,430,0.00163040818454
5.00,160,0.0842572215738
5.00,150,0.0673194832481
5.00,400,0.00629725395907
5.00,420,0.00166959562613
5.00,170,0.0796590585293
4.00,280,0.000525491774708
4.50,480,0.000241219525715
5.00,60,0.078554421236
4.50,190,0.00642790853191
5.00,320,0.0246491075276
5.00,440,0.00126180300038
5.00,110,0.0662902654023
5.00,130,0.052862661257
5.00,460,0.00100300216474
5.00,450,0.00127811990341
5.00,100,0.0707231261157
5.00,120,0.0294472317682
5.00,470,0.00494145819219
4.50,180,0.0113209620894
5.00,10,2.88094748781
4.00,460,0.00032371829098
4.00,80,0.00324157922444
4.00,130,0.0182182012551
4.00,110,0.00848015682812
4.00,440,0.000154478599962
4.50,260,0.00406085398873
4.50,240,0.00137069448423
4.00,300,0.000545649389411
4.50,270,0.00730076246252
4.50,250,0.00440264291851
4.00,90,0.00536412016241
4.00,470,0.000119450298109
4.00,120,0.00690116109541
